rank,lemma,perMil,duplicate_count
1,the,50385.16,1
2,be,32622.71,1
3,to,26185.43,2
4,and,24952.2,1
5,a,24395.69,1
6,of,23321.89,1
7,in,16543.649999999998,3
8,i,14317.5,1
9,that,13529.789999999999,3
10,you,12164.29,1
11,it,11180.82,2
12,have,10588.23,1
13,for,8292.279999999999,2
14,do,8244.7,1
15,on,6947.37,2
16,he,6512.91,1
17,with,6488.13,1
18,this,5598.21,2
19,as,5527.25,3
20,n't,5322.49,1
21,we,5217.11,1
22,not,4717.139999999999,2
23,but,4608.07,2
24,they,4535.29,1
25,say,4125.2,1
26,at,4052.35,1
27,what,3834.25,1
28,his,3788.19,2
29,from,3737.5,1
30,go,3571.65,1
31,by,3476.56,2
32,or,3444.37,1
33,get,3371.14,1
34,she,3210.48,1
35,can,3136.88,2
36,my,3128.77,1
37,all,3116.92,2
38,there,2932.99,2
39,her,2911.2799999999997,2
40,about,2911.01,2
41,so,2909.7999999999997,2
42,one,2904.06,3
43,know,2781.03,1
44,if,2728.85,1
45,me,2657.28,1
46,your,2595.62,1
47,who,2510.95,1
48,like,2491.0299999999997,6
49,out,2480.86,2
50,will,2459.58,2
51,their,2434.04,1
52,would,2365.91,1
53,just,2365.6200000000003,2
54,when,2336.1800000000003,2
55,up,2334.28,2
56,make,2306.93,1
57,more,2302.99,2
58,no,2261.2599999999998,5
59,think,2092.36,1
60,time,2046.44,2
61,see,1972.46,1
62,come,1814.82,1
63,people,1812.85,1
64,take,1780.53,1
65,year,1742.14,1
66,him,1729.27,1
67,other,1726.44,3
68,them,1713.54,1
69,some,1696.1,1
70,want,1683.27,1
71,how,1678.18,1
72,now,1664.6,2
73,which,1624.62,1
74,right,1605.78,3
75,could,1540.54,1
76,look,1509.15,2
77,than,1486.33,2
78,our,1478.27,1
79,into,1471.84,1
80,here,1423.53,1
81,well,1372.06,3
82,because,1355.3400000000001,2
83,then,1353.88,1
84,use,1353.49,2
85,work,1319.47,2
86,back,1300.44,3
87,way,1288.59,2
88,only,1239.66,2
89,these,1231.91,1
90,over,1226.9,2
91,thing,1210.45,1
92,good,1167.74,3
93,also,1150.83,1
94,two,1147.98,1
95,first,1146.1599999999999,2
96,even,1138.99,2
97,need,1128.81,2
98,tell,1127.56,1
99,where,1105.82,2
100,man,1099.05,1
101,after,1086.79,2
102,day,1076.41,1
103,find,1059.33,1
104,give,1055.55,1
105,very,1044.98,2
106,new,1024.32,1
107,any,1004.5,2
108,most,1004.21,2
109,us,999.18,1
110,much,972.6600000000001,2
111,those,971.23,1
112,down,928.7099999999999,3
113,should,927.38,1
114,call,924.46,2
115,many,910.18,1
116,really,902.19,1
117,mean,864.2,3
118,life,858.25,1
119,may,852.69,2
120,through,845.46,2
121,why,838.76,1
122,before,827.7,3
123,try,813.02,2
124,still,796.63,2
