,very
1931,0.0007696340908296406
1932,0.0007822749321348965
1933,0.0007349496008828282
1934,0.0007769225048832595
1935,0.0007388268131762743
1936,0.0007208487368188798
1937,0.0007141504902392626
1938,0.0007088857819326222
1939,0.0006786265876144171
1940,0.0006411870126612484
1941,0.0006103377672843635
1942,0.0006452297675423324
1943,0.0006379964761435986
1944,0.0006461229058913887
1945,0.0006556856096722186
1946,0.0006734773050993681
1947,0.0006644584354944527
1948,0.0006683093379251659
1949,0.0006399208796210587
1950,0.0006635737954638898
1951,0.0006603141664527357
1952,0.0006618120823986828
1953,0.0006535368738695979
1954,0.000643248378764838
1955,0.0006513473927043378
1956,0.0006652730517089367
1957,0.0006372694042511284
1958,0.0006564673967659473
1959,0.0006403633742593229
1960,0.0006344860303215683
1961,0.0006280708475969732
1962,0.0006381592829711735
1963,0.0006499426672235131
1964,0.0006315638311207294
1965,0.0006348048918880522
1966,0.0006552812410518527
1967,0.0006478886352851987
1968,0.0006652259617112577
1969,0.00066269317176193
1970,0.0006363310967572033
1971,0.0006172378780320287
1972,0.0006068728980608284
1973,0.0005762888467870653
1974,0.0005901328404434025
1975,0.0005739190382882953
1976,0.0005612381501123309
1977,0.000556240149307996
1978,0.0005435688071884215
1979,0.0005400876980274916
1980,0.000544894312042743
1981,0.0005238058511167765
1982,0.000525946612469852
1983,0.0005273577407933772
1984,0.0005560129065997899
1985,0.0005178707651793957
1986,0.0005257046432234347
1987,0.0005154447862878442
1988,0.0005200735758990049
1989,0.0005097630782984197
1990,0.0005141283036209643
1991,0.0005096725653856993
1992,0.0005021356046199799
1993,0.0004861757333856076
1994,0.000490809150505811
1995,0.00048530992353335023
1996,0.0004916249308735132
1997,0.0004966763081029058
1998,0.0005001561949029565
1999,0.000501369999255985
2000,0.0005169947980903089
2001,0.0005081651033833623
2002,0.0005209981463849545
2003,0.0005306674283929169
2004,0.0005442150868475437
2005,0.000542151858098805
2006,0.0005654891137965024
2007,0.0005649842787533998
2008,0.0006009234930388629
2009,0.0006105143111199141
2010,0.0006135725416243076
2011,0.0006118612946011126
2012,0.0006018372951075435
2013,0.0006136068841442466
2014,0.0006127149681560695
2015,0.0006044303881935775
2016,0.0005880844546481967
2017,0.0006324429996311665
2018,0.00065253721550107
2019,0.0006555248401127756
