,store
1800,2.1695601390092634e-05
1801,1.676541978667956e-05
1802,1.869715197244659e-05
1803,1.3563913853431586e-05
1804,1.67589769262122e-05
1805,1.923008130688686e-05
1806,1.7705140635371208e-05
1807,1.9313849406898953e-05
1808,2.156933260266669e-05
1809,1.7573649529367685e-05
1810,2.5635457859607413e-05
1811,1.5986102880560793e-05
1812,1.5343328414019197e-05
1813,1.4210624613042455e-05
1814,1.4387189366971143e-05
1815,1.5740422895760275e-05
1816,1.3854202734364662e-05
1817,1.4521754565066658e-05
1818,1.5852023352636024e-05
1819,1.659485133131966e-05
1820,1.5092465218913276e-05
1821,1.6788457287475467e-05
1822,1.9181559764547274e-05
1823,1.780127604433801e-05
1824,1.658118526393082e-05
1825,1.5853634977247566e-05
1826,1.5227427866193466e-05
1827,1.609265927982051e-05
1828,1.5235799764923286e-05
1829,1.675233397691045e-05
1830,1.5644913219148293e-05
1831,1.573803456267342e-05
1832,2.6974430511472747e-05
1833,1.653619619901292e-05
1834,1.889272971311584e-05
1835,1.677333602856379e-05
1836,1.7418584320694208e-05
1837,1.814209099393338e-05
1838,1.7948163076653145e-05
1839,1.889492523332592e-05
1840,1.7489986930740997e-05
1841,1.7006139387376606e-05
1842,1.8891629224526696e-05
1843,1.8949780496768653e-05
1844,1.889374470920302e-05
1845,1.9055545635637827e-05
1846,2.0462270185817033e-05
1847,2.0208224668749608e-05
1848,1.9213355699321255e-05
1849,1.9875164070981555e-05
1850,2.1479183487826958e-05
1851,2.114318522217218e-05
1852,2.0723577108583413e-05
1853,2.082058745145332e-05
1854,2.0815285097341985e-05
1855,2.340616447327193e-05
1856,2.319744453416206e-05
1857,2.249120552733075e-05
1858,2.134658097929787e-05
1859,2.4112021492328495e-05
1860,2.398538163106423e-05
1861,2.260759356431663e-05
1862,2.1712126908823848e-05
1863,2.476960617059376e-05
1864,2.403361395408865e-05
1865,2.282677269249689e-05
1866,2.4305838451255113e-05
1867,2.397956450295169e-05
1868,2.2261390768107958e-05
1869,2.4917257178458385e-05
1870,2.6351777705713175e-05
1871,2.6899162548943423e-05
1872,3.351178747834638e-05
1873,2.5779361749300733e-05
1874,2.5781057047424838e-05
1875,2.7906829927815124e-05
1876,2.7094776669400744e-05
1877,3.07480659103021e-05
1878,2.887098708015401e-05
1879,2.899159153457731e-05
1880,2.8707136152661406e-05
1881,3.004434984177351e-05
1882,3.245930201956071e-05
1883,3.12625415972434e-05
1884,3.2184470910578966e-05
1885,2.9153323339414783e-05
1886,3.2191852369578555e-05
1887,3.1307303288485855e-05
1888,3.329474930069409e-05
1889,3.483079490251839e-05
1890,3.2777450542198494e-05
1891,3.3755928598111495e-05
1892,3.3894055377459154e-05
1893,3.162945358781144e-05
1894,3.4532738936832175e-05
1895,3.3923235605470836e-05
1896,3.468376598902978e-05
1897,3.6006938898935914e-05
1898,3.461515734670684e-05
1899,3.395766543690115e-05
1900,3.429317439440638e-05
1901,3.436878978391178e-05
1902,3.4383992897346616e-05
1903,3.4856369893532246e-05
1904,3.678235589177348e-05
1905,3.8973463233560324e-05
1906,3.885788100888021e-05
1907,3.810611451626755e-05
1908,3.818323602899909e-05
