,reply
1800,3.8482208765344694e-05
1801,2.91399937850656e-05
1802,3.782325075007975e-05
1803,2.917667916335631e-05
1804,3.221129736630246e-05
1805,3.5548906453186646e-05
1806,3.514246782287955e-05
1807,3.166369424434379e-05
1808,3.3455551601946354e-05
1809,3.480523810139857e-05
1810,3.0108189093880355e-05
1811,3.523598934407346e-05
1812,3.85995845135767e-05
1813,3.571344132069498e-05
1814,3.937978181056678e-05
1815,3.694320548675023e-05
1816,4.072752926731482e-05
1817,4.5112807129044086e-05
1818,3.713091427925974e-05
1819,3.5263728932477534e-05
1820,4.274899038136937e-05
1821,4.3926203943556175e-05
1822,4.130053275730461e-05
1823,4.2037754610646516e-05
1824,4.6591274440288544e-05
1825,5.02500515722204e-05
1826,4.385640932014212e-05
1827,4.626698137144558e-05
1828,4.852057099924423e-05
1829,4.550901212496683e-05
1830,4.879839616478421e-05
1831,5.079682887298986e-05
1832,4.916592297377065e-05
1833,5.3647403547074646e-05
1834,5.481778862304054e-05
1835,5.0631144404178485e-05
1836,5.380477523431182e-05
1837,5.5792610510252416e-05
1838,5.482333290274255e-05
1839,5.491093179443851e-05
1840,5.528015753952786e-05
1841,5.549462002818473e-05
1842,5.2893698011757806e-05
1843,5.443451664177701e-05
1844,5.408114520832896e-05
1845,5.0901489885291085e-05
1846,5.529651025426574e-05
1847,5.448152296594344e-05
1848,5.517106910701841e-05
1849,5.3174077038420364e-05
1850,5.742277062381618e-05
1851,5.27992015122436e-05
1852,5.807153502246365e-05
1853,5.869525921298191e-05
1854,5.603620229521766e-05
1855,5.954782682238147e-05
1856,5.822484672535211e-05
1857,5.818930367240682e-05
1858,5.8788362366613e-05
1859,5.6861845223465934e-05
1860,6.077817306504585e-05
1861,5.5560318287461996e-05
1862,5.775441968580708e-05
1863,5.873051850358024e-05
1864,6.82128084008582e-05
1865,6.274417683016509e-05
1866,6.345361907733604e-05
1867,6.201047654030845e-05
1868,6.307657167781144e-05
1869,6.020468208589591e-05
1870,6.0028887673979625e-05
1871,5.883574340259656e-05
1872,5.8759309467859566e-05
1873,5.7231460232287645e-05
1874,5.5046337365638465e-05
1875,5.657188012264669e-05
1876,5.591803346760571e-05
1877,5.551765934797004e-05
1878,5.230979877524078e-05
1879,5.3934174502501264e-05
1880,5.4366522817872465e-05
1881,5.153177698957734e-05
1882,5.6285291066160426e-05
1883,5.171135126147419e-05
1884,5.389260331867263e-05
1885,5.2480700105661526e-05
1886,5.297596362652257e-05
1887,5.3714666137238964e-05
1888,5.303182842908427e-05
1889,4.98447370773647e-05
1890,4.83580915897619e-05
1891,4.66323435830418e-05
1892,4.8430862079840153e-05
1893,4.91305036121048e-05
1894,4.99647248943802e-05
1895,4.95869608130306e-05
1896,4.877175160800107e-05
1897,4.717629781225696e-05
1898,4.834781793761067e-05
1899,5.122525544720702e-05
1900,4.89306912641041e-05
1901,4.506096593104303e-05
1902,4.501255534705706e-05
1903,4.272873775335029e-05
1904,4.419652759679593e-05
1905,4.172788976575248e-05
1906,4.236900349496864e-05
1907,3.983367787441239e-05
1908,4.2022031266242266e-05
1909,4.081491715623997e-05
1910,4.107186396140605e-05
1911,4.034864468849264e-05
1912,4.061591243953444e-05
1913,3.863100937451236e-05
1914,4.021226050099358e-05
1915,3.8557347579626366e-05
1916,3.820711208391003e-05
1917,3.80749479518272e-05
1918,3.780920087592676e-05
1919,3.791373092099093e-05
1920,3.8963378756307065e-05
1921,3.884201942128129e-05
1922,3.812090653809719e-05
