,said
1928,0.0009477342828176916
1929,0.0010312298545613885
1930,0.0009672920568846166
1931,0.0010101147927343845
1932,0.0009563927305862308
1933,0.0010041052009910345
1934,0.0009490863303653896
1935,0.0010136403143405914
1936,0.000939162157010287
1937,0.0009489872609265149
1938,0.0009455995750613511
1939,0.000987457693554461
1940,0.0008826557896099985
1941,0.0009026696207001805
1942,0.0009155493462458253
1943,0.0009350734180770814
1944,0.0008819936774671078
1945,0.000893720833119005
1946,0.0008510098559781909
1947,0.0008424519328400493
1948,0.0008169049979187548
1949,0.0008144300663843751
1950,0.0008450712193734944
1951,0.0008992239600047469
1952,0.0009058230207301676
1953,0.0008879465749487281
1954,0.0008330209529958665
1955,0.0008776852628216147
1956,0.0009164356742985547
1957,0.0008826277917250991
1958,0.0008342250948771834
1959,0.0008841887465678155
1960,0.0007882816717028618
1961,0.0007981613161973655
1962,0.0007702030125074089
1963,0.000747734447941184
1964,0.0007564154220744967
1965,0.0007470307173207402
1966,0.0007286870968528092
1967,0.0006941783358342946
1968,0.0006789179751649499
1969,0.0006050571682862937
1970,0.0005636194255203009
1971,0.000560299027711153
1972,0.000509975478053093
1973,0.0005029926542192698
1974,0.0005170851363800466
1975,0.0005473357741720974
1976,0.0005314380396157503
1977,0.0005207532667554915
1978,0.0004808064841199666
1979,0.0004896841128356755
1980,0.0005070749903097749
1981,0.0005343469092622399
1982,0.0005308685940690339
1983,0.0005114468513056636
1984,0.0005483947461470962
1985,0.0005469587049447
1986,0.0005661683389917016
1987,0.0005836988566443324
1988,0.0005854574264958501
1989,0.0006126172957010567
1990,0.0006103793275542557
1991,0.0006202635704539716
1992,0.0006020703003741801
1993,0.0005940285627730191
1994,0.0006055335397832096
1995,0.0005873720510862768
1996,0.0005964169395156205
1997,0.0006017947453074157
1998,0.0006266178679652512
1999,0.0006434541428461671
2000,0.0007093479507602751
2001,0.0007232732605189085
2002,0.0006963234045542777
2003,0.0006690673180855811
2004,0.0007039789925329387
2005,0.0007240793202072382
2006,0.0007587116560898721
2007,0.000800435256678611
2008,0.0009061823366209865
2009,0.001029218197800219
2010,0.0010618717642500997
2011,0.0012125582434237003
2012,0.0011275103315711021
2013,0.0010967516573145986
2014,0.0013563280226662755
2015,0.0012806629529222846
2016,0.0011646951315924525
2017,0.001379354391247034
2018,0.0014074832433834672
2019,0.0013263694709166884
