,site
1800,1.231414898938965e-05
1801,8.490051186527126e-06
1802,1.0484030099178199e-05
1803,6.475061582023045e-06
1804,6.8453073254204355e-06
1805,1.0143806321138982e-05
1806,1.0778857358673122e-05
1807,9.706041964818723e-06
1808,9.992130799219012e-06
1809,9.125267752096988e-06
1810,9.830049748416059e-06
1811,8.016941137611866e-06
1812,8.209282896132208e-06
1813,1.2778120435541496e-05
1814,1.1414263099140953e-05
1815,1.2816246453439817e-05
1816,1.184729171654908e-05
1817,1.4675339116365649e-05
1818,1.4410808034881484e-05
1819,1.3486478565027937e-05
1820,1.396020070387749e-05
1821,1.1815584912255872e-05
1822,1.3285693057696335e-05
1823,1.0046427632914856e-05
1824,1.2076387065462768e-05
1825,1.3699875125894323e-05
1826,1.3623764971271157e-05
1827,1.4469404050032608e-05
1828,1.710770266072359e-05
1829,1.8951304809888825e-05
1830,1.6444249922642484e-05
1831,1.7210048099514097e-05
1832,1.8720505977398716e-05
1833,1.551414970890619e-05
1834,1.821775731514208e-05
1835,1.7481439499533735e-05
1836,1.5662870282540098e-05
1837,1.9035152945434675e-05
1838,1.776752651494462e-05
1839,1.7687490981188603e-05
1840,1.7912818293552846e-05
1841,2.065687658614479e-05
1842,1.988148687814828e-05
1843,1.81402538146358e-05
1844,1.8340711903874762e-05
1845,2.048890382866375e-05
1846,2.1039719285909086e-05
1847,2.1680787540390156e-05
1848,2.120023600582499e-05
1849,2.0796012904611416e-05
1850,2.2389174773707055e-05
1851,2.235019564977847e-05
1852,2.0754423530888744e-05
1853,2.1217339963186532e-05
1854,2.3798136680852622e-05
1855,2.407757165201474e-05
1856,2.6515130230109207e-05
1857,2.371824848523829e-05
1858,2.4885723178158514e-05
1859,2.3202284864964895e-05
1860,2.3126522137317806e-05
1861,2.2493481083074585e-05
1862,2.5622330213082023e-05
1863,2.4081335141090676e-05
1864,2.2716514649800956e-05
1865,2.549183409428224e-05
1866,2.3766830054228194e-05
1867,2.4317801944562234e-05
1868,2.5134657335001975e-05
1869,2.950296038761735e-05
1870,2.390919325989671e-05
1871,2.4247923647635616e-05
1872,2.4666995159350336e-05
1873,2.891035001084674e-05
1874,2.692883208510466e-05
1875,3.06940455629956e-05
1876,2.8363965611788444e-05
1877,2.8908429158036597e-05
1878,3.053167165489867e-05
1879,2.8500558983068913e-05
1880,2.81811135209864e-05
1881,3.077281508012675e-05
