,shall
1911,0.0010529253631830215
1912,0.0010032602585852146
1913,0.001104212598875165
1914,0.001071467064321041
1915,0.0011600122088566422
1916,0.0010258620604872704
1917,0.0011058890959247947
1918,0.0009840435814112425
1919,0.001089735422283411
1920,0.0009250097791664302
1921,0.0010453672148287296
1922,0.000908701797015965
1923,0.00102707976475358
1924,0.00091118598356843
1925,0.0010320491855964065
1926,0.0009074814151972532
1927,0.0010670787887647748
1928,0.0007991902530193329
1929,0.001020406954921782
1930,0.0009627750259824097
1931,0.0009903215104714036
1932,0.0008366366382688284
1933,0.001116971136070788
1934,0.0008800320792943239
1935,0.0010780574521049857
1936,0.0009282599203288555
1937,0.0010031294077634811
1938,0.0009266145061701536
1939,0.0011372800217941403
1940,0.0008213080582208931
1941,0.0009473387617617846
1942,0.0008250443497672677
1943,0.0010022688657045364
1944,0.0009010088979266584
1945,0.001065618242137134
1946,0.0008880409877747297
1947,0.0009542145999148488
1948,0.0009375568479299545
1949,0.001056095352396369
1950,0.0008376934565603733
1951,0.000888341455720365
1952,0.0007488946430385113
1953,0.0009009621571749449
1954,0.0008839528891257942
1955,0.0008431457099504769
1956,0.0006791693158447742
1957,0.0008553702500648797
1958,0.0006763181881979108
1959,0.0008017242653295398
1960,0.0006343909772112966
1961,0.0007576080388389528
1962,0.0006194390007294714
1963,0.0007281948928721249
1964,0.0006269229343160987
1965,0.0007334778783842921
1966,0.0006336182123050094
1967,0.0007458857144229114
1968,0.000673544651363045
1969,0.0007121585076674819
1970,0.0007001694175414741
1971,0.0007991243619471788
1972,0.0006739637465216219
1973,0.0007689530611969531
1974,0.0006832947256043553
1975,0.0007630519103258848
1976,0.0007046042592264712
1977,0.0006931283278390765
1978,0.0006615616730414331
1979,0.0007007192471064627
1980,0.000611048424616456
1981,0.0006504157208837569
1982,0.0005977126420475543
1983,0.0006438572308979928
1984,0.0005076039815321565
1985,0.0005599354626610875
1986,0.0005067924503237009
1987,0.0005736977327615023
1988,0.0005323913646861911
1989,0.0005301169003359973
1990,0.0005091543425805867
1991,0.000506388081703335
1992,0.0005079896654933691
1993,0.0005041419062763453
1994,0.0004865856026299298
1995,0.0005689617246389389
1996,0.00048415313358418643
1997,0.0005239295423962176
1998,0.00047609617467969656
1999,0.0004995839553885162
2000,0.0004453585424926132
2001,0.00048191184760071337
2002,0.00039216052391566336
2003,0.00041195881203748286
2004,0.00040586545947007835
2005,0.0004010634438600391
2006,0.00039810698945075274
2007,0.00038024719106033444
2008,0.0004034162557218224
2009,0.0003477976133581251
2010,0.00029921517125330865
2011,0.0002461073745507747
2012,0.00024098064750432968
2013,0.00021932405070401728
2014,0.0002117684780387208
2015,0.0002117154945153743
2016,0.0001915725733852014
2017,0.000313526950776577
2018,0.0002885600260924548
2019,0.00020648085046559572
