,v
1945,3.196509351255372e-05
1946,2.9849492420908064e-05
1947,3.950618702219799e-05
1948,6.093259798944928e-05
1949,3.512551847961731e-05
1950,4.79709888168145e-05
1951,3.9006397855700925e-05
1952,7.1744441811461e-05
1953,4.689778870670125e-05
1954,8.280622569145635e-05
1955,4.777321373694576e-05
1956,6.374003714881837e-05
1957,7.806643407093361e-05
1958,6.796150410082191e-05
1959,7.911494321888313e-05
1960,7.268368790391833e-05
1961,6.813008803874254e-05
1962,7.378356531262398e-05
1963,6.979812314966694e-05
1964,7.190140604507178e-05
1965,6.989635585341603e-05
1966,8.38819905766286e-05
1967,7.466913666576147e-05
1968,6.801268318668008e-05
1969,6.67035419610329e-05
1970,6.876723637105897e-05
1971,7.446394738508388e-05
1972,8.52588054840453e-05
1973,7.780335727147758e-05
1974,9.257431520381942e-05
1975,7.389072561636567e-05
1976,8.03310249466449e-05
1977,8.423571853199974e-05
1978,7.705626921961084e-05
1979,8.907723531592637e-05
1980,8.445407002000138e-05
1981,9.085718920687214e-05
1982,9.096100984606892e-05
1983,9.391352068632841e-05
1984,9.282888640882447e-05
1985,0.00010375901183579117
1986,8.918238745536655e-05
1987,9.042696910910308e-05
1988,8.858313231030479e-05
1989,7.842275954317302e-05
1990,8.294732106151059e-05
1991,8.845177217153832e-05
1992,8.700033504283056e-05
1993,8.358922059414908e-05
1994,9.175220475299284e-05
1995,9.429491910850629e-05
1996,9.391587082063779e-05
1997,8.994132076622918e-05
1998,8.868453733157367e-05
1999,8.527430327376351e-05
2000,8.539101690985262e-05
2001,0.00010250536433886737
2002,8.822408562991768e-05
2003,8.6086722149048e-05
2004,7.367095531662926e-05
2005,7.167974399635568e-05
2006,7.257604011101648e-05
2007,7.494723104173318e-05
2008,8.404314576182514e-05
2009,6.366051093209535e-05
2010,6.140397454146296e-05
2011,6.134837894933298e-05
2012,7.399619062198326e-05
2013,6.680546357529238e-05
2014,6.114717689342797e-05
2015,5.857607538928278e-05
2016,7.863381324568763e-05
2017,7.195094076450914e-05
2018,9.478489664616063e-05
2019,7.54771099309437e-05
