,u
1800,3.7426598282763734e-05
1801,4.1494313336443156e-05
1802,3.8012494769645855e-05
1803,2.6983745556208305e-05
1804,3.4337048418819904e-05
1805,3.2655887480359524e-05
1806,3.285008642706089e-05
1807,4.23093733843416e-05
1808,2.605188637971878e-05
1809,2.8211952667334117e-05
1810,2.784253410936799e-05
1811,2.9268589059938677e-05
1812,2.776236942736432e-05
1813,2.692467205633875e-05
1814,2.4109904188662767e-05
1815,2.579457577667199e-05
1816,3.192997974110767e-05
1817,2.5035691578523256e-05
1818,2.392202259215992e-05
1819,2.480175498931203e-05
1820,2.2131936930236407e-05
1821,2.2916821762919426e-05
1822,2.3436181436409242e-05
1823,2.3914562916615978e-05
1824,2.4510025468771346e-05
1825,2.223893352493178e-05
1826,2.590934127510991e-05
1827,2.1806439690408297e-05
1828,1.9837561922031455e-05
1829,1.9098953998764046e-05
1830,1.8874470697483048e-05
1831,2.0594288798747584e-05
1832,1.75182540260721e-05
1833,2.027079972322099e-05
1834,1.7411432054359466e-05
1835,1.6944401068030857e-05
1836,1.9480294213281013e-05
1837,1.967936805158388e-05
1838,1.7266669601667672e-05
1839,1.849244836193975e-05
1840,1.6472484276164323e-05
1841,2.039027094724588e-05
1842,2.0932879124302417e-05
1843,1.9192108084098436e-05
1844,1.984257141884882e-05
1845,2.1342022591852583e-05
1846,1.895071181934327e-05
1847,1.6855925423442386e-05
1848,1.7522663256386295e-05
1849,2.071885683108121e-05
1850,2.8045118597219698e-05
1851,2.7368118026060984e-05
1852,2.9250752049847506e-05
1853,2.7140729798702523e-05
1854,2.958703953481745e-05
1855,3.062848190893419e-05
1856,3.109117824351415e-05
1857,3.100521280430257e-05
1858,2.915143886639271e-05
1859,3.0330584195326082e-05
1860,3.182832369930111e-05
1861,2.7570078600547276e-05
1862,3.12338670482859e-05
1863,3.172360811731778e-05
1864,2.6664651159080677e-05
1865,2.7970070732408203e-05
1866,3.115288200206123e-05
1867,2.9282899049576372e-05
1868,2.8929869586136192e-05
1869,3.1710031180409715e-05
1870,2.870512798835989e-05
1871,2.801524351525586e-05
1872,2.7311649319017306e-05
1873,2.7933208912145346e-05
1874,2.592875353002455e-05
1875,2.780707109195646e-05
1876,2.549026976339519e-05
1877,2.7145291824126616e-05
1878,2.6337564122513868e-05
1879,2.692549787752796e-05
1880,2.872450750146527e-05
1881,2.7486086764838547e-05
1882,2.7484853490022942e-05
1883,2.7929607313126326e-05
1884,2.6134386644116603e-05
1885,2.813809442159254e-05
1886,2.5664437998784706e-05
1887,2.516164386179298e-05
1888,2.6457300918991677e-05
1889,2.5352448574267328e-05
1890,2.7802037948276848e-05
1891,2.6035222617792897e-05
1892,2.529775520088151e-05
1893,2.6391549909021705e-05
1894,2.4838614990585484e-05
1895,2.3837719709263183e-05
1896,2.331751966266893e-05
1897,2.3145174054661766e-05
1898,2.356844379391987e-05
1899,2.1695223040296696e-05
1900,2.2368623831425793e-05
1901,2.4218928956543095e-05
1902,2.397931893938221e-05
1903,2.5265704607591033e-05
1904,2.3815025997464545e-05
1905,2.3712684196652845e-05
1906,2.2890859327162616e-05
1907,2.2668216843158007e-05
1908,2.3389449779642746e-05
1909,2.2501524654217064e-05
1910,2.412937828921713e-05
1911,2.624270746309776e-05
1912,2.2506055756821297e-05
1913,2.3892189346952364e-05
1914,2.296268030477222e-05
1915,2.1523015675484203e-05
1916,2.169892286474351e-05
1917,2.0835923351114616e-05
1918,2.1009052943554707e-05
1919,2.1297979401424527e-05
1920,2.2459609681391157e-05
1921,2.2912106942385435e-05
1922,2.3135366063797846e-05
1923,2.0867128114332445e-05
1924,2.540013156249188e-05
1925,1.9890645489795133e-05
1926,2.0109959223191254e-05
1927,2.0173893062747084e-05
1928,2.0528575987555087e-05
1929,1.9658365999930538e-05
1930,1.992934812733438e-05
1931,2.0654764739447273e-05
1932,1.9905131921404973e-05
1933,2.0756395315402187e-05
1934,2.1912695956416428e-05
1935,1.9604956833063625e-05
1936,2.415442759229336e-05
1937,2.054201831924729e-05
1938,2.1722042220062576e-05
1939,2.0893588953185827e-05
1940,2.1669164198101498e-05
1941,2.1001864297431894e-05
1942,2.06579588848399e-05
1943,2.0204764950904064e-05
1944,2.201677307311911e-05
1945,2.0767232854268514e-05
1946,2.0893157852697186e-05
1947,2.0795036107301712e-05
1948,2.3218261048896238e-05
1949,2.146906263078563e-05
1950,2.556171966716647e-05
1951,2.3240114387590438e-05
1952,2.4821327315294184e-05
1953,2.4990804377011955e-05
1954,2.5771862055989914e-05
1955,2.501533344911877e-05
1956,2.6144858566112816e-05
1957,2.7322468667989597e-05
1958,2.7399310056352988e-05
1959,2.743659024417866e-05
1960,2.7925607355427928e-05
1961,2.961764948850032e-05
1962,3.0017370590940118e-05
1963,2.9142622224753723e-05
1964,3.194483360857703e-05
1965,3.20042745443061e-05
1966,3.045722041861154e-05
1967,2.9153990908525884e-05
1968,2.9952130716992542e-05
1969,2.977504482259974e-05
1970,2.9781520424876362e-05
1971,3.004365680681076e-05
1972,2.9085604182910174e-05
1973,2.825408591888845e-05
1974,2.8787500923499465e-05
1975,2.810536534525454e-05
1976,2.8407406716723926e-05
1977,2.7340649467078038e-05
1978,2.6217041522613727e-05
1979,2.7465894163469784e-05
1980,2.8752217986038886e-05
1981,2.727284845605027e-05
1982,2.6951724066748284e-05
1983,2.7226471502217464e-05
1984,2.805590702337213e-05
1985,2.7747073545469902e-05
1986,2.870142452593427e-05
1987,2.909073737100698e-05
1988,2.8117598048993386e-05
1989,2.7312551537761465e-05
1990,2.689903340069577e-05
1991,2.629150912980549e-05
1992,2.5719624318298884e-05
1993,2.4564596969867125e-05
1994,2.465350553393364e-05
1995,2.4709743229323067e-05
1996,2.3861235604272224e-05
1997,2.4900575226638466e-05
1998,2.3853770471760072e-05
1999,2.3735508875688538e-05
2000,2.3737107767374255e-05
2001,2.3911241441965103e-05
2002,2.4578386728535406e-05
2003,2.724916885199491e-05
2004,2.683252932911273e-05
2005,2.921880513895303e-05
2006,2.5987010303651914e-05
2007,2.4953807951533236e-05
2008,2.6028388674603775e-05
2009,2.6871077352552675e-05
2010,3.0429962862399407e-05
2011,3.42005914717447e-05
2012,3.9612023101653904e-05
2013,4.182723932899535e-05
2014,3.6090761568630114e-05
2015,3.612441287259571e-05
2016,4.265647294232622e-05
2017,4.865317532676272e-05
2018,6.291763565968722e-05
2019,4.834472565562464e-05
