,science
1800,5.422114554676227e-05
1801,6.257362110773101e-05
1802,5.631434032693505e-05
1803,5.432769830804318e-05
1804,6.909015064593405e-05
1805,6.223945820238441e-05
1806,6.1454476963263e-05
1807,6.138190656201914e-05
1808,4.697046824730933e-05
1809,5.18069755344186e-05
1810,5.717012027162127e-05
1811,5.0666869356064126e-05
1812,4.1111001337412745e-05
1813,5.1824918045895174e-05
1814,6.150445551611483e-05
1815,5.7846889831125736e-05
1816,5.138126289239153e-05
1817,6.414993549697101e-05
1818,6.779393152100965e-05
1819,6.498962466139346e-05
1820,5.5175118177430704e-05
1821,5.722437708755024e-05
1822,5.772458825958893e-05
1823,5.99102204432711e-05
1824,6.460597069235519e-05
1825,6.208962440723553e-05
1826,6.237670459086075e-05
1827,6.476776616182178e-05
1828,6.65633415337652e-05
1829,7.724023453192785e-05
1830,7.035635644569993e-05
1831,7.33944762032479e-05
1832,5.497746678884141e-05
1833,7.689294579904526e-05
1834,7.612754416186363e-05
1835,7.890399865573272e-05
1836,7.709729834459722e-05
1837,7.4559728091117e-05
1838,7.617838127771392e-05
1839,7.45982033549808e-05
1840,6.813582149334252e-05
1841,6.978929013712332e-05
1842,7.06533101038076e-05
1843,7.168747106334195e-05
1844,6.530639802804217e-05
1845,6.815331289544702e-05
1846,7.110017031664029e-05
1847,7.497116894228384e-05
1848,7.470864511560649e-05
1849,7.545796688646078e-05
1850,8.002066897461191e-05
1851,7.990432641236112e-05
1852,7.772413664497435e-05
1853,7.282652950379997e-05
1854,7.944076787680387e-05
1855,7.931947766337544e-05
1856,7.984435796970502e-05
1857,7.991727761691436e-05
1858,8.293317659990862e-05
1859,7.727681804681197e-05
1860,7.726025069132447e-05
1861,7.439453474944457e-05
1862,7.097908383002505e-05
1863,7.581216777907684e-05
1864,7.151761383283883e-05
1865,7.308342901524156e-05
1866,7.141577225411311e-05
1867,7.665159500902519e-05
1868,8.027437434066087e-05
1869,7.872369315009564e-05
1870,7.954415195854381e-05
1871,8.069937030086294e-05
1872,8.523217547917739e-05
1873,8.781285578152165e-05
1874,8.959377009887248e-05
1875,8.495514339301735e-05
1876,8.108499605441466e-05
1877,7.751458178972825e-05
1878,7.812253898009658e-05
1879,7.588870357722044e-05
1880,7.233276846818626e-05
1881,7.288941560545936e-05
1882,7.053092849673703e-05
1883,7.828733942005783e-05
1884,7.72338462411426e-05
1885,7.164688577177003e-05
1886,7.247545727295801e-05
1887,6.84349870425649e-05
1888,6.859207496745512e-05
1889,6.805521115893498e-05
