,training
1800,1.3369760381465312e-05
1801,3.5766768178291386e-06
1802,4.449299467523815e-06
1803,6.103329269535607e-06
1804,4.527783858065959e-06
1805,3.816842763626482e-06
1806,6.228494385140948e-06
1807,6.099110578361433e-06
1808,5.636819423671113e-06
1809,3.5979833228338975e-06
1810,2.907128873630427e-06
1811,3.2819043553899974e-06
1812,6.225984634511406e-06
1813,3.920698418369284e-06
1814,3.504508640617132e-06
1815,3.4521988254709868e-06
1816,3.6051071674592094e-06
1817,5.014159341953928e-06
1818,4.581876964948606e-06
1819,5.231651357462397e-06
1820,6.125504114606883e-06
1821,4.054244527651463e-06
1822,4.857462954532821e-06
1823,4.5367301026999485e-06
1824,4.748665560327936e-06
1825,4.531107606453588e-06
1826,4.983057351637399e-06
1827,5.028427494835341e-06
1828,6.123568709881511e-06
1829,6.026228220434859e-06
1830,5.3318458412832115e-06
1831,6.274979568843264e-06
1832,9.830036105995532e-06
1833,6.9121524575166404e-06
1834,8.538598194718361e-06
1835,1.1785621609305963e-05
1836,7.552864190074615e-06
1837,7.5160337473789696e-06
1838,9.655283065512776e-06
1839,1.0315207873645704e-05
1840,1.0177737749472726e-05
1841,1.2096638783987146e-05
1842,1.0281039976689499e-05
1843,9.819070328376256e-06
1844,1.0334223588870373e-05
1845,1.0202094017586205e-05
1846,1.2189780136395711e-05
1847,1.3612082511826884e-05
1848,1.2686505215242505e-05
1849,1.427200641046511e-05
1850,1.54049394041067e-05
1851,1.5038453966553789e-05
1852,1.6134597899508663e-05
1853,1.5079956028785091e-05
1854,1.735143450787291e-05
1855,1.7235732229892164e-05
1856,1.824811079131905e-05
1857,1.8914714019047096e-05
1858,1.8565982827567495e-05
1859,2.0898893126286566e-05
1860,2.0844767277594656e-05
1861,2.5245488359360024e-05
1862,2.3522643459727988e-05
1863,1.947265991475433e-05
1864,2.1810241378261708e-05
1865,2.3036218408378772e-05
1866,2.0344643417047337e-05
1867,2.3712864276603796e-05
1868,2.5740515411598608e-05
1869,2.4698316337889992e-05
1870,2.5914683646988124e-05
1871,2.729534389800392e-05
1872,2.799137837428134e-05
1873,2.808724639180582e-05
1874,2.8661997930612415e-05
1875,2.932408642664086e-05
1876,2.912771924457047e-05
1877,2.8888400265714154e-05
1878,2.7852227503899485e-05
1879,2.8824963010265492e-05
1880,2.8093769287806936e-05
1881,2.773119558696635e-05
1882,2.7940652216784656e-05
1883,3.040640331164468e-05
1884,3.401069625397213e-05
1885,3.293270128779113e-05
1886,3.783489955822006e-05
1887,3.729021773324348e-05
1888,4.154031921643764e-05
1889,4.316451304475777e-05
1890,4.2267507524229586e-05
1891,4.24219251726754e-05
1892,4.272906153346412e-05
1893,4.3083746277261525e-05
1894,4.588407318806276e-05
1895,4.510797225520946e-05
1896,4.774843546329066e-05
1897,4.7926310799084604e-05
1898,5.120300920680165e-05
1899,4.528036879491992e-05
1900,5.2149112889310345e-05
1901,5.4257005103863776e-05
1902,6.038695210008882e-05
1903,6.0248570662224665e-05
1904,5.943308133282699e-05
1905,5.903282362851314e-05
