,shop
1800,1.7242982721654698e-05
1801,1.5477329725399613e-05
1802,1.1611074114625808e-05
1803,1.194730975839775e-05
1804,1.1483603884698823e-05
1805,1.1046356121369172e-05
1806,1.4312023267848417e-05
1807,1.284956124436576e-05
1808,1.4540122720063664e-05
1809,1.1756790627259761e-05
1810,1.4179759091348387e-05
1811,1.5386398445116356e-05
1812,1.6436295481980778e-05
1813,1.6085541574284434e-05
1814,1.345363853033632e-05
1815,1.6467289242427796e-05
1816,1.7472888430347666e-05
1817,2.008881710935384e-05
1818,1.4155282769934274e-05
1819,1.5883986634435132e-05
1820,1.7385780665790662e-05
1821,1.744515793689061e-05
1822,1.8428268958814442e-05
1823,1.963371323654428e-05
1824,2.0250894522177987e-05
1825,1.8180326151195914e-05
1826,1.603860073373653e-05
1827,1.668318873271346e-05
1828,1.5226050891214982e-05
1829,1.4435574485105462e-05
1830,1.6275891539407894e-05
1831,1.550170964037534e-05
1832,1.9929644622607157e-05
1833,1.8681692381505854e-05
1834,1.9300445273984224e-05
1835,1.9853107005474158e-05
1836,1.767377216310706e-05
1837,1.8360124158789404e-05
1838,1.9156321286573075e-05
1839,2.035876786976587e-05
1840,1.9958664779551327e-05
1841,2.1901214495301247e-05
1842,1.952978527697269e-05
1843,2.1619627659674734e-05
1844,1.7466341887484305e-05
1845,1.743998291203752e-05
1846,1.9065466403844766e-05
1847,1.8153650671592914e-05
1848,1.8284152247360907e-05
1849,1.8310589439352043e-05
1850,2.0116105588385835e-05
1851,2.005369788093958e-05
1852,2.081310776702594e-05
1853,1.9821725800284185e-05
1854,2.1126636056578718e-05
1855,1.984172558877617e-05
1856,1.9700717530213296e-05
1857,2.0888730432488956e-05
1858,1.818266900954768e-05
1859,2.0567700630635954e-05
1860,2.129087624780368e-05
1861,2.042010055447463e-05
1862,2.2307101971819066e-05
1863,2.1705693143303506e-05
1864,2.2369345970219e-05
1865,2.316180689376779e-05
1866,2.1845378796570003e-05
1867,2.3942971893120557e-05
1868,2.1214680600678548e-05
1869,2.2287167666945606e-05
1870,2.1980233213980682e-05
1871,2.12466147786472e-05
1872,2.2772177544538863e-05
1873,2.1584604837698862e-05
1874,2.2215881472220644e-05
1875,2.1479581846506335e-05
1876,2.2862328478368e-05
1877,2.2881829863763414e-05
1878,2.221562317572534e-05
1879,2.1719208234571852e-05
1880,2.409428452665452e-05
1881,2.407236024737358e-05
1882,2.4202359782066196e-05
1883,2.595144178485498e-05
1884,2.5393732357770205e-05
1885,2.444379060762003e-05
1886,2.4846853193594143e-05
1887,2.5413663024664856e-05
1888,2.582302658993285e-05
1889,2.671298170753289e-05
1890,2.5013052436406724e-05
1891,2.549008968344424e-05
1892,2.7381429390516132e-05
1893,2.6663707103580236e-05
1894,2.782790397759527e-05
1895,2.823381328198593e-05
1896,3.0368211810127832e-05
1897,2.8112443033023737e-05
1898,2.9081131287966855e-05
1899,2.9836088287993334e-05
1900,3.1339764973381534e-05
1901,3.5150256735505536e-05
1902,3.5860030038747936e-05
1903,3.676504275063053e-05
1904,3.720268432516605e-05
1905,3.8425179809564725e-05
1906,3.752457269001752e-05
1907,3.9968403143575415e-05
1908,4.0366252505918965e-05
1909,3.951687176595442e-05
1910,4.063612504978664e-05
1911,4.478156188270077e-05
1912,4.3585747334873304e-05
1913,4.585555143421516e-05
1914,4.449994958122261e-05
1915,4.4062890083296224e-05
1916,5.275302828522399e-05
1917,4.5655600843019783e-05
1918,5.045510988566093e-05
1919,5.396947744884528e-05
1920,5.4876189096830785e-05
1921,5.611133383354172e-05
1922,5.206581045058556e-05
1923,4.6610501158284023e-05
1924,4.605508001986891e-05
1925,4.1616425733081996e-05
1926,3.9267048123292625e-05
1927,4.0469676605425775e-05
1928,3.8626472814939916e-05
1929,3.929731610696763e-05
1930,4.045525929541327e-05
1931,3.541560363373719e-05
1932,3.263519101892598e-05
1933,3.334955545142293e-05
1934,3.263840335421264e-05
1935,3.3756266930140555e-05
1936,3.774606739170849e-05
1937,3.689595905598253e-05
1938,3.8086258427938446e-05
1939,4.2157978896284476e-05
1940,4.466453901841305e-05
1941,4.4799631723435596e-05
1942,5.127424810780212e-05
1943,4.767064456245862e-05
1944,4.756751877721399e-05
1945,4.5511707867262885e-05
1946,4.5990265789441764e-05
1947,4.7619687393307686e-05
1948,4.611975236912258e-05
1949,4.306855771574192e-05
1950,4.061801882926375e-05
1951,4.004659422207624e-05
1952,4.298338171793148e-05
1953,4.095175609108992e-05
1954,3.718941661645658e-05
1955,3.662395101855509e-05
1956,3.712084435392171e-05
1957,3.498897058307193e-05
1958,3.3856515074148774e-05
1959,3.224683678126894e-05
1960,3.175504389218986e-05
1961,3.178094630129635e-05
1962,3.0051363864913583e-05
1963,2.89664494630415e-05
1964,2.8413040126906708e-05
1965,2.8428163204807788e-05
1966,2.6381832867627963e-05
1967,2.5495908630546182e-05
1968,2.8164149625808932e-05
1969,2.5227989681297913e-05
1970,2.573168239905499e-05
1971,2.412894718872849e-05
1972,2.3513111955253407e-05
1973,2.200002381869126e-05
1974,2.2855452698422596e-05
1975,2.2122456357465126e-05
1976,2.30055047722999e-05
1977,2.2122287191450596e-05
1978,2.168940227420535e-05
1979,2.1708530766773038e-05
1980,2.2898764655110426e-05
1981,2.2767433620174415e-05
1982,2.2787089619669132e-05
1983,2.1485164324985817e-05
1984,2.3272312319022603e-05
1985,2.155078254872933e-05
1986,2.245015639346093e-05
1987,2.200092058046721e-05
1988,2.199767914135009e-05
1989,2.1882655346416868e-05
1990,2.2087528122938238e-05
1991,2.2178383005666547e-05
1992,2.1871055650990456e-05
1993,2.1794141503050923e-05
1994,2.1493930034921505e-05
1995,2.1668127374141477e-05
1996,2.2546335458173417e-05
1997,2.362537088629324e-05
1998,2.361202314205002e-05
1999,2.3863396563683636e-05
2000,2.6076619178638794e-05
2001,2.5544470190652646e-05
2002,2.467659578542225e-05
2003,2.573186247900594e-05
2004,2.72096640401287e-05
2005,2.6866568077821285e-05
2006,2.702577148738783e-05
2007,2.853655314538628e-05
2008,2.9576243832707405e-05
2009,3.1589544960297644e-05
2010,3.3884534786920995e-05
2011,3.5551609471440315e-05
2012,3.3121184969786555e-05
2013,3.3173371775774285e-05
2014,3.687064963742159e-05
2015,3.677368658827618e-05
2016,3.5371318517718464e-05
2017,3.641134753706865e-05
2018,3.4539432817837223e-05
2019,3.670351725304499e-05
