,be
1800,0.006566409487277269
1801,0.006973973009735346
1802,0.006967649329453707
1803,0.007574611809104681
1804,0.006612592842429876
1805,0.006668820511549711
1806,0.0067747714929282665
1807,0.006743862759321928
1808,0.007091862615197897
1809,0.007123096380382776
1810,0.006613363977521658
1811,0.007181627210229635
1812,0.007504269480705261
1813,0.00698979664593935
1814,0.006972695700824261
1815,0.0070215570740401745
1816,0.00722721079364419
1817,0.007106980308890343
1818,0.00700742332264781
1819,0.007018732838332653
1820,0.006803927477449179
1821,0.006894428748637438
1822,0.0068236421793699265
1823,0.007052227854728699
1824,0.006828988902270794
1825,0.006970830261707306
1826,0.007041843608021736
1827,0.0067936694249510765
1828,0.006985045503824949
1829,0.0068962485529482365
1830,0.007071882952004671
1831,0.006952307187020779
1832,0.006755717098712921
1833,0.00703412014991045
1834,0.007051057182252407
1835,0.006800633389502764
1836,0.007165903225541115
1837,0.0070404596626758575
1838,0.007123964838683605
1839,0.0068648336455225945
1840,0.0068330480717122555
1841,0.006795716471970081
1842,0.006785313133150339
1843,0.006964689586311579
1844,0.006802157033234835
1845,0.00683590630069375
1846,0.006944396998733282
1847,0.006883349269628525
1848,0.0067560262978076935
1849,0.006845276802778244
1850,0.006776427384465933
1851,0.006875180639326572
1852,0.006781521253287792
1853,0.00679737888276577
1854,0.006511556450277567
1855,0.006625636480748653
1856,0.0065251123160123825
1857,0.006481509190052748
1858,0.006546295713633299
1859,0.006428576540201902
1860,0.006559330970048904
1861,0.0066969203762710094
1862,0.006653252523392439
1863,0.006572677753865719
1864,0.006514307577162981
1865,0.0065524037927389145
1866,0.006560826674103737
1867,0.006551546975970268
1868,0.006565728224813938
1869,0.0065029640682041645
1870,0.006579698994755745
1871,0.006602466572076082
1872,0.00647524232044816
1873,0.006512181367725134
1874,0.006486332975327969
1875,0.006409077905118465
1876,0.006364086177200079
1877,0.0064335656352341175
1878,0.006371403578668833
1879,0.006347500719130039
1880,0.006198711693286896
1881,0.00630585290491581
1882,0.006371622439473867
1883,0.006232242099940777
1884,0.006335906218737364
1885,0.006288346368819475
1886,0.006333314813673496
1887,0.006372142117470503
1888,0.006251798942685127
1889,0.006258975248783827
1890,0.006227709818631411
1891,0.006176019553095102
1892,0.006233225576579571
1893,0.006212391424924135
1894,0.006346476264297962
1895,0.0061872489750385284
1896,0.006181702949106693
1897,0.006192630622535944
1898,0.006167130544781685
1899,0.00606513163074851
1900,0.006079606246203184
1901,0.0062103732489049435
1902,0.006149196997284889
1903,0.006245438940823078
1904,0.00620698370039463
1905,0.006264782510697842
1906,0.006247490644454956
1907,0.006293979473412037
1908,0.006269444245845079
1909,0.006396691780537367
1910,0.006196546368300915
1911,0.006242168601602316
1912,0.006307582370936871
1913,0.006383195519447327
1914,0.00643911911174655
1915,0.006465570535510778
1916,0.0063805170357227325
1917,0.006560554727911949
1918,0.00651161465793848
1919,0.006577099207788706
1920,0.006371398456394672
1921,0.006373541429638863
1922,0.006213850807398558
1923,0.006075155921280384
1924,0.006013071164488792
1925,0.005904719233512878
1926,0.005894076079130173
1927,0.0058668083511292934
1928,0.005753783043473959
1929,0.005814674310386181
1930,0.005835815332829952
1931,0.005881395190954208
1932,0.00575752928853035
1933,0.00589795783162117
1934,0.00582992285490036
1935,0.005825283471494913
1936,0.005761365406215191
1937,0.0057869055308401585
1938,0.0058253128081560135
1939,0.005986730568110943
1940,0.005714462138712406
1941,0.005787582602351904
1942,0.005936907604336739
1943,0.006027141120284796
1944,0.006056185811758041
1945,0.006164218299090862
1946,0.006023650523275137
1947,0.006011249031871557
1948,0.005938137415796518
1949,0.005931182764470577
1950,0.005782188847661018
1951,0.0057858871296048164
1952,0.005757015664130449
1953,0.005729635711759329
1954,0.005734751932322979
1955,0.0057869842275977135
1956,0.005664499010890722
1957,0.005711033008992672
1958,0.0056692371144890785
1959,0.0057065896689891815
1960,0.005605322774499655
1961,0.0056498972699046135
1962,0.005567068699747324
1963,0.005611205007880926
1964,0.0055389790795743465
1965,0.005555788520723581
1966,0.005556868854910135
1967,0.005585100967437029
1968,0.005548563785851002
1969,0.005600542761385441
1970,0.005513315554708242
1971,0.005588511936366558
1972,0.005477643571794033
1973,0.005419208202511072
1974,0.00544591061770916
1975,0.005490463692694902
1976,0.005360506009310484
1977,0.005342260003089905
1978,0.005254116840660572
1979,0.005267771892249584
1980,0.005151804536581039
1981,0.005056421738117933
1982,0.004987800493836403
1983,0.005039628129452467
1984,0.0048595271073281765
1985,0.004868288524448872
1986,0.0048180860467255116
1987,0.004814798012375832
1988,0.004750605206936598
1989,0.00461928453296423
1990,0.004676957614719868
1991,0.004636428318917751
1992,0.0046016075648367405
1993,0.004466074984520674
1994,0.0044623506255447865
1995,0.004477824550122023
1996,0.004466475918889046
1997,0.004496395587921143
1998,0.004474574699997902
1999,0.004465634934604168
2000,0.004441575612872839
2001,0.004423607140779495
2002,0.004428049549460411
2003,0.004468605387955904
2004,0.004429875873029232
2005,0.004424730781465769
2006,0.004435155540704727
2007,0.004402760416269302
2008,0.0044763763435184956
2009,0.004464300815016031
2010,0.004446874372661114
2011,0.0044166892766952515
2012,0.004514523781836033
2013,0.0044950940646231174
2014,0.0043214233592152596
2015,0.004245121497660875
2016,0.00424279784783721
2017,0.004187818616628647
2018,0.004158509895205498
2019,0.004193681292235851
