,customer
1908,9.785680049390066e-06
1909,1.0854299944185186e-05
1910,1.0638355888659135e-05
1911,1.1141662980662659e-05
1912,1.2073045581928454e-05
1913,1.380337926093489e-05
1914,1.4317050954559818e-05
1915,1.5444875316461548e-05
1916,1.6172905816347338e-05
1917,1.6458869140478782e-05
1918,1.6855485228006728e-05
1919,1.7535043298266828e-05
1920,1.842788333306089e-05
1921,2.0199677237542346e-05
1922,1.9692048226715997e-05
1923,1.8212997019873e-05
1924,1.6534742826479487e-05
1925,1.62846154125873e-05
1926,1.6070058336481452e-05
1927,1.600440555193927e-05
1928,1.584242272656411e-05
1929,1.5946588973747566e-05
1930,1.710060314508155e-05
1931,1.885197161755059e-05
1932,1.7101796402130276e-05
1933,1.8776909200823866e-05
1934,1.767816320352722e-05
1935,1.7588470655027777e-05
1936,1.8473770978744142e-05
1937,1.798975790734403e-05
1938,1.7756910892785527e-05
1939,1.686650466581341e-05
1940,1.805342071747873e-05
1941,2.3795331799192354e-05
1942,1.659669760556426e-05
1943,1.4453074072662275e-05
1944,1.575944224896375e-05
1945,1.6403093468397856e-05
1946,1.649968726269435e-05
1947,1.756814708642196e-05
1948,1.7270025637117215e-05
1949,1.6932897779042833e-05
1950,1.5889729183982126e-05
1951,1.6537393094040453e-05
1952,1.7188400306622498e-05
1953,1.796554533939343e-05
1954,1.8297858332516626e-05
1955,1.9142902601743117e-05
1956,1.893717490020208e-05
1957,2.017886254179757e-05
1958,1.8572614862932824e-05
1959,1.884257471829187e-05
1960,1.7571546777617186e-05
1961,1.9065684682573192e-05
1962,1.87073146662442e-05
1963,1.974068618437741e-05
1964,1.953564969880972e-05
1965,1.7833648598752916e-05
1966,1.776628960215021e-05
1967,1.8125601854990236e-05
1968,1.834957038227003e-05
1969,1.7483887859270908e-05
1970,1.8127992007066496e-05
1971,1.7522923371871002e-05
1972,1.8176137018599547e-05
1973,1.8766362700262107e-05
1974,1.9437802620814182e-05
1975,2.075462725770194e-05
1976,2.0607112674042583e-05
1977,2.2444008209276944e-05
1978,2.221681825176347e-05
1979,2.1064859538455494e-05
1980,2.2230726244742982e-05
1981,2.253512866445817e-05
1982,2.4185144866351038e-05
1983,2.431621032883413e-05
1984,2.6100991817656904e-05
1985,2.6280205929651856e-05
1986,2.7610301913227886e-05
1987,2.7369287636247464e-05
1988,2.7818323360406794e-05
1989,2.85108126263367e-05
1990,2.964738268929068e-05
1991,3.0463394068647176e-05
1992,3.299177114968188e-05
1993,3.266243584221229e-05
1994,3.613284934544936e-05
1995,3.82833750336431e-05
1996,3.8528090954059735e-05
1997,4.25261132477317e-05
1998,4.061627987539396e-05
1999,4.419513788889162e-05
2000,4.440928023541346e-05
2001,4.7577508667018265e-05
2002,4.7739475121488795e-05
2003,4.69210026494693e-05
2004,4.43231692770496e-05
2005,4.5587774366140366e-05
2006,4.4512951717479154e-05
2007,4.560090383165516e-05
2008,4.410200199345127e-05
2009,4.286262264940888e-05
