,pm
1800,4.64310460301931e-07
1801,1.288089720219432e-06
1802,4.6679798515469884e-07
1803,5.936193474553875e-07
1804,3.055360195958201e-07
1805,2.5526657054797397e-07
1806,3.3660896292531106e-07
1807,4.2924412468892115e-07
1808,4.180807877673942e-07
1809,8.071934303188755e-07
1810,3.441689102601231e-07
1811,2.7513956979419163e-07
1812,5.851108539900451e-07
1813,3.1426608870788186e-07
1814,3.855615773318277e-07
1815,5.79822369672911e-07
1816,5.553630444410373e-07
1817,4.124833594687516e-07
1818,3.041966181172029e-07
1819,4.472862258353416e-07
1820,4.485879401272541e-07
1821,6.303817485786567e-07
1822,5.007910885979072e-07
1823,4.828723376704147e-07
1824,3.860484127926611e-07
1825,3.9302204868363333e-07
1826,6.00759278768237e-07
1827,3.642699653028103e-07
1828,3.14642761622963e-07
1829,2.994450483129185e-07
1830,3.367173633250786e-07
1831,3.3672506560833426e-07
1832,3.064661200369301e-07
1833,2.9220373676253075e-07
1834,3.0692396535414446e-07
1835,2.7000893965123396e-07
1836,3.775854793275357e-07
1837,3.5175992252334254e-07
1838,2.9793378075737564e-07
1839,2.8793468231924635e-07
1840,2.5424014893360436e-07
1841,4.226156704589812e-07
1842,3.0236793691074126e-07
1843,2.994715941895265e-07
1844,4.0901912257140793e-07
1845,4.904156867269194e-07
1846,5.7194102964786e-07
1847,3.3985796221713827e-07
1848,3.606562870572816e-07
1849,4.22759285356733e-07
1850,9.952628943210584e-07
1851,5.91830030316487e-07
1852,1.04464288597228e-06
1853,7.782217039675743e-07
1854,8.004753908608109e-07
1855,7.191877671175462e-07
1856,7.286677714546386e-07
1857,9.258505997422617e-07
1858,7.151788281589688e-07
1859,7.594474595862266e-07
1860,7.277894837898202e-07
1861,9.004004937196441e-07
1862,8.615415367785317e-07
1863,7.933036840768182e-07
1864,7.781604836054612e-07
1865,1.1431717439336353e-06
1866,9.460216006118571e-07
1867,9.253720349988726e-07
1868,9.399026339451666e-07
1869,1.0073804332932923e-06
1870,9.564645324644516e-07
1871,8.899154977370927e-07
1872,8.418334687121387e-07
1873,8.296085525216768e-07
1874,9.472481679040357e-07
1875,9.425445455235604e-07
1876,9.43972793265857e-07
1877,1.048479248311196e-06
1878,9.544569365971256e-07
1879,1.0088978115163627e-06
1880,1.0168140534005943e-06
1881,1.1165731166329351e-06
1882,1.1506195960464538e-06
1883,9.622643801776576e-07
1884,9.45042359035142e-07
1885,1.5215973689919338e-06
1886,1.1281146043984336e-06
1887,1.3993522998134722e-06
1888,1.0383657809143187e-06
1889,9.779612355487188e-07
1890,9.75313241724507e-07
1891,8.989786124402599e-07
1892,9.817488262342522e-07
1893,1.1748583119697287e-06
1894,9.270053169530001e-07
1895,1.0490408612895408e-06
1896,1.0452703236296657e-06
1897,1.0235780791845173e-06
1898,1.2005556300209719e-06
1899,9.330900070381176e-07
1900,1.0809999366756529e-06
1901,1.1856487844852381e-06
1902,1.3124576980771963e-06
1903,1.305799969486543e-06
1904,1.0647365797922248e-06
1905,1.14103886517114e-06
1906,1.1461997928563505e-06
1907,1.2890992593383999e-06
1908,1.1988760206804727e-06
1909,1.0018802640843205e-06
1910,1.0613025551720057e-06
1911,1.2200079027024913e-06
1912,1.153746097770636e-06
1913,1.1248997680013417e-06
1914,1.2042827393088373e-06
1915,1.1557951893337304e-06
1916,1.1428755897213705e-06
1917,1.0159922112507047e-06
1918,1.1787482208092115e-06
1919,1.1604685141719528e-06
1920,1.2341240562818712e-06
1921,1.2094500334569602e-06
1922,1.0794236686706427e-06
1923,7.418961445182504e-07
1924,4.0536940559832146e-07
1925,4.764084735597862e-07
1926,4.415445857830491e-07
1927,4.8361954441134e-07
1928,5.298091991789988e-07
1929,4.865169671575131e-07
1930,4.4981061364524066e-07
1931,4.813942382497771e-07
1932,3.839142550532415e-07
1933,5.919779937357816e-07
1934,9.308258768214728e-07
1935,1.1820204690593528e-06
1936,1.1431370694481302e-06
1937,6.143166046967963e-07
1938,7.752927331239334e-07
1939,1.0152351705983165e-06
1940,8.956095598477987e-07
1941,6.94636355547118e-07
1942,5.415944315245724e-07
