,group
1800,1.1064082173106726e-05
1801,6.428297183447285e-06
1802,6.758057224942604e-06
1803,5.005421371606644e-06
1804,5.155107828613836e-06
1805,5.193458946450846e-06
1806,7.604413895023754e-06
1807,6.062806278350763e-06
1808,6.183960067573935e-06
1809,6.0213733377167955e-06
1810,5.833297109347768e-06
1811,5.173282715986716e-06
1812,3.947598543163622e-06
1813,5.081652034277795e-06
1814,6.280552042881027e-06
1815,7.831778930267319e-06
1816,6.615473466808908e-06
1817,8.211636668420397e-06
1818,7.453493253706256e-06
1819,9.169368240691256e-06
1820,8.518372851540335e-06
1821,1.0375607416790444e-05
1822,1.1685475328704342e-05
1823,1.0304372153768782e-05
1824,1.1719134818122257e-05
1825,1.0919899068539962e-05
1826,1.3029888577875681e-05
1827,1.3797194696962833e-05
1828,1.183056792797288e-05
1829,1.5823306966922246e-05
1830,1.2616652384167537e-05
1831,1.6144267647177912e-05
1832,3.037851638509892e-05
1833,1.8195352822658606e-05
1834,1.8620919945533387e-05
1835,2.8899301469209604e-05
1836,2.0070920072612353e-05
1837,2.0331141058704816e-05
1838,2.195443448727019e-05
1839,1.9717221221071668e-05
1840,2.1049349015811458e-05
1841,2.288055111421272e-05
1842,2.973708978970535e-05
1843,2.841223613359034e-05
1844,2.1499710783245973e-05
1845,2.2473555873148143e-05
1846,2.2510883354698308e-05
1847,2.513920480851084e-05
1848,2.503944961063098e-05
1849,2.260118526464794e-05
1850,2.3249105652212165e-05
1851,2.971514913951978e-05
1852,2.8005606509395875e-05
1853,2.3693228285992518e-05
1854,2.857889012375381e-05
1855,2.6808504117070697e-05
1856,2.7861999114975333e-05
1857,2.9692266252823174e-05
1858,3.15740799123887e-05
1859,3.136556188110262e-05
1860,3.0160474125295877e-05
1861,3.284264312242158e-05
1862,3.8607722672168165e-05
1863,3.2861473300727084e-05
1864,3.1717947422293946e-05
1865,3.443361129029654e-05
1866,3.200333230779506e-05
1867,3.4409862564643845e-05
1868,3.2302807085216045e-05
1869,3.443178502493538e-05
1870,3.505191489239223e-05
1871,3.532560003804974e-05
1872,3.623208976932801e-05
1873,4.310268923291005e-05
1874,3.956969521823339e-05
1875,4.077967241755687e-05
1876,4.6871511585777625e-05
1877,4.751038068206981e-05
1878,4.433380672708154e-05
1879,4.714799433713779e-05
1880,4.6226872655097395e-05
1881,4.413867281982675e-05
1882,4.4578446249943227e-05
1883,4.87877223349642e-05
1884,4.8664267524145544e-05
1885,5.130258068675175e-05
1886,4.651038398151286e-05
1887,4.287545380066149e-05
1888,4.718296986538917e-05
1889,5.18153392476961e-05
1890,5.3186686272965744e-05
1891,5.4411266319220886e-05
1892,5.4994601669022813e-05
1893,5.5068539950298145e-05
1894,5.508117828867398e-05
1895,5.798384881927632e-05
1896,5.8479447034187615e-05
1897,5.8818241086555645e-05
1898,6.041813685442321e-05
1899,5.56477352802176e-05
1900,6.370175833581015e-05
1901,5.9280799177940935e-05
1902,6.510996172437444e-05
1903,6.655291508650407e-05
1904,6.423603190341964e-05
1905,6.663476960966364e-05
1906,6.841305730631575e-05
1907,6.818154361099005e-05
1908,7.196127262432128e-05
1909,7.198419916676357e-05
1910,7.982935494510457e-05
1911,9.208892879541963e-05
1912,8.304685616167262e-05
