,level
1800,3.7232144677545875e-05
1801,3.583563011488877e-05
1802,3.931616447516717e-05
1803,3.197764090145938e-05
1804,2.9337959858821705e-05
1805,3.313906927360222e-05
1806,3.333165659569204e-05
1807,3.629354978329502e-05
1808,3.137968815281056e-05
1809,3.418988853809424e-05
1810,3.509497764753178e-05
1811,3.249942164984532e-05
1812,2.5963978259824216e-05
1813,3.488811489660293e-05
1814,3.414762977627106e-05
1815,3.776698940782808e-05
1816,2.806959491863381e-05
1817,3.442480738158338e-05
1818,3.8058376958360896e-05
1819,4.209549297229387e-05
1820,3.18761303788051e-05
1821,3.37711680913344e-05
1822,4.161405377089977e-05
1823,3.561389894457534e-05
1824,3.800642298301682e-05
1825,4.013366560684517e-05
1826,3.830503919743933e-05
1827,4.003683716291562e-05
1828,3.8272082747425884e-05
1829,4.551979509415105e-05
1830,4.1982064431067556e-05
1831,4.0611666918266565e-05
1832,4.9173795559909195e-05
1833,4.1102655814029276e-05
1834,4.370935130282305e-05
1835,4.600642205332406e-05
1836,4.577675645123236e-05
1837,4.3040879972977564e-05
1838,4.869398981099948e-05
1839,4.641738269128837e-05
1840,4.1043251258088276e-05
1841,4.5263153879204765e-05
1842,5.218180740484968e-05
1843,4.3284228013362736e-05
1844,4.1532341128913686e-05
1845,4.848602111451328e-05
1846,4.4893698941450566e-05
1847,4.6602144720964134e-05
1848,4.472978980629705e-05
1849,4.396605072543025e-05
1850,4.804795389645733e-05
1851,4.7464691306231543e-05
1852,4.709131098934449e-05
1853,4.352558607934043e-05
1854,4.8207275540335104e-05
1855,4.9547863454790786e-05
1856,4.966595588484779e-05
1857,4.662554056267254e-05
1858,4.913124212180264e-05
1859,4.955194526701234e-05
1860,4.72759929834865e-05
1861,4.7181310947053134e-05
1862,5.048036473453976e-05
1863,5.168813368072733e-05
1864,4.39198047388345e-05
1865,4.915950557915494e-05
1866,4.613651253748685e-05
1867,4.9361857236362994e-05
1868,4.924737004330382e-05
1869,5.221036190050654e-05
1870,4.9825390306068584e-05
1871,5.139803033671342e-05
1872,5.127730037202127e-05
1873,5.729177428293042e-05
1874,5.987574331811629e-05
1875,5.911486005061306e-05
1876,6.337150989565998e-05
1877,6.187724648043513e-05
1878,6.120879697846249e-05
1879,5.9111753216711804e-05
1880,5.9870922996196896e-05
1881,5.917405724176206e-05
1882,5.962106297374703e-05
1883,5.971218706690706e-05
1884,5.9824251366080716e-05
1885,5.8824356528930366e-05
1886,5.787315603811294e-05
1887,5.5357922974508256e-05
1888,5.518961916095577e-05
1889,5.553522350965068e-05
1890,6.142771599115804e-05
1891,5.981137655908242e-05
1892,6.091807154007256e-05
1893,6.19928541709669e-05
1894,6.212333391886204e-05
1895,6.164204387459904e-05
1896,6.446742918342352e-05
1897,6.212712469277903e-05
1898,6.399609264917672e-05
1899,6.105132342781872e-05
1900,6.620341446250677e-05
1901,6.24461899860762e-05
1902,6.713691254844889e-05
1903,6.879907596157864e-05
1904,6.696408672723919e-05
1905,7.101788651198149e-05
1906,7.366551290033385e-05
1907,7.192998600658029e-05
1908,7.217131496872753e-05
1909,7.669765182072297e-05
1910,7.745755283394828e-05
