,article
1881,8.069958130363375e-05
1882,8.330725540872663e-05
1883,8.173814421752468e-05
1884,8.059330866672099e-05
1885,8.381081715924665e-05
1886,8.453799091512337e-05
1887,8.607617928646505e-05
1888,8.531076309736818e-05
1889,9.24003470572643e-05
1890,9.031280933413655e-05
1891,8.9772351202555e-05
1892,8.639608859084547e-05
1893,8.601680747233331e-05
1894,9.178911568596959e-05
1895,9.492160461377352e-05
1896,9.118147863773629e-05
1897,9.765776485437527e-05
1898,9.20229431358166e-05
1899,8.823059033602476e-05
1900,9.084274643100798e-05
1901,9.336864604847506e-05
1902,9.217688057105988e-05
1903,9.279426740249619e-05
1904,9.237633639713749e-05
1905,9.243933891411871e-05
1906,8.96124547580257e-05
1907,8.945257286541164e-05
1908,9.424704330740497e-05
1909,0.0001053918240359053
1910,9.27174769458361e-05
1911,9.821327694226056e-05
1912,9.916466660797596e-05
1913,9.821193816605955e-05
1914,0.00010176149953622371
1915,0.00010334655962651595
1916,9.832993237068877e-05
1917,0.0001001639393507503
1918,0.00010403421038063243
1919,0.0001053963351296261
1920,0.00010333491081837565
1921,0.00010773919348139316
1922,0.00010172267502639443
1923,9.26187785807997e-05
1924,8.945065928855911e-05
1925,9.506123751634732e-05
1926,9.10076851141639e-05
1927,9.278435027226806e-05
1928,8.755362796364352e-05
1929,9.87797902780585e-05
1930,9.737603977555409e-05
1931,9.571106784278527e-05
1932,9.274813055526465e-05
1933,9.618822514312342e-05
1934,9.665238030720502e-05
1935,9.468973439652473e-05
1936,9.478080755798146e-05
1937,9.338981180917472e-05
1938,9.926065104082227e-05
1939,9.052623499883339e-05
1940,8.965222514234483e-05
1941,8.628093200968578e-05
1942,8.325828821398318e-05
1943,9.055464761331677e-05
1944,9.053484973264858e-05
1945,9.110553946811706e-05
1946,8.475013601128012e-05
1947,9.88302708719857e-05
1948,8.781022188486531e-05
1949,9.269440488424152e-05
1950,8.618642459623516e-05
1951,9.327095904154703e-05
1952,8.364816312678158e-05
1953,8.520466508343816e-05
1954,9.07399007701315e-05
1955,8.69982541189529e-05
1956,8.237189467763528e-05
1957,8.454926137346774e-05
1958,8.647750655654818e-05
1959,8.335331222042441e-05
1960,8.140714635374025e-05
1961,8.189283835235983e-05
1962,8.266924123745412e-05
1963,8.687956142239273e-05
1964,8.09935008874163e-05
1965,8.154069655574858e-05
1966,8.216690912377089e-05
1967,8.486899605486542e-05
1968,8.433781476924196e-05
1969,8.649647497804835e-05
1970,8.148089546011761e-05
1971,8.425562555203214e-05
1972,8.257498848251998e-05
1973,8.445870480500162e-05
1974,8.012864418560639e-05
1975,8.005045674508438e-05
1976,7.667196041438729e-05
1977,7.99281697254628e-05
1978,7.95109081082046e-05
1979,7.69436446717009e-05
1980,7.776953134452924e-05
1981,7.596036448376253e-05
1982,7.806999201420695e-05
1983,7.625633588759229e-05
1984,7.453312719007954e-05
1985,7.676114182686433e-05
1986,8.060524123720825e-05
1987,7.882143108872697e-05
1988,7.584632840007544e-05
1989,7.205594010883942e-05
1990,7.757678395137191e-05
1991,7.118762005120516e-05
1992,7.129678124329075e-05
1993,6.85670820530504e-05
1994,7.3287206760142e-05
1995,6.970511458348483e-05
1996,6.854684033896774e-05
1997,7.029875268926844e-05
1998,6.756509537808597e-05
1999,7.11288012098521e-05
2000,6.639707862632349e-05
2001,6.682950333924964e-05
2002,6.441778532462195e-05
2003,6.327188748400658e-05
2004,6.362441490637138e-05
2005,6.535219290526584e-05
2006,6.279043736867607e-05
2007,6.334835052257404e-05
2008,6.0891634348081425e-05
2009,5.658972077071667e-05
2010,5.249891910352744e-05
2011,4.65652447019238e-05
2012,4.4626318413065746e-05
2013,4.649785842048004e-05
2014,4.3620719225145876e-05
2015,4.473877925192937e-05
2016,4.9133603170048445e-05
2017,4.399912722874433e-05
2018,4.216590241412632e-05
2019,4.49678955192212e-05
