,article
1800,7.872642163420096e-05
1801,8.93683172762394e-05
1802,0.00010007559467339888
1803,8.521319250576198e-05
1804,8.344709203811362e-05
1805,8.414983312832192e-05
1806,7.363136683125049e-05
1807,8.079612598521635e-05
1808,7.4432922701817e-05
1809,7.562641985714436e-05
1810,8.645523485029116e-05
1811,7.472757715731859e-05
1812,7.734735117992386e-05
1813,8.43667148728855e-05
1814,8.883830741979182e-05
1815,9.300718375016004e-05
1816,7.935581379570067e-05
1817,9.092332766158506e-05
1818,7.417936285492033e-05
1819,9.651797881815583e-05
1820,7.6243159128353e-05
1821,8.104980224743485e-05
1822,7.93396175140515e-05
1823,8.447068103123456e-05
1824,8.781206997809932e-05
1825,7.728385389782488e-05
1826,8.186254126485437e-05
1827,8.001452806638554e-05
1828,8.725796942599118e-05
1829,8.53045130497776e-05
1830,9.176719322567806e-05
1831,8.156778494594619e-05
1832,9.394047810928896e-05
1833,9.109284292208031e-05
1834,9.018101991387084e-05
1835,7.969435682753101e-05
1836,8.433031325694174e-05
1837,8.522183634340763e-05
1838,8.021045505302027e-05
1839,7.43880300433375e-05
1840,7.385486969724298e-05
1841,8.024034468689933e-05
1842,8.398189675062895e-05
1843,8.507110032951459e-05
1844,8.181606972357258e-05
1845,7.927408296382055e-05
1846,9.097167639993131e-05
1847,7.813974661985412e-05
1848,7.780925807310268e-05
1849,8.249741222243756e-05
1850,8.421171514783055e-05
1851,9.309876622864977e-05
1852,8.690999675309286e-05
1853,8.013091428438202e-05
1854,7.959481445141137e-05
1855,8.680936298333108e-05
1856,7.98200344434008e-05
1857,8.096615056274459e-05
1858,8.588613854954019e-05
1859,8.192325913114473e-05
1860,7.87744575063698e-05
1861,8.105862798402086e-05
1862,8.280182373709977e-05
1863,8.242544572567567e-05
1864,7.878914766479284e-05
1865,7.636200462002307e-05
1866,7.839214231353253e-05
1867,8.147592598106712e-05
1868,0.00010740245488705114
1869,7.890423876233399e-05
1870,8.337061444763094e-05
1871,8.22094370960258e-05
1872,8.184156467905268e-05
1873,8.579500718042254e-05
1874,8.042293484322727e-05
1875,8.098458783933893e-05
1876,7.919158815639094e-05
1877,8.082720887614414e-05
1878,7.913511944934726e-05
1879,8.13643928267993e-05
1880,7.930440187919885e-05
