,march
1800,4.2708627006504685e-05
1801,3.25222426909022e-05
1802,4.534248364507221e-05
1803,4.265126335667446e-05
1804,5.626413621939719e-05
1805,5.934035652899183e-05
1806,4.0567523683421314e-05
1807,3.9718961488688365e-05
1808,4.515636101132259e-05
1809,4.494764289120212e-05
1810,4.42601231043227e-05
1811,4.767493373947218e-05
1812,4.753455868922174e-05
1813,4.3776046368293464e-05
1814,5.163572132005356e-05
1815,5.3246742027113214e-05
1816,4.489886123337783e-05
1817,4.1656432586023584e-05
1818,3.6988956708228216e-05
1819,3.236435441067442e-05
1820,4.513346357271075e-05
1821,3.963384369853884e-05
1822,3.8405203667934984e-05
1823,4.3700980313587934e-05
1824,3.549215762177482e-05
1825,4.287870615371503e-05
1826,4.125869236304425e-05
1827,4.9638354539638385e-05
1828,4.2800278606591746e-05
1829,4.2879535612883046e-05
1830,3.8273781683528796e-05
1831,3.66551466868259e-05
1832,2.950634188891854e-05
1833,3.612185173551552e-05
1834,3.889285653713159e-05
1835,3.5229906643508e-05
1836,4.121282108826563e-05
1837,3.918024231097661e-05
1838,3.828273111139424e-05
1839,3.968454620917328e-05
1840,4.100259320694022e-05
1841,3.787726382142864e-05
1842,3.544494757079519e-05
1843,3.74328919861e-05
1844,4.084509055246599e-05
1845,4.178793096798472e-05
1846,3.612455111579038e-05
1847,4.127661304664798e-05
1848,4.249063567840494e-05
1849,3.922576070181094e-05
1850,3.627703699748963e-05
1851,3.379288318683393e-05
1852,3.586657112464309e-05
1853,3.494487827992998e-05
1854,3.7350968341343105e-05
1855,3.9259441109606996e-05
1856,3.766945519600995e-05
1857,3.8996728108031675e-05
1858,3.543111961334944e-05
1859,3.497145735309459e-05
1860,3.592112989281304e-05
1861,4.155108399572782e-05
1862,4.2699193727457896e-05
1863,4.227651152177714e-05
1864,4.340617306297645e-05
1865,4.2646432120818645e-05
1866,4.567637006402947e-05
1867,3.196472971467301e-05
1868,3.403493974474259e-05
1869,2.7870031772181392e-05
1870,2.6764068024931476e-05
1871,2.807515556924045e-05
1872,2.340784703847021e-05
1873,2.4638724426040426e-05
1874,2.5963689040509053e-05
1875,2.763593329291325e-05
1876,2.75619859166909e-05
1877,2.627846879477147e-05
1878,2.5159584765788168e-05
1879,2.7297663109493442e-05
1880,3.083520277868956e-05
1881,2.7570922611630522e-05
1882,2.8075070076738484e-05
1883,2.6288464141543955e-05
1884,2.594480429252144e-05
1885,2.9117478334228508e-05
1886,2.7338734071236104e-05
1887,2.5838680812739767e-05
1888,2.7331916498951614e-05
1889,2.6645582693163306e-05
1890,2.93746870738687e-05
1891,3.081534669036046e-05
1892,2.626539753691759e-05
1893,2.6472293029655702e-05
1894,2.5426867068745196e-05
1895,2.5274035579059273e-05
1896,2.3385160602629185e-05
1897,2.4417882741545327e-05
1898,2.5778825147426687e-05
1899,2.651763497851789e-05
1900,2.5113320589298382e-05
1901,2.28596618399024e-05
1902,2.2849564629723318e-05
1903,1.9713619622052647e-05
1904,2.105637759086676e-05
1905,1.7770893464330584e-05
1906,1.6768904970376752e-05
1907,1.8315729903406464e-05
