,pictures
1800,2.1044772438472137e-05
1801,2.237549597339239e-05
1802,1.704022906778846e-05
1803,1.3673417015525047e-05
1804,1.4792494766879827e-05
1805,1.8710430595092475e-05
1806,2.1658452169504017e-05
1807,1.9499640984577127e-05
1808,2.005697024287656e-05
1809,1.8974475096911192e-05
1810,2.369786125200335e-05
1811,1.6401283573941328e-05
1812,1.2716662240563892e-05
1813,1.6476085875183344e-05
1814,1.701885230431799e-05
1815,1.8761515093501657e-05
1816,2.0844445316470228e-05
1817,1.8282375094713643e-05
1818,1.598316703166347e-05
1819,2.1826503143529408e-05
1820,2.384113031439483e-05
1821,2.0491794202825986e-05
1822,1.7553989891894162e-05
1823,2.08037508855341e-05
1824,4.0095943404594436e-05
1825,1.90720493264962e-05
1826,1.9200699171051383e-05
1827,1.8487638953956775e-05
1828,2.7246289391769096e-05
1829,2.487965321051888e-05
1830,2.1643605577992275e-05
1831,2.2913522116141394e-05
1832,2.4895576643757522e-05
1833,2.2839923985884525e-05
1834,2.4962280804174952e-05
1835,2.3646345653105527e-05
1836,1.982092908292543e-05
1837,1.9197370420442894e-05
1838,2.3501579562434927e-05
1839,2.1757457943749614e-05
1840,2.2344402168528177e-05
1841,2.5524703232804313e-05
1842,2.6974932552548125e-05
1843,2.4047145416261628e-05
1844,2.3584483642480336e-05
1845,2.3740036340313964e-05
1846,2.3676338969380595e-05
1847,3.008187013620045e-05
1848,2.7386986403143965e-05
1849,3.097145599895157e-05
1850,2.4935452529462054e-05
1851,2.5374807592015713e-05
1852,3.010994078067597e-05
1853,3.227792331017554e-05
1854,3.2733692933106795e-05
1855,2.9020571673754603e-05
1856,2.820589543262031e-05
1857,3.538488454069011e-05
1858,2.7841992050525732e-05
1859,3.0060620701988228e-05
1860,3.116354127996601e-05
1861,2.671685433597304e-05
1862,3.189281778759323e-05
1863,2.8543134249048308e-05
1864,3.0195633371477015e-05
1865,3.364146687090397e-05
1866,2.8965436285943724e-05
1867,3.056628702324815e-05
1868,2.593555473140441e-05
1869,2.987581137858797e-05
1870,3.195656245225109e-05
1871,2.9314827770576812e-05
1872,2.7972535463050008e-05
1873,3.175603342242539e-05
1874,3.2535062928218395e-05
1875,3.1176496122498065e-05
1876,3.246070264140144e-05
1877,2.8104474040446803e-05
1878,3.0256480386015028e-05
1879,3.328530874568969e-05
1880,3.2262803870253265e-05
1881,3.1642757676308975e-05
1882,2.862227484001778e-05
1883,3.083297633565962e-05
1884,2.745704841800034e-05
1885,2.8824821129092015e-05
1886,2.9125683795427904e-05
1887,2.900729850807693e-05
1888,2.9803597499267198e-05
1889,2.944717743957881e-05
1890,2.906151166826021e-05
1891,3.131057746941224e-05
1892,2.9242153686936945e-05
1893,2.930612026830204e-05
1894,3.0251881980802864e-05
1895,2.8691243642242625e-05
1896,3.180753628839739e-05
1897,3.177546022925526e-05
1898,3.285233833594248e-05
1899,3.431690129218623e-05
1900,3.4824246540665627e-05
1901,3.13459531753324e-05
1902,3.193910379195586e-05
1903,3.209196438547224e-05
1904,3.652001032605767e-05
1905,3.386500247870572e-05
1906,3.0486036848742515e-05
1907,3.227531487937085e-05
1908,3.15337601932697e-05
1909,3.087192089878954e-05
1910,3.14665085170418e-05
1911,3.109871977358125e-05
1912,3.125185685348697e-05
1913,3.2576394005445763e-05
1914,3.265173654654063e-05
1915,3.1687151931691915e-05
1916,3.20470571750775e-05
1917,3.1514788133790717e-05
1918,2.945464802905917e-05
1919,2.987769039464183e-05
1920,3.2091917091747746e-05
1921,3.280463351984508e-05
1922,3.248354187235236e-05
1923,3.629996353993192e-05
1924,3.4893448173534125e-05
1925,3.4500728361308575e-05
1926,3.855875547742471e-05
1927,3.796986129600555e-05
1928,3.820986967184581e-05
1929,3.9806298445910215e-05
1930,4.1229297494282946e-05
1931,3.753629425773397e-05
1932,3.7860423617530614e-05
1933,3.865162580041215e-05
1934,3.759754326893017e-05
1935,3.907817153958604e-05
1936,4.316124977776781e-05
1937,4.214422733639367e-05
1938,4.14697642554529e-05
1939,4.2225692595820874e-05
1940,4.358449950814247e-05
1941,3.8883648812770844e-05
1942,3.9626833313377574e-05
1943,3.51608578057494e-05
1944,3.869378269882873e-05
1945,3.665650001494214e-05
1946,3.8519447116414085e-05
1947,3.918295260518789e-05
1948,3.919032315025106e-05
1949,3.51559829141479e-05
1950,3.58223587682005e-05
1951,3.655781620182097e-05
1952,3.4267995943082497e-05
1953,3.5615805245470256e-05
1954,3.490404924377799e-05
1955,3.297691364423372e-05
1956,3.5869390558218583e-05
1957,3.135757287964225e-05
1958,3.097323133260943e-05
1959,3.012081651831977e-05
1960,3.094210842391476e-05
1961,2.8972392101422884e-05
1962,2.864366615540348e-05
1963,2.7328063879394904e-05
1964,2.8208030926180072e-05
1965,2.6644140234566294e-05
1966,2.814052095345687e-05
1967,2.616522579046432e-05
1968,2.8060732802259736e-05
1969,2.6782534405356273e-05
1970,2.75127895292826e-05
1971,2.4858452889020555e-05
1972,2.489724829501938e-05
1973,2.290510747116059e-05
1974,2.3049875380820595e-05
1975,2.167410093534272e-05
1976,2.257395681226626e-05
1977,2.149960710084997e-05
1978,2.1941330487607047e-05
1979,2.0748200768139213e-05
1980,2.1165853468119167e-05
1981,2.128341111529153e-05
1982,2.2115002138889395e-05
1983,2.088128894683905e-05
1984,2.2787255147704855e-05
1985,2.1048837879789062e-05
1986,2.12439481401816e-05
1987,2.1100113372085616e-05
