,info
1800,1.1627604408204206e-06
1801,1.1179647572134854e-06
1802,9.546229193801992e-07
1803,6.74305510983686e-07
1804,7.638400916221144e-07
1805,8.053052056311572e-07
1806,7.64126923513686e-07
1807,7.303556799342914e-07
1808,6.525695539494336e-07
1809,5.863916499038169e-07
1810,4.584037185395573e-07
1811,3.987052537013369e-07
1812,3.4574730989334057e-07
1813,4.820780645786726e-07
1814,4.347822084582731e-07
1815,4.444747787601955e-07
1816,3.8563106841138506e-07
1817,3.0863117217450053e-07
1818,2.406533212706563e-07
1819,2.955283946448617e-07
1820,2.602769484383316e-07
1821,1.9675931639540067e-07
1822,2.0831225810979959e-07
1823,1.8572013971152046e-07
1824,1.5657907681543293e-07
1825,1.5982895718025247e-07
1826,1.6026801574753335e-07
1827,1.5021441868157126e-07
1828,1.4890136412759603e-07
1829,1.6506805877725128e-07
1830,1.1199512073289952e-07
1831,1.4133183867670596e-07
1832,1.6331742358488555e-07
1833,1.4877039689054072e-07
1834,1.1509648345509049e-07
1835,1.3411039390121005e-07
1836,1.2066570320712344e-07
1837,1.2616843036994396e-07
1838,1.2668050430875155e-07
1839,1.1086536488846832e-07
1840,1.1925976650672965e-07
1841,1.1380168984942429e-07
1842,9.972836778615601e-08
1843,1.1481508011002006e-07
1844,1.0286709084539325e-07
1845,1.1153552037512782e-07
1846,9.868966799331247e-08
1847,8.695128173030753e-08
1848,9.810598555759498e-08
1849,1.1002698130369026e-07
1850,1.752104026309098e-07
1851,1.481489135812808e-07
1852,1.7116042272391496e-07
1853,1.555114153006798e-07
1854,1.4397507186458824e-07
1855,1.5608357273322326e-07
1856,1.459362408695597e-07
1857,1.5307114153984003e-07
1858,1.455348410672741e-07
1859,1.624653975795809e-07
1860,1.3342807392291434e-07
1861,1.475801951755784e-07
1862,1.5823361820821447e-07
1863,1.712135571096951e-07
1864,1.482775360273081e-07
1865,1.6654190915232903e-07
1866,1.744342199572202e-07
1867,1.4703097406254528e-07
1868,1.6222298881984898e-07
1869,1.5638705974652112e-07
1870,1.7362765447614947e-07
1871,1.6625139664938615e-07
1872,1.590560856357115e-07
1873,1.5314940071675665e-07
1874,1.5508170747580152e-07
1875,1.5479746195978805e-07
1876,1.594677740968109e-07
1877,1.6718918516289705e-07
1878,1.5360045324541716e-07
1879,1.6260428026271256e-07
1880,1.825176383363214e-07
1881,1.5976443989984546e-07
1882,1.6399017965795792e-07
1883,1.5285731080894038e-07
1884,1.3390125275236642e-07
1885,1.5744574000109424e-07
1886,1.4121107483333617e-07
1887,1.3626171835312562e-07
1888,1.3632234185934067e-07
1889,1.3170804891160515e-07
1890,1.4914053281245288e-07
1891,1.5896573302143224e-07
1892,1.4509143397845037e-07
1893,1.34750138158779e-07
1894,1.4392600178325665e-07
1895,1.1954881529163686e-07
1896,1.1945947164804238e-07
1897,1.2618821187970752e-07
1898,1.3945474108822964e-07
1899,1.404111884539816e-07
1900,1.6267664193492237e-07
1901,1.2033261498345382e-07
1902,1.2239745217357267e-07
1903,1.1877808248073052e-07
1904,1.1719779990926327e-07
1905,1.2185384434815205e-07
1906,1.1592540261062823e-07
1907,1.1319570347723129e-07
1908,1.190017613339478e-07
1909,1.2728494880320795e-07
1910,1.2675330651745753e-07
1911,1.2191432574581995e-07
1912,1.1325233373327137e-07
1913,1.1695409796175227e-07
1914,1.0948914308528401e-07
1915,1.1058503446292889e-07
1916,1.1890149664850469e-07
1917,1.1848126746372145e-07
1918,1.325464182855285e-07
1919,1.3749875904522924e-07
1920,1.4478277421403618e-07
1921,1.437448702290567e-07
1922,1.3354822669953137e-07
1923,1.2927962700359785e-07
1924,1.4738915865564195e-07
1925,1.2561089590690244e-07
1926,1.2426498585682566e-07
1927,1.0752799539659463e-07
1928,1.1336950223039821e-07
1929,1.2917089975417184e-07
1930,1.2144568017902202e-07
1931,9.979150661365566e-08
1932,9.239430198704213e-08
1933,1.0654078863581162e-07
1934,1.6122807267038297e-07
1935,1.0062565536372858e-07
1936,1.5325075253258547e-07
1937,1.1339536598597988e-07
1938,1.3611179383588023e-07
1939,1.4978638773754938e-07
1940,1.574111081481533e-07
1941,1.8073944829666289e-07
1942,2.0632168684642238e-07
1943,1.8976102467149758e-07
1944,2.509650016691012e-07
