,web
1800,4.266100404493045e-06
1801,3.110858415311668e-06
1802,3.7133568184799515e-06
1803,2.8182512323837727e-06
1804,3.0553603664884577e-06
1805,3.239454144932097e-06
1806,3.447170684012235e-06
1807,4.102377715753391e-06
1808,4.586164322972763e-06
1809,3.5491173093760153e-06
1810,3.695056193464552e-06
1811,2.405411805739277e-06
1812,2.074483973046881e-06
1813,2.9214543246780522e-06
1814,2.390481768088648e-06
1815,3.193200427631382e-06
1816,2.603009534141165e-06
1817,3.4812426292774035e-06
1818,2.9743669074377976e-06
1819,3.552996986400103e-06
1820,3.3068367883970495e-06
1821,3.5567065879149595e-06
1822,3.932682830054546e-06
1823,3.6710680433316156e-06
1824,3.792093366428162e-06
1825,3.8201742427190766e-06
1826,3.468868499112432e-06
1827,3.188300979672931e-06
1828,3.81736981580616e-06
1829,4.64513095721486e-06
1830,3.7082827475387603e-06
1831,4.98059580422705e-06
1832,3.613152102843742e-06
1833,4.51848381999298e-06
1834,3.7890802104811883e-06
1835,5.256531494524097e-06
1836,4.6210921027523e-06
1837,4.058320882904809e-06
1838,3.823287897830596e-06
1839,4.315342266636435e-06
1840,3.9670135265623685e-06
1841,3.999621640105033e-06
1842,4.261796220816905e-06
1843,4.077258381585125e-06
1844,4.0843133319867775e-06
1845,4.602330136549426e-06
1846,3.905815901816823e-06
1847,4.35971833212534e-06
1848,3.6915880627930164e-06
1849,4.021691893285606e-06
1850,4.1999587665486615e-06
1851,4.855226507061161e-06
1852,4.725908638647525e-06
1853,4.384226031106664e-06
1854,4.092401923116995e-06
1855,4.487490969040664e-06
1856,5.113849510962609e-06
1857,5.286787200020626e-06
1858,5.563400463870494e-06
1859,4.653746145777404e-06
1860,4.735348738904577e-06
1861,4.61490526504349e-06
1862,5.15602778250468e-06
1863,5.261080787022365e-06
1864,4.741322300105821e-06
1865,4.965444986737566e-06
1866,5.379391041060444e-06
1867,5.0567446123750415e-06
1868,4.6843438212818e-06
1869,5.708592198061524e-06
1870,5.8969881138182245e-06
1871,4.685152816819027e-06
1872,5.380196853366215e-06
1873,5.564231287280563e-06
1874,6.548084002133692e-06
1875,5.9015101214754395e-06
1876,4.9672576096781995e-06
1877,5.1286187954247e-06
1878,5.291212801239453e-06
1879,5.602066266874317e-06
1880,5.081134531792486e-06
1881,5.124908057041466e-06
1882,5.596684331976576e-06
1883,5.750565378548345e-06
1884,5.971642622171203e-06
1885,5.9645617511705495e-06
1886,4.993880338588497e-06
1887,5.481223524839152e-06
1888,5.686733857146464e-06
1889,5.53135214431677e-06
1890,6.534908607136458e-06
1891,6.085684617573861e-06
1892,5.978243734716671e-06
1893,6.369909897330217e-06
1894,5.695382697012974e-06
1895,5.518279067473486e-06
1896,5.446705927170115e-06
1897,5.616148428089218e-06
1898,5.897260962228756e-06
1899,6.166560979181668e-06
1900,6.366885827446822e-06
1901,5.780132596555632e-06
1902,6.393609510269016e-06
1903,6.4458931774424855e-06
1904,6.745291102561168e-06
1905,7.2207139965030365e-06
1906,6.42220038571395e-06
1907,7.464923783118138e-06
1908,7.015980827418389e-06
1909,6.791498890379444e-06
1910,6.641319487243891e-06
1911,6.882923571538413e-06
1912,6.598154413950397e-06
1913,6.094725904404186e-06
1914,6.632263193750987e-06
1915,6.567701802850934e-06
1916,6.7519636104407255e-06
1917,5.280908226268366e-06
1918,5.512614279723493e-06
1919,5.632075954054017e-06
1920,5.009522737964289e-06
1921,4.734621597890509e-06
1922,4.584492671710905e-06
1923,5.117588898428949e-06
1924,5.1749534577538725e-06
1925,4.978282504453091e-06
1926,5.479002993524773e-06
1927,5.640347808366641e-06
1928,5.304372280079406e-06
1929,5.879923264728859e-06
1930,5.331194643076742e-06
1931,5.2412092372833285e-06
1932,5.376038643589709e-06
1933,5.335997229849454e-06
1934,5.340726147551322e-06
1935,4.97782548336545e-06
1936,5.6723861234786455e-06
1937,5.118676199344918e-06
1938,5.670183782058302e-06
1939,5.014766429667361e-06
1940,5.5497630455647595e-06
1941,5.843198323418619e-06
1942,5.596998562396038e-06
1943,5.8580367294780444e-06
1944,5.398063876782544e-06
1945,5.694826086255489e-06
1946,5.150643119122833e-06
1947,5.041723852627911e-06
1948,5.20721914654132e-06
1949,5.664995114784688e-06
1950,5.85926545682014e-06
1951,5.022372533858288e-06
1952,6.109769856266212e-06
1953,5.836241143697407e-06
1954,5.846515250595985e-06
1955,5.2083260015933774e-06
1956,6.487012797151692e-06
1957,6.095786829973804e-06
1958,6.36091863270849e-06
1959,6.236737135623116e-06
1960,5.624889581667958e-06
1961,5.911615971854189e-06
1962,5.896351012779633e-06
