,him
1800,0.0022527470719069242
1801,0.002119130454957485
1802,0.001970480429008603
1803,0.0020722358021885157
1804,0.0023904130794107914
1805,0.0022445283830165863
1806,0.0023513634223490953
1807,0.0021518582943826914
1808,0.002463442739099264
1809,0.0022308980114758015
1810,0.0024382711853832006
1811,0.002415137132629752
1812,0.002318943850696087
1813,0.0021161213517189026
1814,0.0021445180755108595
1815,0.002216645749285817
1816,0.0025685839354991913
1817,0.0021306739654392004
1818,0.002017563208937645
1819,0.0018730430165305734
1820,0.002340801525861025
1821,0.0022457907907664776
1822,0.002221960574388504
1823,0.00223763776011765
1824,0.002225628588348627
1825,0.002275761915370822
1826,0.002201313618570566
1827,0.0021722938399761915
1828,0.0021649212576448917
1829,0.001984684495255351
1830,0.002152984729036689
1831,0.0020948415622115135
1832,0.0016884886426851153
1833,0.0021097909193485975
1834,0.0019245900912210345
1835,0.0019579599611461163
1836,0.001969344913959503
1837,0.0019618761725723743
1838,0.0019508603727445006
1839,0.0020570848137140274
1840,0.0020154076628386974
1841,0.001968451775610447
1842,0.0018953271210193634
1843,0.0019765421748161316
1844,0.002066112821921706
1845,0.0018878544215112925
1846,0.0019334283424541354
1847,0.0019229836761951447
1848,0.0019352998351678252
1849,0.0018425985472276807
1850,0.0019171441672369838
1851,0.001827425672672689
1852,0.0018121623434126377
1853,0.0019282180583104491
1854,0.0018262724624946713
1855,0.0017856884514912963
1856,0.001816035364754498
1857,0.0018633159343153238
1858,0.0018034462118521333
1859,0.0017695354763418436
1860,0.0017961561679840088
1861,0.001675073173828423
1862,0.001672860817052424
1863,0.0017021914245560765
1864,0.0017346731619909406
1865,0.0017377723706886172
1866,0.001678829430602491
1867,0.001668976852670312
1868,0.0016631261678412557
1869,0.0016993388999253511
1870,0.0016330905491486192
1871,0.0016253672074526548
1872,0.0016640226822346449
1873,0.0015550252282992005
1874,0.0015347632579505444
1875,0.0016076035099104047
1876,0.0015187787357717752
1877,0.0015186641830950975
1878,0.0014346458483487368
1879,0.0015062108868733048
1880,0.0015499526634812355
1881,0.0015380281256511807
1882,0.0014924120623618364
1883,0.0015088786603882909
1884,0.0014357591280713677
1885,0.0014481352409347892
1886,0.001401161658577621
1887,0.0014232998946681619
1888,0.0014290830586105585
1889,0.0014039783272892237
1890,0.0014201098820194602
1891,0.0013553607277572155
1892,0.0013893165159970522
1893,0.0013487681280821562
1894,0.0013716121902689338
1895,0.0013352717505767941
1896,0.0013778795255348086
1897,0.0012992506381124258
1898,0.0013365962076932192
1899,0.0015046496409922838
1900,0.0013981935335323215
1901,0.0013374127447605133
1902,0.001256545539945364
1903,0.0012357907835394144
1904,0.001275877933949232
1905,0.0011681081959977746
1906,0.0011718572350218892
1907,0.001135297236032784
1908,0.001125002047047019
1909,0.0011129266349598765
1910,0.0011195746483281255
1911,0.0010459538316354156
1912,0.001039631082676351
1913,0.0009824231965467334
1914,0.0009548682137392461
1915,0.0008925063884817064
1916,0.0008876170613802969
1917,0.0008709084941074252
1918,0.0008316891617141664
1919,0.0008371146977879107
1920,0.0008649076335132122
1921,0.0008467445732094347
1922,0.0009010768262669444
1923,0.000938872923143208
1924,0.0009517398430034518
1925,0.0009349720785394311
1926,0.0009584195213392377
1927,0.0009610343258827925
1928,0.0009354761568829417
1929,0.0009472194942645729
1930,0.000906039378605783
1931,0.0008574705570936203
1932,0.0008812698069959879
1933,0.0008184738107956946
1934,0.0008393357275053859
1935,0.0008537249523214996
1936,0.0008283717324957252
1937,0.0007915491587482393
1938,0.0007709667552262545
1939,0.0007302816375158727
1940,0.0007177992374636233
1941,0.0006744996644556522
1942,0.0006957195000723004
1943,0.0006918826256878674
1944,0.0006923299515619874
1945,0.0006795295048505068
1946,0.000751666200812906
1947,0.0007181813125498593
1948,0.0007171658216975629
1949,0.0006707024294883013
1950,0.0007566368440166116
1951,0.0007233154028654099
1952,0.0007779235602356493
1953,0.0007097504567354918
1954,0.0006961364415474236
1955,0.0007027410320006311
1956,0.0006911311647854745
1957,0.0006823960575275123
1958,0.0006741490797139704
1959,0.0006437837146222591
1960,0.0006561832269653678
1961,0.0006616625469177961
1962,0.0006618081824854016
1963,0.0006565466756001115
1964,0.0006707439315505326
1965,0.0006916038691997528
1966,0.0006653187447227538
1967,0.0006818175897933543
1968,0.0007053110166452825
1969,0.000690340471919626
1970,0.0006771008484065533
1971,0.000620372302364558
1972,0.0005872296751476824
1973,0.0005666203796863556
1974,0.0005566814797930419
1975,0.0005030825850553811
1976,0.0005079962429590523
