,join
1933,2.4634175133542158e-05
1934,2.6093790438608266e-05
1935,2.549917007854674e-05
1936,2.7916936232941225e-05
1937,2.6273910407326184e-05
1938,2.8082740755053237e-05
1939,2.9938224543002434e-05
1940,3.0599967431044206e-05
1941,2.750193561951164e-05
1942,3.088848097831942e-05
1943,3.04202640108997e-05
1944,3.0252478609327227e-05
1945,2.8854401534772478e-05
1946,3.034296059922781e-05
1947,2.9476255804183893e-05
1948,2.8912527341162786e-05
1949,2.8109636332374066e-05
1950,2.87748989649117e-05
1951,2.8385897167026997e-05
1952,2.9750903195235878e-05
1953,2.8755768653354608e-05
1954,2.819438486767467e-05
1955,2.8427863071556203e-05
1956,2.8569345886353403e-05
1957,2.81625943898689e-05
1958,2.9171813366701826e-05
1959,2.9071996323182248e-05
1960,2.8746035241056234e-05
1961,2.981893157993909e-05
1962,2.9533301130868495e-05
1963,2.8377753551467322e-05
1964,2.881423461076338e-05
1965,3.049990482395515e-05
1966,3.063137046410702e-05
1967,2.9983839340275154e-05
1968,3.073838524869643e-05
1969,3.0195258659659885e-05
1970,3.0148352379910648e-05
1971,2.920541010098532e-05
1972,2.871925607905723e-05
1973,2.7369873350835405e-05
1974,2.7087071430287324e-05
1975,2.647117798915133e-05
1976,2.62257999565918e-05
1977,2.5985955289797857e-05
1978,2.572919038357213e-05
1979,2.631935967656318e-05
1980,2.6235078621539287e-05
1981,2.6353851353633218e-05
1982,2.6515974241192453e-05
1983,2.69594784185756e-05
1984,2.69788688456174e-05
1985,2.7907695766771212e-05
1986,2.792416125885211e-05
1987,2.7893862352357246e-05
1988,2.8593751267180778e-05
1989,2.8088727049180306e-05
1990,2.9182068828959018e-05
1991,2.9719438316533342e-05
1992,2.9559345421148464e-05
1993,2.8908298190799542e-05
1994,3.0001179766259156e-05
1995,2.9561630071839318e-05
1996,3.0066410545259714e-05
1997,3.128279422526248e-05
1998,3.1715473596705124e-05
1999,3.261469828430563e-05
2000,3.343855496495962e-05
2001,3.38982863468118e-05
2002,3.406511677894741e-05
2003,3.512531111482531e-05
2004,3.600616764742881e-05
2005,3.573880167095922e-05
2006,3.573884896468371e-05
2007,3.568070678738877e-05
2008,3.7010711821494624e-05
2009,3.855830800603144e-05
2010,4.0482223994331434e-05
2011,4.1261133446823806e-05
2012,3.736159851541743e-05
2013,3.772480704355985e-05
2014,4.262677248334512e-05
2015,4.2531697545200586e-05
2016,4.045436799060553e-05
2017,3.99703967559617e-05
2018,3.9139631553553045e-05
2019,4.026096939924173e-05
