,at
1800,0.003982339520007372
1801,0.003777444828301668
1802,0.0037803277373313904
1803,0.00379062257707119
1804,0.003716676728799939
1805,0.0037914225831627846
1806,0.003762936918064952
1807,0.0036930390633642673
1808,0.0036404766142368317
1809,0.0037618379574269056
1810,0.0037979260087013245
1811,0.003684644354507327
1812,0.00392561499029398
1813,0.003903024597093463
1814,0.003975302446633577
1815,0.003962373826652765
1816,0.003927432466298342
1817,0.003924632910639048
1818,0.003761262632906437
1819,0.0038755915593355894
1820,0.003960917703807354
1821,0.003913591615855694
1822,0.0037611788138747215
1823,0.0038740395102649927
1824,0.0039376551285386086
1825,0.0038638031110167503
1826,0.003846370615065098
1827,0.003985546994954348
1828,0.003935438115149736
1829,0.003949133679270744
1830,0.003872280940413475
1831,0.003909028135240078
1832,0.003835588926449418
1833,0.0039349705912172794
1834,0.0039757718332111835
1835,0.003965700976550579
1836,0.003933737985789776
1837,0.003945512697100639
1838,0.0040337578393518925
1839,0.003923092968761921
1840,0.0039699445478618145
1841,0.003997789695858955
1842,0.004041178151965141
1843,0.003981629386544228
1844,0.003911076579242945
1845,0.003985539544373751
1846,0.003978933207690716
1847,0.003998912870883942
1848,0.004048412200063467
1849,0.003995561506599188
1850,0.003940132912248373
1851,0.003945959731936455
1852,0.003988376818597317
1853,0.0040014274418354034
1854,0.0039641354233026505
1855,0.004024408757686615
1856,0.004047352820634842
1857,0.004116085357964039
1858,0.004065528977662325
1859,0.0040465230122208595
1860,0.004018946550786495
1861,0.004087820183485746
1862,0.004149846266955137
1863,0.004140843637287617
1864,0.004150460474193096
1865,0.004203155171126127
1866,0.004111808724701405
1867,0.004105372354388237
1868,0.00407713558524847
1869,0.0041233631782233715
1870,0.004097368102520704
1871,0.004046668764203787
1872,0.004076365381479263
1873,0.004082524683326483
1874,0.004092460963875055
1875,0.004094260279089212
1876,0.004140979144722223
1877,0.0041550626046955585
1878,0.004148042295128107
1879,0.004176067654043436
1880,0.0041155447252094746
1881,0.004081917926669121
1882,0.004109448753297329
1883,0.004098968580365181
1884,0.004096046555787325
1885,0.004123183898627758
1886,0.00411111768335104
1887,0.004101498983800411
1888,0.004076403100043535
1889,0.004124763421714306
1890,0.004141305107623339
1891,0.004170665983110666
1892,0.004097686614841223
1893,0.004124184604734182
1894,0.004105944652110338
1895,0.0041775149293243885
1896,0.004111005458980799
1897,0.004118305630981922
1898,0.004143386147916317
1899,0.004154114052653313
1900,0.00416876096278429
1901,0.00413301819935441
1902,0.0041237943805754185
1903,0.004088439978659153
1904,0.004135805647820234
1905,0.004066208377480507
1906,0.0040589142590761185
1907,0.004063380882143974
1908,0.004090799950063229
1909,0.004054571036249399
1910,0.004078874830156565
1911,0.004061335232108831
1912,0.00403853552415967
1913,0.004044878762215376
1914,0.003994904924184084
1915,0.003981171641498804
1916,0.003966340329498053
1917,0.003947320394217968
1918,0.0039242529310286045
1919,0.003931961487978697
1920,0.003999821376055479
1921,0.003952701110392809
1922,0.00398402800783515
1923,0.003882841905578971
1924,0.003856412135064602
1925,0.0038714264519512653
1926,0.0038527618162333965
1927,0.0038222349248826504
1928,0.0038461643271148205
1929,0.003782083513215184
1930,0.0038152560591697693
1931,0.003760503139346838
1932,0.003712419420480728
1933,0.0036673059221357107
1934,0.0036844927817583084
1935,0.003618014743551612
1936,0.003619823604822159
1937,0.003605129662901163
1938,0.00359451025724411
1939,0.0034825182519853115
1940,0.003486479166895151
1941,0.0034261299297213554
1942,0.003447583643719554
1943,0.0034030810929834843
1944,0.0034447764046490192
1945,0.0034366478212177753
1946,0.0035576194059103727
1947,0.0034752213396131992
1948,0.0034758320543915033
1949,0.003424660302698612
1950,0.003544736420735717
1951,0.0034497433807700872
1952,0.003462986322119832
1953,0.003429066389799118
1954,0.00350084132514894
1955,0.0034504614304751158
1956,0.0034481578040868044
1957,0.0034181238152086735
1958,0.0034481598995625973
1959,0.0034401665907353163
1960,0.0033970316872000694
1961,0.003371946979314089
1962,0.0033970042131841183
1963,0.0033491263166069984
1964,0.003388145472854376
1965,0.0033449979964643717
1966,0.0033336575143039227
1967,0.00329153286293149
1968,0.0033402342814952135
1969,0.0033125102054327726
1970,0.0032504210248589516
1971,0.003217281773686409
1972,0.00317023997195065
1973,0.003104114904999733
1974,0.003113678190857172
1975,0.0030887203756719828
1976,0.003062988631427288
1977,0.0030201233457773924
1978,0.002996087074279785
1979,0.0029966463334858418
1980,0.0030167843215167522
1981,0.0030179957393556833
1982,0.0030080617871135473
1983,0.0030152196995913982
1984,0.002999987918883562
1985,0.003015263471752405
1986,0.003016019705682993
1987,0.0030066445469856262
1988,0.0030054086819291115
1989,0.002967068227007985
1990,0.0029671364463865757
1991,0.002974835457280278
1992,0.0029541212134063244
1993,0.002922241808846593
1994,0.002915038028731942
1995,0.0029058335348963737
1996,0.0029617517720907927
1997,0.00297357770614326
1998,0.00299333524890244
1999,0.003001714823767543
2000,0.003032863140106201
2001,0.0030343825928866863
2002,0.002990259090438485
2003,0.0030082031153142452
2004,0.003066850593313575
2005,0.003045056713744998
2006,0.003075459273532033
2007,0.003100382862612605
2008,0.003159279702231288
2009,0.003223808016628027
2010,0.0032335990108549595
2011,0.0032916630152612925
2012,0.003244435414671898
2013,0.0032554585486650467
2014,0.003340390743687749
2015,0.0032957459334284067
2016,0.0032167453318834305
2017,0.003314914181828499
2018,0.0032681692391633987
2019,0.0033145928755402565
