,visit
1800,5.824913750984706e-05
1801,5.5505326599814e-05
1802,4.845026705879718e-05
1803,4.7722962335683405e-05
1804,5.3748339269077405e-05
1805,5.1433173211989924e-05
1806,5.7555218518245965e-05
1807,5.16310210514348e-05
1808,5.210922608966939e-05
1809,4.9258705985266715e-05
1810,5.0626516895135865e-05
1811,5.6695225794101134e-05
1812,4.466472819331102e-05
1813,5.2372597565408796e-05
1814,5.769149720435962e-05
1815,5.6134158512577415e-05
1816,5.5578395404154435e-05
1817,6.482571188826114e-05
1818,6.697193020954728e-05
1819,6.115174619480968e-05
1820,7.896946772234514e-05
1821,7.282225124072284e-05
1822,6.75889095873572e-05
1823,6.72399764880538e-05
1824,7.37883456167765e-05
1825,6.829238554928452e-05
1826,6.328817107714713e-05
1827,7.242306310217828e-05
1828,6.95564376655966e-05
1829,6.588205724256113e-05
1830,6.73610411467962e-05
1831,6.986581138335168e-05
1832,5.3783576731802896e-05
1833,7.409165846183896e-05
1834,6.93979745847173e-05
1835,7.414040010189638e-05
1836,7.196178921731189e-05
1837,7.436030136886984e-05
1838,7.557899516541511e-05
1839,7.478630868718028e-05
1840,7.23099074093625e-05
1841,7.273370283655822e-05
1842,7.447905954904854e-05
1843,8.179860014934093e-05
1844,7.718705455772579e-05
1845,7.152448961278424e-05
1846,7.065812678774819e-05
1847,7.430501136695966e-05
1848,7.495156751247123e-05
1849,7.206858572317287e-05
1850,7.347467180807143e-05
1851,7.042585639283061e-05
1852,7.261189603013918e-05
1853,7.205097062978894e-05
1854,7.352219108724967e-05
1855,7.400484901154414e-05
1856,7.408089004456997e-05
1857,7.521802763221785e-05
1858,7.305849430849776e-05
1859,7.342809840338305e-05
1860,7.27900696801953e-05
1861,7.178082887548953e-05
1862,7.192976045189425e-05
1863,7.047209510346875e-05
1864,6.95310955052264e-05
1865,7.251944771269336e-05
1866,6.647614645771682e-05
1867,6.995245348662138e-05
1868,6.858100823592395e-05
1869,7.063771045068279e-05
1870,6.749729800503701e-05
1871,6.736005161656067e-05
1872,6.686618144158274e-05
1873,6.763290730305016e-05
1874,6.456029223045334e-05
1875,6.938079604879022e-05
1876,6.745049904566258e-05
1877,6.439704884542152e-05
1878,6.309047603281215e-05
1879,6.437680713133886e-05
1880,6.373633368639275e-05
1881,6.377598037943244e-05
1882,6.485921767307445e-05
1883,6.532140832860023e-05
1884,6.332844350254163e-05
1885,6.277842476265505e-05
1886,6.137667514849454e-05
1887,6.216844485606998e-05
1888,6.0604928876273334e-05
1889,6.252443563425913e-05
1890,6.225195102160797e-05
1891,6.118498276919127e-05
1892,6.199324707267806e-05
1893,6.108979869168252e-05
1894,5.791919102193788e-05
1895,5.661249815602787e-05
1896,5.8719495427794755e-05
1897,5.682227129000239e-05
1898,5.8078381698578596e-05
1899,6.096694414736703e-05
1900,5.930779661866836e-05
1901,5.737479659728706e-05
1902,5.769854033133015e-05
1903,5.6844357459340245e-05
1904,5.7799268688540906e-05
1905,5.5813638027757406e-05
1906,5.359401984605938e-05
1907,5.308789695845917e-05
1908,5.298897667671554e-05
1909,5.3070652938913554e-05
1910,5.2705687267007306e-05
1911,4.991666355635971e-05
1912,4.9187590775545686e-05
1913,4.8408681323053315e-05
1914,4.6652843593619764e-05
1915,4.5380224037216976e-05
1916,4.269774581189267e-05
1917,4.318785431678407e-05
1918,4.060115315951407e-05
1919,4.240767520968802e-05
1920,4.4838372559752315e-05
1921,4.4349922973196954e-05
1922,4.60234223282896e-05
1923,4.7600886318832636e-05
1924,4.8472338676219806e-05
1925,4.921901199850254e-05
1926,4.996741336071864e-05
1927,5.0966562412213534e-05
1928,4.8715552111389115e-05
1929,4.9381793360225856e-05
1930,4.8582569434074685e-05
1931,4.6494216803694144e-05
