,video
1800,1.984232795848584e-07
1801,2.9569355319836177e-07
1802,1.3877777860216156e-07
1803,1.2102918844902888e-07
1804,3.5754214877670165e-07
1805,1.6409993008892343e-07
1806,2.850119642516802e-07
1807,1.9219885416532634e-07
1808,3.035630129488709e-07
1809,2.0813283185816545e-07
1810,2.811933370594488e-07
1811,2.0264771194433706e-07
1812,1.101832154404292e-07
1813,1.5713304435394093e-07
1814,1.5914669404537563e-07
1815,9.858651139893482e-08
1816,1.4664843206446676e-07
1817,1.886891993763129e-07
1818,2.1226163937626552e-07
1819,2.063374040517374e-07
1820,1.979064450097212e-07
1821,2.143047339586701e-07
1822,2.15676834613987e-07
1823,2.249277173405062e-07
1824,2.024729468530495e-07
1825,1.589555864711656e-07
1826,2.2122885923181457e-07
1827,1.6899122101676767e-07
1828,2.5171419792968663e-07
1829,2.0488346308411565e-07
1830,1.4859483599138912e-07
1831,1.3360879336232756e-07
1832,1.5790629959155922e-07
1833,1.1207814054614573e-07
1834,8.063256728974011e-08
1835,9.59634434138934e-08
1836,8.833421816234477e-08
1837,1.4535534376136638e-07
1838,1.865018504076943e-07
1839,2.0228988262260827e-07
1840,1.3281201916015561e-07
1841,2.2974049329604895e-07
1842,1.2200811738694028e-07
1843,1.2698441764769086e-07
1844,1.2197097021271475e-07
1845,1.8390589673344948e-07
1846,1.5331325187162292e-07
1847,1.3977651747154596e-07
1848,1.3734837978063297e-07
1849,1.323976164258056e-07
1850,1.1454432780055868e-07
1851,1.427895170991178e-07
1852,1.1586244141881252e-07
1853,1.6182491435756674e-07
1854,1.495000816476022e-07
1855,1.7201045920955949e-07
1856,1.459362408695597e-07
1857,1.2549712380405253e-07
1858,1.4112470125837717e-07
1859,1.207183970564074e-07
1860,1.1085312223713117e-07
1861,1.0483839218977664e-07
1862,1.7273481489610276e-07
1863,1.0759554669448335e-07
1864,9.450221938323011e-08
1865,9.20465836884432e-08
1866,9.523706978598057e-08
1867,7.38451504389559e-08
1868,6.934723018048317e-08
1869,2.1119994642049278e-07
1870,9.921580357286075e-08
1871,1.028876610575935e-07
1872,1.0335875089140245e-07
1873,1.3747967386734672e-07
1874,1.2866669862887647e-07
1875,1.0549160833761562e-07
1876,8.765266557020368e-08
