,have
1800,0.0038264738395810127
1801,0.004019585438072681
1802,0.003724337089806795
1803,0.003751429496333003
1804,0.003869165200740099
1805,0.003738892264664173
1806,0.003859022632241249
1807,0.00370784685947001
1808,0.0040803211741149426
1809,0.0039472137577831745
1810,0.003662644186988473
1811,0.004021161701530218
1812,0.004054475110024214
1813,0.003820883808657527
1814,0.0038963048718869686
1815,0.0037234488409012556
1816,0.003858058014884591
1817,0.0039305305108428
1818,0.0037457947619259357
1819,0.0037093861028552055
1820,0.003895736765116453
1821,0.0039010518230497837
1822,0.003696650266647339
1823,0.00381064903922379
1824,0.003913268446922302
1825,0.0037961448542773724
1826,0.003719436237588525
1827,0.0037637115456163883
1828,0.0038256242405623198
1829,0.0037818136624991894
1830,0.003890116000548005
1831,0.0037954505532979965
1832,0.0036379355005919933
1833,0.0038776048459112644
1834,0.003916277550160885
1835,0.0038634869270026684
1836,0.003936445340514183
1837,0.003975608851760626
1838,0.00397625332698226
1839,0.003841446014121175
1840,0.0038151151966303587
1841,0.0037515233270823956
1842,0.003701947396621108
1843,0.0037835314869880676
1844,0.0037908735685050488
1845,0.0036645610816776752
1846,0.003775194752961397
1847,0.0037358752451837063
1848,0.0037926200311630964
1849,0.003730924567207694
1850,0.003728182055056095
1851,0.0037179477512836456
1852,0.0037186918780207634
1853,0.0038078108336776495
1854,0.0036600304301828146
1855,0.003708142787218094
1856,0.00363092590123415
1857,0.0036263701040297747
1858,0.003669468220323324
1859,0.0035838675685226917
1860,0.0036595056299120188
1861,0.003660435788333416
1862,0.003747359849512577
1863,0.003678277600556612
1864,0.003683866001665592
1865,0.0036934963427484035
1866,0.0036618122830986977
1867,0.0035992199555039406
1868,0.0036094854585826397
1869,0.0035993792116642
1870,0.0035873621236532927
1871,0.003610177431255579
1872,0.0037071064580231905
1873,0.003547901753336191
1874,0.003540608799085021
1875,0.0035453231539577246
1876,0.0035410388372838497
1877,0.0034944438375532627
1878,0.0034606724511832
1879,0.0034377197735011578
1880,0.0034079256001859903
1881,0.0033818406518548727
1882,0.0034524821676313877
1883,0.003378200111910701
1884,0.003370331134647131
1885,0.003376765875145793
1886,0.003389738965779543
1887,0.003363650990650058
1888,0.0033025648444890976
1889,0.003388103796169162
1890,0.0033551629167050123
1891,0.0033459928818047047
1892,0.0033332165330648422
1893,0.003323330543935299
1894,0.003361224429681897
1895,0.003229401772841811
1896,0.0032424000091850758
1897,0.003211841220036149
1898,0.0032093003392219543
1899,0.0032734989654272795
1900,0.0032884671818464994
1901,0.00321759469807148
1902,0.0032198496628552675
1903,0.0031694744247943163
1904,0.0031609395518898964
1905,0.003094385378062725
1906,0.0031132930889725685
1907,0.0030662042554467916
1908,0.0030962431337684393
1909,0.0031320524867624044
1910,0.003063444746658206
1911,0.003065967233851552
1912,0.003080644877627492
1913,0.0030652640853077173
1914,0.003076841589063406
1915,0.0030175019055604935
1916,0.0031217955984175205
1917,0.0030451579950749874
1918,0.0031460102181881666
1919,0.003158598206937313
1920,0.003108130767941475
1921,0.003037535585463047
1922,0.0030084599275141954
1923,0.0029514129273593426
1924,0.0030683933291584253
1925,0.002898550359532237
1926,0.002944136271253228
1927,0.002852457808330655
1928,0.0029006218537688255
1929,0.0028851814568042755
1930,0.002908922964707017
1931,0.0028208382427692413
1932,0.0029070936143398285
1933,0.0028226443100720644
1934,0.0029546404257416725
1935,0.0028878520242869854
1936,0.002848023781552911
1937,0.002811213955283165
1938,0.00284527987241745
1939,0.0028794428799301386
1940,0.0028138740453869104
1941,0.002823814982548356
1942,0.0029278621077537537
1943,0.0029920791275799274
1944,0.0030084550380706787
1945,0.003013589885085821
1946,0.002956099109724164
1947,0.002931920811533928
1948,0.002923127729445696
1949,0.002789512975141406
1950,0.0028447567019611597
1951,0.0028888359665870667
1952,0.0028912771958857775
1953,0.0028390507213771343
1954,0.002793812658637762
1955,0.002871905220672488
1956,0.002897182246670127
1957,0.002842022106051445
1958,0.0028383766766637564
1959,0.0027826104778796434
1960,0.0027485114987939596
1961,0.0027408997993916273
1962,0.0027497156988829374
1963,0.0027450788766145706
1964,0.002758062444627285
1965,0.0027760688681155443
1966,0.0028200121596455574
1967,0.002837474225088954
1968,0.00285242754034698
1969,0.00288931536488235
1970,0.0027925632894039154
1971,0.002739015268161893
1972,0.0027325081173330545
1973,0.0026725679636001587
1974,0.002734290435910225
1975,0.0026754974387586117
1976,0.0026435628533363342
1977,0.002610616385936737
1978,0.002572012599557638
1979,0.00258307415060699
1980,0.002585850888863206
1981,0.0024855732917785645
1982,0.0025134708266705275
1983,0.0025266387965530157
1984,0.0025229693856090307
1985,0.0024808538146317005
1986,0.0025108647532761097
1987,0.002472048858180642
1988,0.0025054735597223043
1989,0.0024427096359431744
1990,0.0024701326619833708
1991,0.0024576711002737284
1992,0.0024556429125368595
1993,0.002399884629994631
1994,0.0024235141463577747
1995,0.00238351640291512
1996,0.0024354085326194763
1997,0.002472467254847288
1998,0.0024787788279354572
1999,0.002487153047695756
2000,0.0025319713167846203
2001,0.002514546737074852
2002,0.0025529670529067516
2003,0.002584880916401744
2004,0.0026197193656116724
2005,0.0026239107828587294
2006,0.0026620880234986544
2007,0.002668424043804407
2008,0.002743166871368885
2009,0.0028157075867056847
2010,0.0028490854892879725
2011,0.0028580573853105307
2012,0.002799343317747116
2013,0.0028068413957953453
2014,0.0028898154851049185
2015,0.0028576282784342766
2016,0.0027976224664598703
2017,0.0028873395640403032
2018,0.0028644513804465532
2019,0.00286366930231452
