,was
1800,0.006066811736673117
1801,0.005451232194900513
1802,0.005989190191030502
1803,0.005718954838812351
1804,0.006096259690821171
1805,0.006144597195088863
1806,0.0060493494383990765
1807,0.00573744997382164
1808,0.005736418999731541
1809,0.005960110109299421
1810,0.006063112523406744
1811,0.006145205814391375
1812,0.007126907352358103
1813,0.006227339617908001
1814,0.006792961619794369
1815,0.006601419765502214
1816,0.007209248840808868
1817,0.006737162359058857
1818,0.00633891811594367
1819,0.005893946625292301
1820,0.006854744162410498
1821,0.006356922443956137
1822,0.006190525833517313
1823,0.006417617201805115
1824,0.006361796520650387
1825,0.006571182515472174
1826,0.006601159460842609
1827,0.006646792870014906
1828,0.006530113518238068
1829,0.006481143180280924
1830,0.006459921132773161
1831,0.006599409971386194
1832,0.006629233714193106
1833,0.0068081337958574295
1834,0.006499388720840216
1835,0.006427132524549961
1836,0.006433394271880388
1837,0.0063169957138597965
1838,0.006394847761839628
1839,0.006495981942862272
1840,0.00651428522542119
1841,0.0064779007807374
1842,0.006435215473175049
1843,0.006440058816224337
1844,0.006565503776073456
1845,0.006332276854664087
1846,0.006512287072837353
1847,0.00654571782797575
1848,0.006583546753972769
1849,0.006642192602157593
1850,0.006383712403476238
1851,0.006308536510914564
1852,0.006450287066400051
1853,0.00662963418290019
1854,0.0063949027098715305
1855,0.006558676715940237
1856,0.006560115143656731
1857,0.0066220201551914215
1858,0.006471580360084772
1859,0.006400394253432751
1860,0.006404503248631954
1861,0.006338976323604584
1862,0.006287797354161739
1863,0.006440198048949242
1864,0.006502022035419941
1865,0.006488731596618891
1866,0.006419637240469456
1867,0.0063806758262217045
1868,0.00634158868342638
1869,0.006404348649084568
1870,0.006347546353936195
1871,0.006278117187321186
1872,0.00652639614418149
1873,0.006306531839072704
1874,0.006253627594560385
1875,0.00642172247171402
1876,0.0065436032600700855
1877,0.0065491460263729095
1878,0.006492540705949068
1879,0.006623235996812582
1880,0.006652930285781622
1881,0.006567580159753561
1882,0.006607509218156338
1883,0.006588335614651442
1884,0.006436544004827738
1885,0.006419206038117409
1886,0.006588796153664589
1887,0.006492347922176123
1888,0.006720812059938908
1889,0.006264085881412029
1890,0.006392342504113913
1891,0.006312541197985411
1892,0.006291657220572233
1893,0.00633850134909153
1894,0.006327687297016382
1895,0.0062689161859452724
1896,0.006395645439624786
1897,0.006192871835082769
1898,0.006327647250145674
1899,0.006442568264901638
1900,0.006315469276160002
1901,0.006168277934193611
1902,0.006032144650816917
1903,0.006008845288306475
1904,0.006077831611037254
1905,0.005900286138057709
1906,0.00598102156072855
1907,0.005918978247791529
1908,0.005957215093076229
1909,0.005660589784383774
1910,0.005833260715007782
1911,0.00577988475561142
1912,0.0056764003820717335
1913,0.005484277848154306
1914,0.005431849043816328
1915,0.005441855639219284
1916,0.0053847781382501125
1917,0.005227638408541679
1918,0.005308473948389292
1919,0.005427205935120583
1920,0.005516744684427977
1921,0.005368879996240139
1922,0.005627094302326441
1923,0.005461669526994228
1924,0.00548543268814683
1925,0.00544616486877203
1926,0.005616631358861923
1927,0.005416941363364458
1928,0.005549666937440634
1929,0.0054166861809790134
1930,0.005411529913544655
1931,0.005238405894488096
1932,0.005380387417972088
1933,0.005300731863826513
1934,0.005404268857091665
1935,0.005321193020790815
1936,0.005368320271372795
1937,0.005274277180433273
1938,0.005172613076865673
1939,0.004990753717720509
1940,0.005125775001943111
1941,0.004929918330162764
1942,0.00491460831835866
1943,0.005002505145967007
1944,0.00496330764144659
1945,0.005002547055482864
1946,0.005292106419801712
1947,0.005134178325533867
1948,0.004999605007469654
1949,0.0048198578879237175
1950,0.0050865355879068375
1951,0.005008131731301546
1952,0.0050424207001924515
1953,0.0049251955933868885
1954,0.004981630947440863
1955,0.004891672171652317
1956,0.004861018620431423
1957,0.004865160211920738
1958,0.004844224080443382
1959,0.004686438012868166
1960,0.004736219998449087
1961,0.004667125176638365
1962,0.0047033182345330715
1963,0.00460832891985774
1964,0.004660625942051411
1965,0.004560002125799656
1966,0.004606648348271847
1967,0.004633544944226742
1968,0.00464252382516861
1969,0.004568589385598898
1970,0.004520049784332514
1971,0.004459999036043882
1972,0.004348992835730314
1973,0.0042107002809643745
1974,0.00418294919654727
1975,0.004067629110068083
1976,0.004080601967871189
1977,0.003981444053351879
1978,0.003984510432928801
1979,0.0039403545670211315
1980,0.00398947624489665
1981,0.003976668231189251
1982,0.003984419628977776
1983,0.003949688281863928
1984,0.003953005187213421
1985,0.003950980491936207
1986,0.003985267132520676
1987,0.0040168859995901585
1988,0.004037261474877596
1989,0.003961808513849974
1990,0.003937313798815012
1991,0.003992327023297548
1992,0.003966237418353558
1993,0.003957220818847418
1994,0.003921846859157085
1995,0.003863905556499958
1996,0.003970764111727476
1997,0.004031764809042215
1998,0.0041653807274997234
1999,0.0041753011755645275
2000,0.004432558082044125
2001,0.004506201017647982
2002,0.004544779658317566
2003,0.0045955488458275795
2004,0.004757574759423733
2005,0.004740789067000151
2006,0.00486538652330637
2007,0.005014659836888313
2008,0.005266686901450157
2009,0.005597403272986412
2010,0.005765322595834732
2011,0.006119789555668831
2012,0.005818003322929144
2013,0.00584116205573082
2014,0.006578477565199137
2015,0.0063782138749957085
2016,0.006064070854336023
2017,0.006430352106690407
2018,0.006336452439427376
2019,0.006590973120182753
