,tv
1800,7.698823196733429e-07
1801,1.43391127949144e-06
1802,8.873366823536344e-07
1803,5.215781584411161e-07
1804,5.915697443015233e-07
1805,6.290497367444914e-07
1806,5.724809284401999e-07
1807,7.453044759131444e-07
1808,5.544114856093074e-07
1809,6.26208361609315e-07
1810,4.525455210568907e-07
1811,5.815824124510982e-07
1812,4.3186753373447573e-07
1813,4.0274878188029106e-07
1814,3.4454438946340815e-07
1815,3.4421731243128306e-07
1816,5.091959565106663e-07
1817,2.5743642595443816e-07
1818,3.258283811646834e-07
1819,3.128341177216498e-07
1820,3.6102932199355564e-07
1821,2.7195395091439423e-07
1822,3.061558970784972e-07
1823,3.5493181371748506e-07
1824,2.591653753825085e-07
1825,2.480405782989692e-07
1826,4.0804434320307337e-07
1827,5.886527674192621e-07
1828,2.7741742769649136e-07
1829,2.81196321338939e-07
1830,3.045095979814505e-07
1831,3.096943714808731e-07
1832,2.651448482993146e-07
1833,2.8353102266009955e-07
1834,1.931280024791704e-07
1835,1.9967548325894313e-07
1836,2.6962143806485983e-07
1837,2.982691569286544e-07
1838,2.2051790438126773e-07
1839,2.2803585864039633e-07
1840,2.8405509056028677e-07
1841,2.1958916818221041e-07
1842,1.8937781476324744e-07
1843,2.1269890737585229e-07
1844,1.9250840921358758e-07
1845,2.8437298738026584e-07
1846,1.9278911622677697e-07
1847,2.987197262882546e-07
1848,1.803281435286408e-07
1849,1.9083518054685555e-07
1850,4.641166526653251e-07
1851,2.9782907517983404e-07
1852,1.0198151585427695e-06
1853,2.664960732090549e-07
1854,3.2565017704655475e-07
1855,3.011952856013522e-07
1856,3.1855989846008015e-07
1857,2.725585375173978e-07
1858,2.726940806496714e-07
1859,3.374548782630882e-07
1860,2.9111581056895375e-07
1861,2.854830256637797e-07
1862,2.959949654268712e-07
1863,2.8051695721842407e-07
1864,2.471292361860833e-07
1865,2.55858310538315e-07
1866,2.539655383770878e-07
1867,2.6999632041224686e-07
1868,2.5881377041514497e-07
1869,2.6043863954328117e-07
1870,3.0248719440351124e-07
1871,2.7792214041255647e-07
1872,2.9178755767134135e-07
1873,2.938812997399509e-07
1874,2.718190330597281e-07
1875,2.806420695833367e-07
1876,2.528547327074193e-07
1877,2.8680872787845146e-07
1878,2.619912606860453e-07
1879,2.642990466483752e-07
1880,3.520681843838247e-07
1881,3.0479702672892017e-07
1882,2.971863750644843e-07
1883,2.776293683837139e-07
1884,2.702330732518021e-07
1885,2.7382853318158595e-07
1886,2.3677588956161344e-07
1887,3.022105374839157e-07
1888,2.935704515039106e-07
1889,2.5839497652668797e-07
1890,2.9421886438285583e-07
1891,2.7578002459449635e-07
1892,2.801070877467282e-07
1893,2.5533469738547865e-07
1894,2.7960717829955684e-07
1895,2.3422130368544458e-07
1896,2.471519451319182e-07
1897,2.499021434232418e-07
1898,2.3133777915518294e-07
1899,2.9533831025219115e-07
1900,2.6072476089211705e-07
1901,2.7437857852419256e-07
1902,2.8954647746104456e-07
1903,2.852444822565303e-07
1904,2.425526588467619e-07
1905,2.696212106911844e-07
1906,2.7514153089214233e-07
1907,2.7455507733975537e-07
1908,2.785601793675596e-07
1909,2.570677963831258e-07
1910,2.7001735247722536e-07
1911,2.3345296540355776e-07
1912,2.0441370907064993e-07
1913,2.097074656148834e-07
1914,1.996048695218633e-07
1915,2.0674154654898302e-07
1916,1.8435736137689673e-07
1917,1.884650231431806e-07
1918,1.8922450806257984e-07
1919,2.1072607125915965e-07
1920,2.0725150307043805e-07
1921,2.0786634991054598e-07
1922,2.114099260097646e-07
1923,2.2087975537488092e-07
1924,2.3613750954609714e-07
1925,2.2028396529094607e-07
1926,2.1965512075894367e-07
1927,2.037732542703452e-07
1928,2.1208471423506126e-07
1929,2.2592872994664503e-07
1930,4.7527760216325987e-07
1931,2.246506340952692e-07
1932,2.279767414847811e-07
1933,2.422421232495253e-07
1934,2.2439716929056885e-07
1935,2.696039302918507e-07
1936,2.432551582387532e-07
1937,2.311944342636707e-07
1938,2.2944558963899908e-07
1939,2.1867055011171033e-07
1940,2.4632797135382134e-07
1941,2.2976902869231708e-07
1942,2.7863882223755354e-07
1943,2.34899246720488e-07
