,top
1800,6.303114059846848e-05
1801,6.418170232791454e-05
1802,5.982583752484061e-05
1803,5.1284678193042055e-05
1804,5.373208477976732e-05
1805,6.037357888999395e-05
1806,6.590901466552168e-05
1807,6.566366937477142e-05
1808,5.129124110681005e-05
1809,7.384552736766636e-05
1810,6.108925299486145e-05
1811,4.88941150251776e-05
1812,4.2961321014445275e-05
1813,5.876776049262844e-05
1814,5.574071838054806e-05
1815,6.637545448029414e-05
1816,4.505365723161958e-05
1817,5.1760809583356604e-05
1818,5.534620868274942e-05
1819,6.478994328062981e-05
1820,5.3228439355734736e-05
1821,5.573802991420962e-05
1822,5.8344263379694894e-05
1823,5.8963047194993123e-05
1824,5.698038876289502e-05
1825,5.6492113799322397e-05
1826,5.085805605631322e-05
1827,5.472217526403256e-05
1828,5.4792155424365774e-05
1829,5.992799924570136e-05
1830,5.211506140767597e-05
1831,5.278242315398529e-05
1832,5.368322308640927e-05
1833,5.057526141172275e-05
1834,5.0171664042863995e-05
1835,5.2819232223555446e-05
1836,5.318528201314621e-05
1837,4.934813841828145e-05
1838,5.846539716003463e-05
1839,5.293584763421677e-05
1840,5.212681935518049e-05
1841,5.674056228599511e-05
1842,6.223580567166209e-05
1843,5.542235157918185e-05
1844,5.317983595887199e-05
1845,5.9066143876407295e-05
1846,5.356967085390352e-05
1847,5.689792669727467e-05
1848,5.4101245041238144e-05
1849,5.877860530745238e-05
1850,5.869124288437888e-05
1851,5.811686423840001e-05
1852,6.0253736592130736e-05
1853,5.395083280745894e-05
1854,5.788772978121415e-05
1855,5.864176637260243e-05
1856,6.266272976063192e-05
1857,6.3663101173006e-05
1858,6.049067815183662e-05
1859,6.162900535855442e-05
1860,6.288505392149091e-05
1861,6.239618232939392e-05
1862,6.616468454012647e-05
1863,6.499753362732008e-05
1864,6.278110231505707e-05
1865,6.473370740422979e-05
1866,6.259214569581673e-05
1867,6.53588940622285e-05
1868,6.429292989196256e-05
1869,6.563827628269792e-05
1870,6.53423776384443e-05
1871,6.642119842581451e-05
1872,6.912954268045723e-05
1873,7.220669067464769e-05
1874,7.42625561542809e-05
1875,7.403475319733843e-05
1876,7.342344179050997e-05
1877,7.194698991952464e-05
1878,7.641327829333022e-05
1879,7.038108742563054e-05
1880,7.423745410051197e-05
1881,7.174718484748155e-05
1882,7.539174112025648e-05
1883,7.694270607316867e-05
1884,7.677336543565616e-05
1885,7.80992122599855e-05
1886,7.147371798055246e-05
1887,7.4282921559643e-05
1888,7.538137288065627e-05
1889,7.651755004189909e-05
1890,7.898296462371945e-05
1891,7.878916221670806e-05
1892,8.036398503463715e-05
1893,8.265973883680999e-05
1894,8.310678094858304e-05
1895,8.249875099863857e-05
1896,8.428543515037745e-05
1897,8.726640953682363e-05
1898,8.708645327715203e-05
1899,8.554595842724666e-05
1900,8.577740663895383e-05
1901,8.037587394937873e-05
1902,8.644906483823434e-05
1903,9.219051571562886e-05
1904,9.335650247521698e-05
1905,9.656958718551323e-05
1906,9.240370127372444e-05
1907,9.375067747896537e-05
1908,9.666475671110675e-05
1909,9.704836702439934e-05
1910,9.564541687723249e-05
1911,9.565595973981544e-05
1912,9.806725574890152e-05
1913,9.512870747130364e-05
1914,9.830990165937692e-05
1915,9.80605764198117e-05
1916,9.887660417007282e-05
1917,9.634470916353166e-05
1918,9.766271978151053e-05
1919,9.100627357838675e-05
1920,9.199356281897053e-05
1921,8.758401236264035e-05
1922,8.989455818664283e-05
1923,9.164577204501256e-05
1924,9.119807509705424e-05
1925,9.290844172937796e-05
1926,8.804681419860572e-05
1927,9.188275726046413e-05
1928,9.059463627636433e-05
1929,9.112164116231725e-05
1930,9.08367510419339e-05
1931,8.664376946398988e-05
1932,8.905129652703181e-05
1933,8.529381011612713e-05
1934,9.167762618744746e-05
1935,9.368910832563415e-05
1936,8.936529775382951e-05
1937,8.917232480598614e-05
1938,9.832622163230553e-05
1939,9.249177674064413e-05
1940,9.682700328994542e-05
1941,9.02258325368166e-05
1942,9.730332385515794e-05
1943,9.696463530417532e-05
1944,0.00010155143536394462
1945,9.71414046944119e-05
1946,0.00010142237442778423
1947,9.830239287111908e-05
1948,0.0001075153486453928
1949,0.00011428996367612854
1950,0.00010873778956010938
1951,0.00010796592687256634
1952,0.00010824640048667789
1953,0.00010860138718271628
1954,0.0001076652406482026
1955,0.00010553282481851056
1956,0.00010860757902264595
1957,0.00010527468839427456
1958,0.00010577444481896237
1959,0.0001011717613437213
1960,0.00010075211321236566
1961,9.625877282815054e-05
1962,9.563025378156453e-05
1963,9.390514605911449e-05
1964,9.436138498131186e-05
1965,9.080173185793683e-05
1966,8.930759213399142e-05
1967,8.638238796265796e-05
1968,8.75065234140493e-05
1969,8.697405428392813e-05
1970,8.637800783617422e-05
1971,8.316469029523432e-05
1972,8.732455171411857e-05
