,quality
1800,5.904283170821145e-05
1801,6.954064156161621e-05
1802,5.83161017857492e-05
1803,5.9013254940509796e-05
1804,6.186779501149431e-05
1805,6.163167563499883e-05
1806,5.752573270001449e-05
1807,6.533266423502937e-05
1808,5.993097147438675e-05
1809,5.556241740123369e-05
1810,5.7074921642197296e-05
1811,5.773482553195208e-05
1812,4.86161261505913e-05
1813,5.8561807236401364e-05
1814,5.364064054447226e-05
1815,5.500626139109954e-05
1816,4.8263627832056955e-05
1817,5.0966562412213534e-05
1818,5.182563836569898e-05
1819,5.91496100241784e-05
1820,4.916955731459893e-05
1821,5.011722896597348e-05
1822,4.8502035497222096e-05
1823,5.6489876442356035e-05
1824,5.432394391391426e-05
1825,4.6209785068640485e-05
1826,5.1063554565189406e-05
1827,4.9269390729023144e-05
1828,4.7400266339536756e-05
1829,4.983479084330611e-05
1830,5.217435318627395e-05
1831,4.71631319669541e-05
1832,4.9922495236387476e-05
1833,4.9003498133970425e-05
1834,5.037194205215201e-05
1835,4.849193646805361e-05
1836,4.936208642902784e-05
1837,5.047086233389564e-05
1838,4.8246503865811974e-05
1839,5.0508893764344975e-05
1840,4.885856105829589e-05
1841,4.775556953973137e-05
1842,5.130547287990339e-05
1843,5.2029750804649666e-05
1844,4.684861050918698e-05
1845,5.232846160652116e-05
1846,4.840705150854774e-05
1847,5.064210927230306e-05
1848,5.069603503216058e-05
1849,5.0055430619977415e-05
1850,5.1057075324933976e-05
1851,5.536175376619212e-05
1852,5.3957664931658655e-05
1853,4.9091435357695445e-05
1854,5.2466402848949656e-05
1855,5.3608513553626835e-05
1856,5.060305556980893e-05
1857,5.1644012273754925e-05
1858,5.108677578391507e-05
1859,5.367515768739395e-05
1860,5.463070920086466e-05
1861,5.4547013860428706e-05
1862,6.21431609033607e-05
1863,5.609271829598583e-05
1864,5.1917697419412434e-05
1865,5.4230647947406396e-05
1866,5.1387251005508006e-05
1867,5.6557801144663244e-05
1868,5.57694147573784e-05
1869,5.618599971057847e-05
1870,5.5082011385820806e-05
1871,5.9876227169297636e-05
1872,5.47673917026259e-05
1873,5.7773100706981495e-05
1874,5.860015153302811e-05
1875,5.873617919860408e-05
1876,5.9469195548444986e-05
1877,5.7989054766949266e-05
1878,6.155980372568592e-05
1879,5.675425927620381e-05
1880,5.999643326504156e-05
1881,5.7827615819405764e-05
1882,5.886636790819466e-05
1883,6.133491115178913e-05
1884,6.322989793261513e-05
1885,6.120328907854855e-05
1886,6.400369602488354e-05
1887,6.525035132654011e-05
1888,6.659742211923003e-05
1889,6.751176988473162e-05
1890,6.640564242843539e-05
1891,6.71234229230322e-05
1892,7.091417501214892e-05
1893,6.852602382423356e-05
1894,7.291043584700674e-05
1895,6.636359466938302e-05
1896,6.76324634696357e-05
1897,7.109004218364134e-05
1898,6.779353134334087e-05
1899,6.763464625691995e-05
1900,6.885357288410887e-05
1901,6.679622310912237e-05
1902,7.069447019603103e-05
1903,7.064968667691574e-05
1904,7.123719115043059e-05
1905,7.5451513112057e-05
1906,7.359176379395649e-05
1907,7.634029316250235e-05
1908,7.518360507674515e-05
1909,8.030604658415541e-05
1910,7.639871182618663e-05
1911,7.748697680654004e-05
1912,7.902041397755966e-05
1913,8.00533962319605e-05
1914,8.003196126082912e-05
1915,8.201877790270373e-05
1916,8.395036275032908e-05
1917,8.111884380923584e-05
1918,8.395342592848465e-05
1919,8.604588219895959e-05
1920,8.981116843642667e-05
1921,9.129329555435106e-05
1922,9.27286091609858e-05
1923,9.282828978030011e-05
