,author
1800,0.0002514260995667428
1801,0.0003013076784554869
1802,0.00025067891692742705
1803,0.0002555272076278925
1804,0.0002696388110052794
1805,0.00027192270499654114
1806,0.00028157216729596257
1807,0.0002580526052042842
1808,0.00023674096155446023
1809,0.00021383748389780521
1810,0.0002348725829506293
1811,0.00018980016466230154
1812,0.0002080942940665409
1813,0.00021201367781031877
1814,0.00021853137877769768
1815,0.00019516452448442578
1816,0.00017941348778549582
1817,0.00020954155479557812
1818,0.00017499146633781493
1819,0.00017695095448289067
1820,0.00017594962264411151
1821,0.00022187933791428804
1822,0.00017250464588869363
1823,0.00019312315271236002
1824,0.00019652204355224967
1825,0.00017421880329493433
1826,0.00017149071209132671
1827,0.0001717420236673206
1828,0.0001503309904364869
1829,0.00016622104158159345
1830,0.00015289457223843783
1831,0.00014617342094425112
1832,0.00011020138481399044
1833,0.00015578794409520924
1834,0.00015675750910304487
1835,0.0001542758400319144
1836,0.00014001666568219662
1837,0.00015740064554847777
1838,0.00014683442714158446
1839,0.00013559884973801672
1840,0.00014071731129661202
1841,0.0001407742965966463
1842,0.00014686911890748888
1843,0.0001415775768691674
1844,0.00014135897799860686
1845,0.00013611206668429077
1846,0.00013823300832882524
1847,0.00014021502283867449
1848,0.00013551567099057138
1849,0.000138894232804887
1850,0.00013732549268752337
1851,0.000133930443553254
1852,0.00012184214574517682
1853,0.00012448888446670026
1854,0.0001334726985078305
1855,0.00012439966667443514
1856,0.0001293816021643579
1857,0.00012402898573782295
1858,0.00012554401473607868
1859,0.00012879435962531716
1860,0.00011957075912505388
1861,0.00011955407535424456
1862,0.00011113886284874752
1863,0.0001239735574927181
1864,0.00011868173169204965
1865,0.00011691827239701524
1866,0.00011115503002656624
1867,0.00010992575698764995
1868,0.00011021721002180129
1869,0.00011772693687817082
1870,0.00011799843923654407
1871,0.00012084971240255982
1872,0.00011067588638979942
1873,0.00012135375436628237
1874,0.00011586847540456802
1875,0.00011974300286965445
1876,0.00011246737994952127
1877,0.00011440691741881892
1878,0.00011624268518062308
1879,0.00011940815602429211
1880,0.00011548595648491755
1881,0.00011640706361504272
1882,0.00011596452532103285
1883,0.00011374678433639929
1884,0.00011308866669423878
1885,0.0001117851134040393
1886,0.00011422446550568566
1887,0.00011288919631624594
1888,0.00011537217505974695
1889,0.0001118788422900252
1890,0.00011357892799424008
1891,0.00012276729103177786
1892,0.00011709264072123915
1893,0.00011734577128663659
1894,0.00011306865781079978
1895,0.00011413954780437052
1896,0.00011176966654602438
1897,0.00012035694817313924
1898,0.00011756420281017199
1899,0.00011475324572529644
1900,0.00010702224972192198
1901,0.00010802876931848004
1902,0.00011595730757107958
1903,0.00011099552648374811
1904,0.0001111537785618566
1905,0.00010705806198529899
1906,9.852509538177401e-05
1907,0.00010171710164286196
1908,9.54817805904895e-05
1909,9.751047764439136e-05
1910,9.813320502871647e-05
1911,9.388921171193942e-05
1912,9.429347119294107e-05
1913,9.087863872991875e-05
1914,0.00010171453322982416
1915,9.023567690746859e-05
1916,8.447360596619546e-05
1917,8.137555414577946e-05
1918,8.041506225708872e-05
1919,7.833805284462869e-05
1920,8.130926289595664e-05
1921,8.361331128980964e-05
1922,8.933014032663777e-05
1923,8.420667290920392e-05
1924,7.965016266098246e-05
1925,8.475337381241843e-05
1926,8.778435585554689e-05
1927,9.242603846359998e-05
1928,8.844061085255817e-05
1929,9.091223910218105e-05
1930,8.979499398265034e-05
1931,8.903557318262756e-05
1932,9.256511111743748e-05
1933,8.882585825631395e-05
1934,9.037825657287613e-05
1935,9.194867743644863e-05
1936,9.090413368539885e-05
1937,9.008341294247657e-05
1938,8.925946895033121e-05
1939,8.171521767508239e-05
1940,8.773501758696511e-05
1941,8.153465751092881e-05
1942,8.115848322631791e-05
1943,8.11451391200535e-05
1944,7.853119313949719e-05
1945,7.852485578041524e-05
1946,7.893452857388183e-05
1947,8.355091995326802e-05
1948,8.245282515417784e-05
1949,7.957253546919674e-05
1950,8.934119250625372e-05
1951,8.69820432853885e-05
1952,8.752480061957613e-05
1953,8.980534039437771e-05
1954,9.394436347065493e-05
1955,8.706741937203333e-05
1956,9.12672549020499e-05
1957,9.019053686643019e-05
1958,9.339513053419068e-05
1959,9.456348925596103e-05
1960,9.777289960766211e-05
1961,9.149220568360761e-05
1962,9.569334361003712e-05
1963,9.417915134690702e-05
1964,9.752011828823015e-05
1965,9.61180921876803e-05
1966,9.805665467865765e-05
1967,9.581711492501199e-05
1968,0.00010237984679406509
1969,9.882006997941062e-05
1970,9.20599268283695e-05
1971,8.687718218425289e-05
1972,9.043730096891522e-05
1973,8.83305401657708e-05
1974,9.110226528719068e-05
1975,8.3449027442839e-05
1976,8.250188693637028e-05
1977,8.276017615571618e-05
1978,8.350993448402733e-05
1979,8.470250759273767e-05
1980,8.372512820642442e-05
1981,8.365139365196228e-05
1982,8.138633711496368e-05
1983,7.797404396114871e-05
1984,7.753597310511395e-05
1985,7.796668796800077e-05
1986,7.913113222457469e-05
1987,8.295464067487046e-05
1988,7.689439371461049e-05
1989,7.8705714258831e-05
