,author
1990,7.734740211162716e-05
1991,7.574970368295908e-05
1992,7.394194835796952e-05
1993,7.778691360726953e-05
1994,7.846096559660509e-05
1995,7.626684237038717e-05
1996,7.666800229344517e-05
1997,7.80014306656085e-05
1998,7.587022992083803e-05
1999,7.868420652812347e-05
2000,7.49960818211548e-05
2001,7.464932423317805e-05
2002,7.41830444894731e-05
2003,7.702809671172872e-05
2004,7.825411739759147e-05
2005,7.740612636553124e-05
2006,7.827086665201932e-05
2007,7.62488052714616e-05
2008,7.342685421463102e-05
2009,7.197578088380396e-05
2010,7.0646645326633e-05
2011,6.719250086462125e-05
2012,6.27453118795529e-05
2013,6.951758405193686e-05
2014,6.930535892024636e-05
2015,7.178237865446135e-05
2016,7.753077807137743e-05
2017,7.030492997728288e-05
2018,6.747039151377976e-05
2019,7.125226693460718e-05
