,team
1800,2.8493582249211613e-06
1801,2.11846213460376e-06
1802,2.523232296880451e-06
1803,1.6655922081554309e-06
1804,2.418285248495522e-06
1805,3.5068762826995226e-06
1806,2.0024547211505705e-06
1807,2.7655280518956715e-06
1808,2.6066427381010726e-06
1809,1.7030695289577125e-06
1810,1.963959675777005e-06
1811,1.3575748880612082e-06
1812,9.929153748089448e-07
1813,2.0656129890994634e-06
1814,1.3109093970342656e-06
1815,1.3969207657282823e-06
1816,1.3184779845687444e-06
1817,1.2827939599446836e-06
1818,1.434456066817802e-06
1819,2.107303998855059e-06
1820,1.3361683386392542e-06
1821,1.6304704786307411e-06
1822,2.0157892777206143e-06
1823,1.8592648984849802e-06
1824,1.9482397419778863e-06
1825,1.3371483191804145e-06
1826,1.2890268408227712e-06
1827,1.4345476984090055e-06
1828,1.6157570144059719e-06
1829,1.7850575204647612e-06
1830,1.4757004009879893e-06
1831,1.6643176650177338e-06
1832,3.121723921140074e-06
1833,1.6224645378315472e-06
1834,2.612755224618013e-06
1835,2.2220601749722846e-06
1836,1.6442866126453737e-06
1837,1.7297285239692428e-06
1838,1.925426431625965e-06
1839,1.940931952049141e-06
1840,2.1277028281474486e-06
1841,2.4421949547104305e-06
1842,1.8470967688699602e-06
1843,2.2703757167619187e-06
1844,2.0108066109969513e-06
1845,2.0638328805944184e-06
1846,2.258845825053868e-06
1847,2.1761193238489795e-06
1848,2.2681169866700657e-06
1849,2.368091145399376e-06
1850,2.659125357240555e-06
1851,2.867274815798737e-06
1852,3.218568281226908e-06
1853,2.687223968678154e-06
1854,2.9289014946698444e-06
1855,3.15777242576587e-06
1856,3.3524800073791994e-06
1857,3.2212105907092337e-06
1858,3.4211714137200033e-06
1859,3.4023801163129974e-06
1860,3.8101129575807136e-06
1861,3.649585778475739e-06
1862,3.289212145318743e-06
1863,3.314540663268417e-06
1864,4.116184300073655e-06
1865,3.3265480396948988e-06
1866,3.458275386947207e-06
1867,4.056538273289334e-06
1868,3.8097634842415573e-06
1869,4.315353635320207e-06
1870,3.847334937745472e-06
1871,4.1453063204244245e-06
1872,3.704843038576655e-06
1873,3.844405000563711e-06
