,re
1800,0.00011064875434385613
1801,0.00010677777754608542
1802,0.00012336081999819726
1803,0.00012344113201834261
1804,0.00012044294999213889
1805,0.0001252781366929412
1806,0.00011684016499202698
1807,0.000123897785670124
1808,0.00010405667126178741
1809,0.00010297688277205452
1810,0.00010156351345358416
1811,0.00010969995491905138
1812,0.00012758708908222616
1813,0.00011918770178453997
1814,0.00011756511230487376
1815,0.0001183021449833177
1816,0.00011878929944941774
1817,0.00011661869939416647
1818,0.00011142924631712958
1819,0.00011077522503910586
1820,0.00010531021689530462
1821,0.00010585275595076382
1822,0.00010194149217568338
1823,0.00010611738980514929
1824,9.6613795903977e-05
1825,0.00010046866373158991
1826,0.00010587325232336298
1827,9.970200335374102e-05
1828,9.793810022529215e-05
1829,9.62952253757976e-05
1830,9.229202987626195e-05
1831,9.10671369638294e-05
1832,0.00010218849638476968
1833,8.905809227144346e-05
1834,8.909247844712809e-05
1835,8.7095468188636e-05
1836,8.959630213212222e-05
1837,8.941155829234049e-05
1838,9.137124288827181e-05
1839,8.94925178727135e-05
1840,8.994789095595479e-05
1841,9.264900290872902e-05
1842,9.070931992027909e-05
1843,9.215894533554092e-05
1844,8.858081127982587e-05
1845,9.171199781121686e-05
1846,9.312953625340015e-05
1847,9.258441423298791e-05
1848,9.038037387654185e-05
1849,9.182551002595574e-05
1850,9.023505117511377e-05
1851,9.498795407125726e-05
1852,9.59517783485353e-05
1853,9.030827641254291e-05
1854,8.981769497040659e-05
1855,8.992962102638558e-05
1856,9.356743248645216e-05
1857,9.151179256150499e-05
1858,9.058515570359305e-05
1859,9.244593820767477e-05
1860,8.624575275462121e-05
1861,9.144770592683926e-05
1862,9.394001972395927e-05
1863,9.797001985134557e-05
1864,9.406173194292933e-05
1865,0.00010159563680645078
1866,0.00010336229752283543
1867,0.00010088928684126586
1868,0.00010427873348817229
1869,0.00010052064317278564
1870,9.88863903330639e-05
1871,0.0001031367210089229
1872,0.00010054506128653884
1873,0.00010836739238584414
1874,0.00011042499681934714
1875,0.00011397479102015495
1876,0.0001106081108446233
1877,0.00010962464148178697
1878,0.00011156587424920872
1879,0.00010652217315509915
1880,0.00010548662976361811
1881,0.00010687453323043883
1882,0.00010419413592899218
1883,0.00010261283023282886
1884,0.00010587037832010537
1885,0.00010268955520587042
1886,0.00010738404671428725
1887,0.00011164895840920508
1888,0.00010635133367031813
1889,0.00010710163041949272
1890,0.00010615439532557502
1891,0.00010596096399240196
1892,9.86610830295831e-05
1893,0.00010267819016007707
1894,9.79336618911475e-05
1895,9.866033360594884e-05
1896,9.441575821256265e-05
1897,9.618757758289576e-05
1898,0.00010184272105107084
1899,9.33275805437006e-05
1900,8.972221985459328e-05
1901,9.646054968470708e-05
1902,9.640826465329155e-05
1903,9.330568718723953e-05
1904,9.795672667678446e-05
1905,9.574674186296761e-05
1906,0.0001012969296425581
1907,9.778555249795318e-05
1908,0.00010755208495538682
1909,9.915279952110723e-05
1910,9.936340939020738e-05
1911,0.00010030301928054541
1912,0.0001001248019747436
1913,9.683760436018929e-05
1914,0.0001070813596015796
1915,0.00010330993245588616
1916,0.00010784005280584097
1917,0.00010451121488586068
1918,0.00010295453830622137
1919,0.000102145568234846
1920,0.00010541299707256258
1921,0.00011176818225067109
1922,0.00010538436617935076
1923,0.00010665195441106334
1924,9.180416236631572e-05
1925,9.386193414684385e-05
1926,8.550530765205622e-05
1927,9.270571899833158e-05
1928,9.308731387136504e-05
1929,9.310108725912869e-05
1930,9.485973714618012e-05
1931,9.790743933990598e-05
1932,9.275432239519432e-05
1933,9.660581417847425e-05
1934,9.154577855952084e-05
1935,9.45234060054645e-05
1936,0.00010777906572911888
1937,0.00010109582217410207
1938,9.350988693768159e-05
1939,9.622236393624917e-05
1940,9.32500624912791e-05
1941,9.450465586269274e-05
1942,9.22559411264956e-05
1943,0.00011033980990760028
1944,9.694024629425257e-05
1945,0.00010707657929742709
1946,9.999017493100837e-05
1947,0.00010098294296767563
1948,9.408284677192569e-05
1949,0.00010286625911248848
1950,0.00010023893264587969
1951,0.00010615785868139938
1952,9.6399468020536e-05
1953,0.00010251678031636402
1954,9.619578486308455e-05
1955,9.87031526165083e-05
1956,9.078039875021204e-05
1957,0.00010109377763001248
1958,8.7143991549965e-05
1959,9.131803381023929e-05
1960,9.242927626473829e-05
1961,9.480813605478033e-05
1962,8.760503988014534e-05
1963,9.030174987856299e-05
1964,8.580175199313089e-05
1965,8.58287894516252e-05
1966,8.30698263598606e-05
1967,8.920350956032053e-05
1968,8.559747220715508e-05
1969,9.227000555256382e-05
1970,8.324447844643146e-05
1971,8.561445429222658e-05
1972,8.561591675970703e-05
1973,8.412193710682914e-05
1974,8.146829350152984e-05
1975,8.000894740689546e-05
1976,7.497095793951303e-05
1977,7.847532106097788e-05
1978,7.99561312305741e-05
1979,8.021340909181163e-05
1980,7.534504402428865e-05
1981,7.995639316504821e-05
1982,7.331098458962515e-05
1983,7.655525405425578e-05
1984,7.318392454180866e-05
1985,8.874578634276986e-05
1986,7.730581273790449e-05
1987,8.392146992264315e-05
1988,7.66819212003611e-05
1989,8.035294740693644e-05
1990,7.241559069370851e-05
1991,7.675294909859076e-05
1992,7.492840813938528e-05
1993,7.781855674693361e-05
1994,7.229181937873363e-05
1995,8.099064143607393e-05
1996,7.88842880865559e-05
1997,8.638888539280742e-05
1998,8.098558464553207e-05
1999,8.829917351249605e-05
2000,8.248027006629854e-05
2001,8.809635619400069e-05
2002,8.718519529793411e-05
2003,8.903373236535117e-05
2004,9.289073932450265e-05
2005,8.899997192202136e-05
2006,8.452469774056226e-05
2007,8.809281280264258e-05
2008,8.404262916883454e-05
2009,8.675742719788104e-05
2010,8.473097113892436e-05
2011,8.167529449565336e-05
2012,7.731709047220647e-05
2013,7.715170795563608e-05
2014,7.570352317998186e-05
2015,7.538829231634736e-05
2016,7.795722194714472e-05
2017,7.158836524467915e-05
2018,6.912265962455422e-05
2019,7.339266448980197e-05
