,source
1880,4.5942819269839674e-05
1881,4.63845171907451e-05
1882,4.6705918066436425e-05
1883,4.711158908321522e-05
1884,4.746313425130211e-05
1885,4.618582170223817e-05
1886,4.670443740906194e-05
1887,4.549069490167312e-05
1888,4.75450033263769e-05
1889,4.783879921888001e-05
1890,4.903396256850101e-05
1891,4.6751614718232304e-05
1892,4.782301766681485e-05
1893,4.9149803089676425e-05
1894,5.092202263767831e-05
1895,4.8774345486890525e-05
1896,4.914481905871071e-05
1897,4.995212657377124e-05
1898,4.891245407634415e-05
1899,4.774739863933064e-05
1900,4.864786023972556e-05
1901,4.903914305032231e-05
1902,5.0141392421210185e-05
1903,5.12353508383967e-05
1904,5.2239989599911496e-05
1905,5.2972794946981594e-05
1906,5.2514762501232326e-05
1907,5.276373485685326e-05
1908,5.440984750748612e-05
1909,5.469668758451007e-05
1910,5.481034531840123e-05
1911,5.583580059465021e-05
1912,5.485744259203784e-05
1913,5.665640128427185e-05
1914,5.6688859331188723e-05
1915,5.6328546634176746e-05
1916,5.82659340579994e-05
1917,5.929966937401332e-05
1918,5.916970258112997e-05
1919,5.84443514526356e-05
1920,5.981395588605665e-05
1921,5.845644773216918e-05
1922,5.947629324509762e-05
1923,5.900006726733409e-05
1924,5.978765693726018e-05
1925,6.282928370637819e-05
1926,6.121657497715205e-05
1927,6.198279879754409e-05
1928,6.249557918636128e-05
1929,6.342483538901433e-05
1930,6.585969094885513e-05
1931,6.3586667238269e-05
1932,6.762147677363828e-05
1933,6.699719233438373e-05
1934,6.879829743411392e-05
1935,6.94225964252837e-05
1936,6.844179006293416e-05
1937,6.895791011629626e-05
1938,7.148140139179304e-05
1939,7.810979150235653e-05
1940,7.465921225957572e-05
1941,7.452617137460038e-05
1942,8.04428054834716e-05
1943,7.810066017555073e-05
1944,7.704914605710655e-05
1945,7.510746945627034e-05
1946,7.741116860415787e-05
1947,7.962922245496884e-05
1948,8.312302816193551e-05
1949,8.929239265853539e-05
1950,8.695228461874649e-05
1951,8.807981066638604e-05
1952,8.900033571990207e-05
1953,9.114761633099988e-05
1954,9.239055361831561e-05
1955,9.487990610068664e-05
1956,9.76560841081664e-05
1957,9.734684863360599e-05
1958,0.00010312756057828665
1959,0.00010418888268759474
1960,0.00010572971950750798
1961,0.00010525096149649471
1962,0.00010965269757434726
1963,0.00010663803550414741
1964,0.00010839126480277628
1965,0.00011046253348467872
1966,0.00011091861961176619
1967,0.00010906649549724534
1968,0.00010822447802638635
1969,0.00010681456478778273
1970,0.00011064081627409905
1971,0.00011192769306944683
1972,0.00011696495494106784
1973,0.00011666811042232439
1974,0.00012147935922257602
1975,0.00012502833851613104
1976,0.00012962195614818484
1977,0.00012885796604678035
1978,0.00012919522123411298
1979,0.00013117010530550033
1980,0.00013365443737711757
1981,0.00013771289377473295
1982,0.00012959583546034992
1983,0.0001360303140245378
1984,0.0001341089664492756
1985,0.00013118318747729063
1986,0.00013387486978899688
1987,0.0001348346850136295
1988,0.0001302852324442938
1989,0.00012906383199151605
1990,0.00013044914521742612
1991,0.00013375452545005828
1992,0.00013376798597164452
1993,0.00013191401376388967
1994,0.00013206015864852816
1995,0.00013154090265743434
1996,0.00013137592759449035
1997,0.00013009064423386008
1998,0.0001303639728575945
1999,0.00012921931920573115
2000,0.00012790515029337257
2001,0.0001261544384760782
2002,0.00012791181507054716
2003,0.00012755316856782883
2004,0.00012571441766340286
2005,0.0001224194566020742
2006,0.0001212836432387121
2007,0.0001164990826509893
2008,0.00011207417992409319
2009,0.000109918910311535
2010,0.00010836607543751597
2011,0.00010389060480520129
2012,0.00011066620936617255
2013,0.00010790491796797141
2014,9.618130570743233e-05
2015,9.483628673478961e-05
2016,0.00010117901547346264
2017,9.157759632216766e-05
2018,8.875185449142009e-05
2019,9.1857451479882e-05
