,by
1800,0.00624257093295455
1801,0.006400813814252615
1802,0.006506015546619892
1803,0.00637050112709403
1804,0.006308220326900482
1805,0.006471733562648296
1806,0.0064432802610099316
1807,0.006597560830414295
1808,0.006086968816816807
1809,0.006565392948687077
1810,0.006491065490990877
1811,0.006406102795153856
1812,0.006517578847706318
1813,0.006588253192603588
1814,0.006499206647276878
1815,0.006490359548479319
1816,0.0064608315005898476
1817,0.006530496757477522
1818,0.00651293620467186
1819,0.006668019574135542
1820,0.006405811756849289
1821,0.006259937770664692
1822,0.006399975158274174
1823,0.0064341360703110695
1824,0.006316677201539278
1825,0.006449843756854534
1826,0.006406478118151426
1827,0.006491691805422306
1828,0.006418643053621054
1829,0.0066192876547575
1830,0.006431414745748043
1831,0.006457617972046137
1832,0.006643872242420912
1833,0.006343611981719732
1834,0.0064441668801009655
1835,0.006390041206032038
1836,0.006467231549322605
1837,0.0063518015667796135
1838,0.0063363476656377316
1839,0.0063659679144620895
1840,0.0064255231991410255
1841,0.006436279974877834
1842,0.006476694252341986
1843,0.006386027205735445
1844,0.0063057541847229
1845,0.006498304661363363
1846,0.006361722014844418
1847,0.006385552231222391
1848,0.006299116648733616
1849,0.006392237730324268
1850,0.006256634835153818
1851,0.006360627245157957
1852,0.006268327124416828
1853,0.006272816564887762
1854,0.0063304780051112175
1855,0.006310091353952885
1856,0.00627154391258955
1857,0.00619145343080163
1858,0.006252324674278498
1859,0.006251107435673475
1860,0.006147058214992285
1861,0.0062463670037686825
1862,0.0061667803674936295
1863,0.006237095687538385
1864,0.006175880786031485
1865,0.006121576763689518
1866,0.006181630771607161
1867,0.006193176377564669
1868,0.006140770390629768
1869,0.006070523057132959
1870,0.006175398360937834
1871,0.0061749122105538845
1872,0.00609990069642663
1873,0.006217603106051683
1874,0.006197954528033733
1875,0.006277170032262802
1876,0.0062363529577851295
1877,0.00632476294413209
1878,0.006237211637198925
1879,0.006239219103008509
1880,0.006191698834300041
1881,0.006200449075549841
1882,0.006172353867441416
1883,0.00615018280223012
1884,0.006194673478603363
1885,0.006114459130913019
1886,0.0061828070320189
1887,0.0061205108650028706
1888,0.006110063754022121
1889,0.006081114523112774
1890,0.0061608124524354935
1891,0.00607780646532774
1892,0.006065550725907087
1893,0.0060646007768809795
1894,0.006085292436182499
1895,0.006124886684119701
1896,0.00607683788985014
1897,0.006066060625016689
1898,0.006081463303416967
1899,0.005857814569026232
1900,0.005889753811061382
1901,0.005956421606242657
1902,0.005890712141990662
1903,0.005942267365753651
1904,0.005940962582826614
1905,0.006018702406436205
1906,0.006022430025041103
1907,0.006054401863366365
1908,0.005920674651861191
1909,0.0059248581528663635
1910,0.005980631802231073
1911,0.006037355400621891
1912,0.00590930413454771
1913,0.005906492006033659
1914,0.005916939117014408
1915,0.005966472905129194
1916,0.005834815092384815
1917,0.005907534155994654
1918,0.005840633530169725
1919,0.0058189998380839825
1920,0.005814448930323124
1921,0.0058586979284882545
1922,0.0058306544087827206
1923,0.005801916588097811
1924,0.0056898584589362144
1925,0.005783337168395519
1926,0.005805458407849073
1927,0.005707400850951672
1928,0.005691169761121273
1929,0.005721548572182655
1930,0.005702292080968618
1931,0.005775722675025463
1932,0.005755266640335321
1933,0.005883800331503153
1934,0.0057406192645430565
1935,0.005788848269730806
1936,0.005725119728595018
1937,0.005806256085634232
1938,0.00578874908387661
1939,0.005853068083524704
1940,0.005733262747526169
1941,0.005779278464615345
1942,0.005680849775671959
1943,0.005731189623475075
1944,0.005611772648990154
1945,0.005738398991525173
1946,0.005634089466184378
1947,0.005735822953283787
1948,0.005651537328958511
1949,0.005776402074843645
1950,0.005711729638278484
1951,0.005658965092152357
1952,0.005663332063704729
1953,0.005666468292474747
1954,0.005763838533312082
1955,0.005626303609460592
1956,0.005580205470323563
1957,0.0056641800329089165
1958,0.005576774012297392
1959,0.005658129695802927
1960,0.005618533585220575
1961,0.00564028462395072
1962,0.005581489764153957
1963,0.005601361859589815
1964,0.005561897065490484
1965,0.00556736346334219
1966,0.005507315509021282
1967,0.005488435737788677
1968,0.005481426138430834
1969,0.00543429097160697
1970,0.005400067660957575
1971,0.0054429215379059315
1972,0.005351451225578785
1973,0.005327685736119747
1974,0.005314250010997057
1975,0.005328021943569183
1976,0.005245868116617203
1977,0.0052137370221316814
1978,0.005162111017853022
1979,0.005156172905117273
1980,0.005113817751407623
1981,0.00510237505659461
1982,0.0050454637967050076
1983,0.005017072428017855
1984,0.004901389125734568
1985,0.004939702805131674
1986,0.004865678027272224
1987,0.004893305711448193
1988,0.004808105994015932
1989,0.004748753271996975
1990,0.004749421961605549
1991,0.004705534782260656
1992,0.00470847450196743
1993,0.004670323338359594
1994,0.00459827296435833
1995,0.004627191927284002
1996,0.004581327550113201
1997,0.004580275155603886
1998,0.0045629278756678104
1999,0.004517506808042526
2000,0.004399067722260952
2001,0.0043953475542366505
2002,0.004291235934942961
2003,0.0042751748114824295
2004,0.004232232458889484
2005,0.00420012604445219
2006,0.004197182133793831
2007,0.004129364620894194
2008,0.0040734983049333096
2009,0.003915689419955015
2010,0.003760578343644738
2011,0.0035512361209839582
2012,0.003717165207490325
2013,0.003798402613028884
2014,0.003426960203796625
2015,0.0034327174071222544
2016,0.0035434693563729525
2017,0.0033838870003819466
2018,0.00341515033505857
2019,0.0034472355619072914
