,dec
1800,1.7381879615641083e-06
1801,1.053155187946686e-06
1802,1.253205368811905e-06
1803,3.1265874440578045e-06
1804,6.825804916843481e-07
1805,1.4556271707988344e-06
1806,9.85256860985828e-07
1807,1.2151239161539706e-06
1808,1.3305875654623378e-06
1809,1.9817864540527808e-06
1810,1.3737466133534326e-06
1811,1.7282718545175157e-06
1812,1.7819285176301491e-06
1813,2.1876580831303727e-06
1814,9.204257480632805e-07
1815,6.33292984275613e-07
1816,8.866798566486978e-07
1817,2.1852843019587453e-06
1818,9.247577281712438e-07
1819,6.962223437767534e-07
1820,1.0962817214021925e-06
1821,1.897411493700929e-06
1822,9.500301416665025e-07
1823,9.719353784021223e-07
1824,2.1012192519265227e-06
1825,1.485623329244845e-06
1826,1.2300324669922702e-06
1827,1.0083142569783377e-06
1828,1.3720197102884413e-06
1829,8.444184800282528e-07
1830,6.997864829827449e-07
1831,1.2511343356891302e-06
1832,8.165870895027183e-07
1833,7.211694423858717e-07
1834,1.0813866992975818e-06
1835,1.1461968369985698e-06
1836,8.504333663950092e-07
1837,9.70392193266889e-07
1838,9.10809376364341e-07
1839,7.229892844407004e-07
1840,8.944483056438912e-07
1841,1.0007069022321957e-06
1842,2.0852778561675223e-06
1843,1.932808800120256e-06
1844,1.5464352145500015e-06
1845,1.4350619039760204e-06
1846,8.491901439811045e-07
1847,1.2865049257015926e-06
1848,8.745447530600359e-07
1849,9.76089950199821e-07
1850,1.4661674185845186e-06
1851,1.576426939209341e-06
1852,1.3233898243925069e-06
1853,1.4165495940687833e-06
1854,1.6477508779644268e-06
1855,1.5342908454840654e-06
1856,1.4238918311093585e-06
1857,1.7124170881288592e-06
1858,1.518560566182714e-06
1859,2.071694780170219e-06
1860,1.6280920362987672e-06
1861,1.2830606692659785e-06
1862,1.0304378292858019e-06
1863,1.1579330703170854e-06
1864,1.1534015129655018e-06
1865,1.0327938753107446e-06
1866,8.223804570661741e-07
1867,1.1142706171085592e-06
1868,1.1049119166273158e-06
1869,1.7038447595041362e-06
1870,1.0266415984006017e-06
1871,9.529655926598934e-07
1872,9.637579978516442e-07
1873,1.5155286519075162e-06
1874,1.5070761492097517e-06
1875,1.6855724425113294e-06
1876,1.1930046639463399e-06
1877,1.1066199476772454e-06
1878,1.1998806712654186e-06
1879,1.4264097671912168e-06
1880,9.3999028649705e-07
1881,9.817003956413828e-07
1882,1.779696731318836e-06
1883,2.6209042971458985e-06
1884,1.5049529338284628e-06
1885,1.5345287920354167e-06
1886,2.5471958906564396e-06
1887,1.1727477158274269e-06
1888,1.4113729775999673e-06
1889,1.0324212098566932e-06
1890,1.1486334869914572e-06
1891,1.1067114655816113e-06
1892,1.1680593843266251e-06
1893,1.0525030802455149e-06
1894,1.0718274552345974e-06
1895,9.628398629502044e-07
1896,1.1211432138225064e-06
1897,1.2920373819724773e-06
1898,1.0064156867883867e-06
1899,5.96374491124152e-07
1900,1.2326233900239458e-06
1901,9.092499340113136e-07
1902,1.198220047626819e-06
1903,1.3526027942134533e-06
1904,1.0916069186350796e-06
1905,1.4077673995416262e-06
1906,1.2453891713448684e-06
1907,1.416499912920699e-06
1908,9.521207857687841e-07
1909,8.189895766008704e-07
1910,1.0131034287041984e-06
1911,7.086210302986728e-07
1912,6.079354193389008e-07
1913,8.6341628957598e-07
1914,9.410782695340458e-07
1915,9.78516141003638e-07
1916,8.457218996227311e-07
1917,9.240106351171562e-07
1918,8.09782761734823e-07
1919,7.48499019209703e-07
1920,8.565743314647989e-07
1921,9.849744628809276e-07
1922,6.198109190336254e-07
1923,7.396223509203992e-07
1924,6.668917080787651e-07
1925,1.1056463335989974e-06
1926,4.855443762608047e-07
1927,5.449908826449246e-07
1928,7.42860095215292e-07
1929,7.885041100053058e-07
1930,6.981136948525091e-07
1931,6.153543381515192e-07
1932,6.618051884288434e-07
1933,6.257127438402676e-07
1934,9.589214187144535e-07
1935,5.615507348011306e-07
1936,9.263156925953808e-07
1937,7.045925372040074e-07
1938,6.942478876226232e-07
1939,6.063270916456531e-07
1940,9.66303105087718e-07
1941,6.972248911552015e-07
1942,5.869015353709983e-07
1943,5.952826995780924e-07
1944,6.480688057308726e-07
1945,5.983908977214014e-07
1946,8.971351803666039e-07
1947,9.179084941024485e-07
1948,8.252351335613639e-07
1949,6.065210982342251e-07
1950,6.83687233049568e-07
1951,5.382909193940577e-07
1952,5.942633265476616e-07
1953,5.815395525132772e-07
1954,6.312322398116521e-07
1955,7.600598337376141e-07
1956,5.818510544486344e-07
1957,6.96243318998313e-07
1958,8.074168249549984e-07
1959,6.132656267254788e-07
1960,5.508475169335725e-07
1961,5.307849164637446e-07
1962,6.164909791550599e-07
1963,6.052974299564085e-07
1964,7.503074925807596e-07
1965,7.970326123540872e-07
1966,5.822774369335093e-07
1967,6.439479989239771e-07
1968,6.656796927018149e-07
1969,6.446904308177182e-07
1970,8.395369377467432e-07
1971,8.168565273081185e-07
1972,7.042277161417587e-07
1973,7.363317990893847e-07
1974,8.13466783711192e-07
1975,5.987596409795515e-07
1976,1.0573497775112628e-06
1977,9.164555763163662e-07
1978,6.850581257822341e-07
1979,9.771496252142242e-07
1980,8.960363970800245e-07
1981,8.120107963804912e-07
1982,9.863127843345865e-07
1983,8.16558213045937e-07
1984,7.637428325324436e-07
1985,8.727850513423618e-07
1986,7.866938744882646e-07
1987,7.244230459946266e-07
1988,7.939614192764566e-07
1989,1.0408014077256666e-06
1990,1.016715714285965e-06
1991,7.914075581538782e-07
1992,6.627931270486442e-07
1993,6.463729960159981e-07
1994,7.919056201899366e-07
1995,5.820019737257098e-07
1996,5.432835905594402e-07
1997,5.496770540958096e-07
1998,5.662958528773743e-07
1999,6.912706567163696e-07
2000,5.023794642511348e-07
2001,6.251103741305997e-07
2002,5.594564527200419e-07
2003,4.2057121163452393e-07
2004,5.239432994130766e-07
2005,4.9767032805903e-07
2006,4.7480654075116036e-07
2007,3.9176336485979846e-07
2008,3.667567227694235e-07
2009,5.014819635107415e-07
2010,3.6277714343668777e-07
2011,3.9870928958407603e-07
2012,3.539196598012495e-07
2013,4.114324667625624e-07
2014,4.356843135155941e-07
2015,5.217361263021303e-07
2016,3.74459204977029e-07
2017,4.2462266947040916e-07
2018,3.481766270851949e-07
2019,3.742637204595667e-07
