,categories
1800,6.151121851871721e-07
1801,3.037947635675664e-07
1802,1.7662625850789482e-07
1803,2.8816472763537604e-07
1804,1.7877107438835083e-07
1805,1.306721628679952e-07
1806,4.4471696014625195e-07
1807,3.075181780332059e-07
1808,8.725164235556804e-08
1809,1.3392894970820635e-07
1810,1.5231304928420286e-07
1811,1.911149070110696e-07
1812,2.9255542699502257e-07
1813,3.5393074426792737e-07
1814,1.837570096085983e-07
1815,1.9550206786789204e-07
1816,2.0096265984648198e-07
1817,2.3403310933645116e-07
1818,3.3529227039252874e-07
1819,5.13846714511601e-07
1820,1.46330819461582e-07
1821,1.152984552277303e-07
1822,3.671766535262577e-07
1823,1.7746590685874253e-07
1824,1.664777613541446e-07
1825,1.5982895718025247e-07
1826,1.927149213543089e-07
1827,3.680253257698496e-07
1828,2.5437316253373865e-07
1829,2.463578425704327e-07
1830,3.916169077911036e-07
1831,2.154731362224993e-07
1832,2.1172234028199455e-06
1833,3.2822885032146587e-07
1834,2.6985898671227915e-07
1835,4.869697818321583e-07
1836,4.2377331510579097e-07
1837,4.930453201268392e-07
1838,6.551023830070335e-07
1839,5.826999540659017e-07
1840,3.6482649079516705e-07
1841,5.337459469956229e-07
1842,3.8936502733122325e-07
1843,3.105827204308298e-07
1844,5.104166689307021e-07
1845,4.320937136981229e-07
1846,6.004003694215498e-07
1847,6.292280545494577e-07
1848,8.357695833183243e-07
1849,6.172468260956521e-07
1850,5.986001951896469e-07
1851,5.834081093780696e-07
1852,5.37180426363193e-07
1853,6.559391749760835e-07
1854,8.80750462783908e-07
1855,1.0476356919753016e-06
1856,7.756241302558919e-07
1857,8.862571689860488e-07
1858,8.684314138918126e-07
1859,7.723194244135811e-07
1860,1.047882165039482e-06
1861,8.991908657662862e-07
1862,8.043897992138227e-07
1863,9.687869351182599e-07
1864,6.978929150136537e-07
1865,1.037864194586291e-06
1866,7.852881367398368e-07
1867,9.896568826661678e-07
1868,8.448598123322881e-07
1869,1.1009029776687385e-06
1870,8.81750167991413e-07
1871,1.0088009503306239e-06
1872,1.3201101864979137e-06
1873,1.3375441767493612e-06
1874,1.7510599263914628e-06
1875,1.0342763516746345e-06
1876,1.3617565173262847e-06
1877,1.7169578541142982e-06
1878,1.3470225894707255e-06
1879,1.4779279808863066e-06
1880,1.4104747378951288e-06
1881,2.2466081190941622e-06
1882,1.50939399645722e-06
1883,1.7659162949712481e-06
1884,1.5272697737600538e-06
1885,1.3843427950632758e-06
1886,1.7107226994994562e-06
1887,1.4501833902613726e-06
1888,1.6297731235681567e-06
1889,1.8989520640388946e-06
1890,2.2040301246306626e-06
1891,1.7888843331093085e-06
1892,2.1045586890977575e-06
1893,2.0791540009668097e-06
1894,2.001162783926702e-06
1895,1.8519056084187469e-06
1896,1.9999774849566165e-06
1897,1.6466324268549215e-06
1898,1.8509987285142415e-06
1899,1.9494771095196484e-06
1900,2.3880047592683695e-06
1901,1.6802373465907294e-06
1902,1.7482435623605852e-06
1903,1.7903993239087868e-06
1904,1.7856770000435063e-06
1905,1.9873866676789476e-06
1906,2.005654550885083e-06
1907,1.8798255041474476e-06
1908,1.8820421701093437e-06
1909,2.183610149586457e-06
1910,2.2724325390299782e-06
1911,2.3668096673645778e-06
1912,2.2232763967622304e-06
1913,2.465870693413308e-06
1914,1.8994751371792518e-06
1915,1.6751210978327435e-06
1916,1.842472784119309e-06
1917,2.297697619724204e-06
1918,2.7454291284811916e-06
1919,2.8264687443879666e-06
1920,2.706098484850372e-06
1921,2.8294989533605985e-06
1922,3.1447971196030267e-06
1923,3.3523374440846965e-06
1924,3.8112593756522983e-06
1925,4.689867637353018e-06
1926,4.166572125541279e-06
1927,4.909362360194791e-06
1928,4.336705387686379e-06
1929,5.597833478532266e-06
1930,6.387119810824515e-06
1931,5.896320544707123e-06
1932,6.459636097133625e-06
1933,7.450231350958347e-06
1934,7.2001744229055475e-06
1935,8.093579708656762e-06
1936,9.953027984010987e-06
1937,8.563159099139739e-06
1938,9.533891898172442e-06
1939,1.0281619324814528e-05
1940,1.027398138830904e-05
1941,1.184246957564028e-05
1942,1.1861754501296673e-05
1943,1.2419326594681479e-05
1944,1.308666560362326e-05
1945,1.4928562450222671e-05
1946,1.5939242075546645e-05
1947,1.7933874914888293e-05
1948,1.7586007743375376e-05
1949,1.8341124814469367e-05
1950,1.9216489818063565e-05
1951,2.084503648802638e-05
1952,2.1127894797245972e-05
1953,2.2414500563172624e-05
1954,2.422639045107644e-05
1955,2.4992938051582314e-05
1956,2.588841744000092e-05
1957,2.5496101443422958e-05
1958,2.7332043828209862e-05
1959,2.8371336156851612e-05
1960,2.9201966754044406e-05
1961,3.195132012479007e-05
1962,3.224718966521323e-05
1963,3.353652937221341e-05
1964,3.412201112951152e-05
1965,3.329433820908889e-05
1966,3.475480116321705e-05
1967,3.586171442293562e-05
1968,3.545293657225557e-05
1969,3.621807263698429e-05
1970,3.884022225975059e-05
1971,3.972752165282145e-05
1972,4.330551018938422e-05
1973,4.346266723587178e-05
1974,4.5033590140519664e-05
1975,4.8025794967543334e-05
1976,5.0441132771084085e-05
1977,5.05405078001786e-05
1978,5.05345051351469e-05
1979,5.067013262305409e-05
1980,4.966889173374511e-05
1981,5.680579852196388e-05
1982,5.1720715418923646e-05
1983,5.49698670511134e-05
1984,4.986786734662019e-05
1985,4.772556712850928e-05
1986,4.758653449243866e-05
1987,4.669356349040754e-05
1988,4.642235944629647e-05
1989,4.5998858695384115e-05
1990,4.640954648493789e-05
1991,4.7274752432713285e-05
1992,4.8677298764232546e-05
1993,5.4227060900302604e-05
1994,4.697516487794928e-05
1995,4.5655535359401256e-05
1996,4.653220094041899e-05
1997,4.789391823578626e-05
1998,4.7134002670645714e-05
1999,4.676748358178884e-05
2000,4.520698348642327e-05
2001,4.4527347199618816e-05
2002,4.626966983778402e-05
2003,4.519441063166596e-05
2004,4.474133675103076e-05
2005,4.50836778327357e-05
2006,4.3724845454562455e-05
2007,4.230058766552247e-05
2008,4.0003542380873114e-05
2009,3.871549051837064e-05
2010,3.8538986700586975e-05
2011,3.654621832538396e-05
2012,3.635144457803108e-05
2013,3.957377339247614e-05
2014,3.5362347261980176e-05
2015,3.539425233611837e-05
2016,3.8570909964619204e-05
2017,3.401076537556946e-05
2018,3.142203786410391e-05
2019,3.3423460990889e-05
