,time
1800,0.0012480149744078517
1801,0.0012192863505333662
1802,0.0012049023061990738
1803,0.001229319372214377
1804,0.0012151070404797792
1805,0.001261174795217812
1806,0.0012458069249987602
1807,0.0012105089845135808
1808,0.001252435497008264
1809,0.0012920850422233343
1810,0.0012210073182359338
1811,0.0012733937473967671
1812,0.001333951367996633
1813,0.0012953728437423706
1814,0.001265354105271399
1815,0.0012514923000708222
1816,0.0013539819046854973
1817,0.0012677164049819112
1818,0.0012299210065975785
1819,0.001212987001053989
1820,0.0012607575627043843
1821,0.0012709085131064057
1822,0.0011905276915058494
1823,0.0012613760773092508
1824,0.0012164260260760784
1825,0.0012278392678126693
1826,0.001256707706488669
1827,0.001233685645274818
1828,0.0012310863239690661
1829,0.0012219224590808153
1830,0.00123685656581074
1831,0.0012201271019876003
1832,0.001302280812524259
1833,0.0012299275258556008
1834,0.0012446045875549316
1835,0.0012195993913337588
1836,0.0012579289032146335
1837,0.0012642699293792248
1838,0.0012526015052571893
1839,0.0012492776149883866
1840,0.0012325026327744126
1841,0.0012299002846702933
1842,0.001234990544617176
1843,0.001235442003235221
1844,0.0012282873503863811
1845,0.0012182352365925908
1846,0.0012376102386042476
1847,0.0012545152567327023
1848,0.0012344344286248088
1849,0.0012610566336661577
1850,0.001217806013301015
1851,0.0012380479602143168
1852,0.0012658701743930578
1853,0.0012736195931211114
1854,0.0012537187431007624
1855,0.0012620047200471163
1856,0.001237531309016049
1857,0.0012740690726786852
1858,0.0012310337042436004
1859,0.0012366253649815917
1860,0.001239931327290833
1861,0.0012620744528248906
1862,0.0012303304392844439
1863,0.001265665632672608
1864,0.0012366828741505742
1865,0.00129137618932873
1866,0.0012413931544870138
1867,0.0012660908978432417
1868,0.0012461313745006919
1869,0.0012725796550512314
1870,0.0012563025811687112
1871,0.0012589230900630355
1872,0.0013064559316262603
1873,0.0012663069646805525
1874,0.0012644289527088404
1875,0.0012706168927252293
1876,0.0012799154501408339
1877,0.0012831066269427538
1878,0.0012621983187273145
1879,0.0012710215523838997
1880,0.0012566221412271261
1881,0.0012557614827528596
1882,0.00126441172324121
1883,0.001233171671628952
1884,0.0012427886249497533
1885,0.0012343761045485735
1886,0.001255486044101417
1887,0.0012522265315055847
1888,0.0012409373885020614
1889,0.001258384669199586
1890,0.0012258916394785047
1891,0.0012541060568764806
1892,0.0012157121673226357
1893,0.0012321198591962457
1894,0.0012484434992074966
1895,0.0012346201110631227
1896,0.0012147235684096813
1897,0.0012168338289484382
1898,0.001213568146340549
1899,0.0012378585524857044
1900,0.0012002397561445832
1901,0.001218627905473113
1902,0.0011842596577480435
1903,0.0012016049586236477
1904,0.0011958476388826966
1905,0.0012077426072210073
1906,0.0011918919626623392
1907,0.0012091053649783134
1908,0.0012022515293210745
1909,0.0012186092790216208
1910,0.001186474459245801
1911,0.001222252263687551
1912,0.0012079644948244095
1913,0.001227282453328371
1914,0.0012144164647907019
1915,0.0012350402539595962
1916,0.0012317048385739326
1917,0.001249390421435237
1918,0.0012550008250400424
1919,0.0012694424949586391
1920,0.0012439804850146174
1921,0.0012621119385585189
1922,0.0012184110237285495
1923,0.0012140552280470729
1924,0.0012126814108341932
1925,0.0011959781404584646
1926,0.0011836269404739141
1927,0.0011844747932627797
1928,0.0011710317339748144
1929,0.0011793719604611397
1930,0.0011733191786333919
1931,0.0011904742568731308
1932,0.0011556751560419798
1933,0.0011814270401373506
1934,0.001160763786174357
1935,0.0011672696564346552
1936,0.001163778593763709
1937,0.001154951169155538
