,her
1800,0.0019969595596194267
1801,0.0015553927514702082
1802,0.0015190489357337356
1803,0.001419170992448926
1804,0.0016639361856505275
1805,0.001478172605857253
1806,0.0016728187911212444
1807,0.0014622168382629752
1808,0.0016770783113315701
1809,0.0015336023643612862
1810,0.0018311894964426756
1811,0.0017291434342041612
1812,0.0014039051020517945
1813,0.0013998678186908364
1814,0.0013512850273400545
1815,0.0013925896491855383
1816,0.0014093213248997927
1817,0.001465009292587638
1818,0.001434992766007781
1819,0.0013891751877963543
1820,0.002152708824723959
1821,0.002093891380354762
1822,0.001781874569132924
1823,0.001695256563834846
1824,0.0018831684719771147
1825,0.0017262576147913933
1826,0.0015220270724967122
1827,0.001741659245453775
1828,0.0014737565070390701
1829,0.0013939292402938008
1830,0.00139718153513968
1831,0.0014549411134794354
1832,0.001165454275906086
1833,0.0016362575115635991
1834,0.0015219032065942883
1835,0.0015750598395243287
1836,0.001495292759500444
1837,0.0015365605941042304
1838,0.0014916658401489258
1839,0.0016728936461731791
1840,0.0016692113131284714
1841,0.0016902644420042634
1842,0.0016558330971747637
1843,0.0016741498839110136
1844,0.0016957742627710104
1845,0.0015790372854098678
1846,0.0015969668747857213
1847,0.0016392288962379098
1848,0.0017272772965952754
1849,0.0015640472993254662
1850,0.0016976831248030066
1851,0.0015500724548473954
1852,0.0017017567297443748
1853,0.0016616372158750892
1854,0.001684074755758047
1855,0.0016850180691108108
1856,0.0015963469631969929
1857,0.0017800936475396156
1858,0.0016277077374979854
1859,0.0016246334416791797
1860,0.0016451479168608785
1861,0.0015718711074441671
1862,0.0016467381501570344
1863,0.001595134730450809
1864,0.0016703516012057662
1865,0.0016390465898439288
1866,0.001734029850922525
1867,0.0016413541743531823
1868,0.0016228128224611282
1869,0.0017159122508019209
1870,0.0017102586571127176
1871,0.001574697787873447
1872,0.001553073525428772
1873,0.0016650953330099583
1874,0.001494825235567987
1875,0.0015383153222501278
1876,0.0015004025772213936
1877,0.0014516216469928622
1878,0.0014515172224491835
1879,0.0014457242796197534
1880,0.0014731629053130746
1881,0.0014692276017740369
1882,0.0014381426153704524
1883,0.00151191430632025
1884,0.0013685451122000813
1885,0.0013939088676124811
1886,0.001312654698267579
1887,0.00136471982114017
1888,0.0013383994810283184
1889,0.0013161913957446814
1890,0.0013567273272201419
1891,0.0012780826073139906
1892,0.0013600550591945648
1893,0.0013966434635221958
1894,0.0013084211386740208
1895,0.0013119189534336329
1896,0.001400841516442597
1897,0.001251407084055245
1898,0.0013047753600403666
1899,0.0015017589321359992
1900,0.0014167478075250983
1901,0.0013211924815550447
1902,0.0012226507533341646
1903,0.0011846886482089758
1904,0.0012099439045414329
1905,0.0010975931072607636
1906,0.0010877805761992931
1907,0.0010455474257469177
1908,0.0010537240887060761
1909,0.0010317332344129682
1910,0.001030727638863027
1911,0.0009269376751035452
1912,0.00095846300246194
1913,0.0009041587472893298
1914,0.0008938529063016176
1915,0.0008742733625695109
1916,0.0008216302376240492
1917,0.0008366783731617033
1918,0.0007938907947391272
1919,0.0008058312814682722
1920,0.0008339703199453652
1921,0.0008030408062040806
1922,0.0009012225200422108
1923,0.0009224562090821564
1924,0.0008947653695940971
1925,0.0009113161358982325
1926,0.0009041797020472586
1927,0.0009228003327734768
1928,0.0008810364524833858
1929,0.0009333741618320346
1930,0.0008612037636339664
1931,0.0008350401185452938
1932,0.0008616209379397333
