,related
1936,5.394020990934223e-05
1937,5.338012124411762e-05
1938,5.736777529818937e-05
1939,5.8103050832869485e-05
1940,6.334618956316262e-05
1941,6.99039883329533e-05
1942,6.650057912338525e-05
1943,6.457436393247917e-05
1944,6.495862180599943e-05
1945,6.692754686810076e-05
1946,7.064241071930155e-05
1947,7.688877667533234e-05
1948,7.636321970494464e-05
1949,8.599244029028341e-05
1950,8.391874871449545e-05
1951,8.26285540824756e-05
1952,8.47132396302186e-05
1953,8.838406210998073e-05
1954,9.331730689154938e-05
1955,9.341588884126395e-05
1956,9.754153870744631e-05
1957,0.00010049273987533525
1958,0.00010357225983170792
1959,0.00010854047286557034
1960,0.00011082303535658866
1961,0.0001158160885097459
1962,0.00011878795339725912
1963,0.00012188223627163097
1964,0.00012656260514631867
1965,0.0001281130826100707
1966,0.00012959704326931387
1967,0.00013310264330357313
1968,0.00013299605052452534
1969,0.0001375770807499066
1970,0.00014277124137151986
1971,0.00014848580758552998
1972,0.0001579974195919931
1973,0.00016236849478445947
1974,0.00016822647012304515
1975,0.00017557608953211457
1976,0.0001840938493842259
1977,0.00018645089585334063
1978,0.00018972142424900085
1979,0.00019086933752987534
1980,0.00019330563372932374
1981,0.0001916672772495076
1982,0.0001936575281433761
1983,0.00019318483828101307
1984,0.00019207732111681253
1985,0.0001913766609504819
1986,0.0001930860453285277
1987,0.00019278003310319036
1988,0.00019881429034285247
1989,0.00019830086966976523
1990,0.00019898956816177815
1991,0.00019746829639188945
1992,0.00020096494699828327
1993,0.00021436002862174064
1994,0.00020516039512585849
1995,0.0002035661891568452
1996,0.00019790080841630697
1997,0.00020076983491890132
1998,0.00020063697593286633
1999,0.00019707840692717582
2000,0.00019081604841630906
2001,0.00019034142314922065
2002,0.00018927121709566563
2003,0.00018931220984086394
2004,0.00018851729691959918
2005,0.00018979555170517415
2006,0.00018746235582511872
2007,0.00018066745542455465
2008,0.0001740044099278748
2009,0.00016091404540929943
2010,0.00015829170297365636
2011,0.0001518499047961086
2012,0.00016691377095412463
2013,0.00016218030941672623
2014,0.00013978990318719298
2015,0.0001425163063686341
2016,0.00015252735465765
2017,0.00013655738439410925
2018,0.00013373472029343247
2019,0.00014497138909064233
