,news
1800,3.360099799465388e-05
1801,3.0930357752367854e-05
1802,2.9071841709082946e-05
1803,2.9424501917674206e-05
1804,3.3053147490136325e-05
1805,3.0066754334256984e-05
1806,3.206139081157744e-05
1807,2.6465782866580412e-05
1808,3.8376179873012006e-05
1809,2.731245695031248e-05
1810,2.876226972148288e-05
1811,3.183546141372062e-05
1812,2.824109651555773e-05
1813,2.9007065677433275e-05
1814,2.9368307878030464e-05
1815,2.676373151189182e-05
1816,3.133659629384056e-05
1817,2.7433068680693395e-05
1818,2.3373115254798904e-05
1819,2.253736965940334e-05
1820,3.178377664880827e-05
1821,3.369221303728409e-05
1822,2.6103209165739827e-05
1823,2.941910133813508e-05
1824,2.7408537789597176e-05
1825,2.9473159884219058e-05
1826,2.758969640126452e-05
1827,2.968049193441402e-05
1828,2.4855005904100835e-05
1829,2.716655217227526e-05
1830,2.4482278604409657e-05
1831,2.300851519976277e-05
1832,2.0477644284255803e-05
1833,2.6812693249667063e-05
1834,2.2644746422884054e-05
1835,2.2779098799219355e-05
1836,2.4235907403635792e-05
1837,2.5524979719193652e-05
1838,2.5925517547875643e-05
1839,2.8309548724791966e-05
1840,2.8696069421130233e-05
1841,2.790973121591378e-05
1842,2.7915986720472574e-05
1843,2.9276787245180458e-05
1844,2.847067116817925e-05
1845,2.7820022296509705e-05
1846,2.7715730539057404e-05
1847,2.7870690246345475e-05
1848,3.112949707428925e-05
1849,3.0554172553820536e-05
1850,2.8325539460638538e-05
1851,2.6360170522821136e-05
1852,2.846190909622237e-05
1853,3.0211083867470734e-05
1854,2.9727765650022775e-05
1855,3.197093974449672e-05
1856,3.081484464928508e-05
1857,3.315386493341066e-05
1858,3.250462032156065e-05
1859,3.069761078222655e-05
1860,3.130269760731608e-05
1861,3.23946587741375e-05
1862,3.360992923262529e-05
1863,3.2900326914386824e-05
1864,3.6587382055586204e-05
1865,3.395816747797653e-05
1866,3.7411460652947426e-05
1867,3.3154494303744286e-05
1868,3.221426595700905e-05
1869,3.3539912692504004e-05
1870,3.248652137699537e-05
1871,3.21269835694693e-05
1872,2.9808606996084563e-05
1873,3.1392966775456443e-05
1874,3.0785991839366034e-05
1875,3.181603824486956e-05
1876,3.0233069992391393e-05
1877,3.179988561896607e-05
1878,2.8990891223656945e-05
1879,3.12082156597171e-05
1880,3.096267391811125e-05
1881,3.139206091873348e-05
1882,3.042127900698688e-05
1883,3.147525421809405e-05
1884,3.1285388104151934e-05
1885,3.1469182431465015e-05
1886,3.0598504963563755e-05
1887,3.147624011035077e-05
1888,3.0380580938071944e-05
1889,3.196643228875473e-05
1890,3.330688923597336e-05
1891,3.106617441517301e-05
1892,3.133956852252595e-05
1893,3.1858049624133855e-05
1894,3.24433931382373e-05
1895,3.191056748619303e-05
1896,3.275029666838236e-05
1897,3.249748260714114e-05
1898,3.5843870136886835e-05
1899,4.0091665141517296e-05
1900,3.7219662772258744e-05
1901,3.464973269728944e-05
1902,3.1878800655249506e-05
1903,3.1055598810780793e-05
1904,3.281166573287919e-05
1905,3.021384691237472e-05
1906,2.8427273718989454e-05
1907,2.8324449885985814e-05
1908,2.8312386348261498e-05
1909,2.9153790819691494e-05
1910,2.8879756428068504e-05
1911,2.8703954740194604e-05
1912,2.856881656043697e-05
1913,2.82067630905658e-05
1914,3.1297848181566224e-05
1915,3.1055122235557064e-05
1916,3.0230004995246418e-05
1917,3.389167977729812e-05
1918,3.540975376381539e-05
1919,3.399211709620431e-05
1920,3.508806912577711e-05
1921,3.4065520594595e-05
1922,3.4484179195715114e-05
1923,3.586518869269639e-05
1924,3.565597580745816e-05
1925,3.431662480579689e-05
1926,3.662689050543122e-05
1927,3.913112959708087e-05
1928,3.984760769526474e-05
1929,4.012128192698583e-05
1930,4.021809945697896e-05
1931,3.887238199240528e-05
1932,3.913872205885127e-05
1933,3.7536090530920774e-05
1934,4.0029921365203336e-05
1935,3.839381679426879e-05
1936,4.297345731174573e-05
1937,4.233972140355036e-05
1938,4.226776582072489e-05
1939,4.285517570679076e-05
1940,4.684724262915552e-05
1941,4.4328367948764935e-05
1942,5.1240094762761146e-05
1943,4.697894473792985e-05
1944,4.9356127419741824e-05
1945,4.6582954382756725e-05
1946,4.5756296458421275e-05
1947,4.391870606923476e-05
1948,4.5243537897476926e-05
1949,4.094758696737699e-05
1950,4.142653051530942e-05
1951,4.159479067311622e-05
1952,4.212960266158916e-05
1953,3.977221422246657e-05
1954,4.2680407204898074e-05
1955,3.9021932025207207e-05
1956,4.048499249620363e-05
1957,4.202314084977843e-05
1958,4.035328674945049e-05
1959,3.893091343343258e-05
1960,3.8717400457244366e-05
1961,3.8635993405478075e-05
1962,3.943328556488268e-05
1963,3.763486893149093e-05
1964,3.951551116188057e-05
1965,3.9641105104237795e-05
1966,3.931367609766312e-05
1967,3.9870381442597136e-05
1968,4.2005758587038144e-05
1969,4.2756935727084056e-05
1970,4.2891482735285535e-05
1971,4.175342110102065e-05
1972,4.220377013552934e-05
1973,4.254365194356069e-05
1974,4.116212221561e-05
1975,3.829870547633618e-05
1976,4.044207162223756e-05
1977,4.0314065699931234e-05
1978,4.090145739610307e-05
1979,3.933333937311545e-05
1980,4.154500857111998e-05
1981,4.149000596953556e-05
1982,4.227296813041903e-05
1983,3.957868830184452e-05
1984,4.228801481076516e-05
1985,4.202488707960583e-05
1986,4.3269305024296045e-05
1987,4.4461638026405126e-05
1988,4.54968394478783e-05
