,items
1800,2.785862761811586e-06
1801,1.8916286990133813e-06
1802,2.7755554583563935e-06
1803,1.708816853351891e-06
1804,1.7324542795904563e-06
1805,2.2396602616936434e-06
1806,2.9140016977180494e-06
1807,2.0778832094947575e-06
1808,1.9031764395549544e-06
1809,2.338327021789155e-06
1810,2.0254706214473117e-06
1811,2.1747557639173465e-06
1812,3.864011432597181e-06
1813,2.4073392523860093e-06
1814,2.853155820048414e-06
1815,2.962608277812251e-06
1816,4.4741350393451285e-06
1817,4.712841928267153e-06
1818,2.6647624054021435e-06
1819,4.338410235504853e-06
1820,4.044487923238194e-06
1821,3.976543212047545e-06
1822,4.339838596933987e-06
1823,3.832025413430529e-06
1824,3.900078809238039e-06
1825,4.625432666216511e-06
1826,5.03615228808485e-06
1827,4.194737812213134e-06
1828,5.84792360314168e-06
1829,5.203376531426329e-06
1830,5.7930024013330694e-06
1831,7.278204066096805e-06
1832,2.2487136448035017e-05
1833,6.096250217524357e-06
1834,7.606772214785451e-06
1835,1.0771746929094661e-05
1836,7.192022167146206e-06
1837,6.005501290928805e-06
1838,6.266579475777689e-06
1839,6.049780949979322e-06
1840,6.745224254700588e-06
1841,7.956501576700248e-06
1842,6.717342330375686e-06
1843,7.784145054756664e-06
1844,6.876419774926035e-06
1845,6.166807452245848e-06
1846,8.000289199117105e-06
1847,8.02055456006201e-06
1848,8.33994272397831e-06
1849,8.85055214894237e-06
1850,8.664642336952966e-06
1851,9.380084520671517e-06
1852,9.60115903581027e-06
1853,9.301444151788019e-06
1854,8.99795486475341e-06
1855,1.0056241080746986e-05
1856,1.108676315197954e-05
1857,1.0126027518708725e-05
1858,1.1509380783536471e-05
1859,1.2402336324157659e-05
1860,1.123255515267374e-05
1861,1.1419723705330398e-05
1862,1.1798853847722057e-05
1863,1.0984993423335254e-05
1864,1.1844805158034433e-05
1865,1.0787001883727498e-05
1866,1.1228617950109765e-05
1867,1.261466331925476e-05
1868,1.5188901670626365e-05
1869,1.5884588719927706e-05
1870,1.4987938811827917e-05
1871,1.5777884982526302e-05
1872,1.7293332348344848e-05
1873,1.6593945474596694e-05
1874,1.871404492703732e-05
1875,1.6327692719642073e-05
1876,1.8590830222819932e-05
1877,1.8115129932994023e-05
1878,1.7787606338970363e-05
1879,1.9745955796679482e-05
1880,1.7885015040519647e-05
1881,1.6829368178150617e-05
1882,1.752984280756209e-05
1883,1.6456562661915086e-05
1884,1.7130521882791072e-05
1885,1.7721493350109085e-05
1886,2.2210613678907976e-05
1887,2.3271919417311437e-05
1888,2.162060081900563e-05
1889,2.0067131117684767e-05
1890,1.9557914129109122e-05
1891,1.883356526377611e-05
1892,2.1493500753422268e-05
1893,1.9140008589602076e-05
1894,2.1995583665557206e-05
1895,2.6913585315924138e-05
1896,2.246693657070864e-05
1897,2.233871418866329e-05
1898,2.469415994710289e-05
1899,2.383340870437678e-05
1900,2.4657279936945997e-05
1901,2.504686199245043e-05
1902,2.7154639610671438e-05
1903,2.391929956502281e-05
1904,2.4135310013662092e-05
1905,2.2118219931144267e-05
1906,2.5273076971643604e-05
1907,2.6041338060167618e-05
1908,2.9111566618666984e-05
1909,2.8960366762476042e-05
1910,2.8832788302679546e-05
1911,3.228299101465382e-05
1912,3.289970482001081e-05
1913,3.810476482613012e-05
1914,3.691310485010035e-05
1915,3.948390076402575e-05
1916,4.1907573177013546e-05
1917,4.309269934310578e-05
1918,4.1965555283240974e-05
1919,4.3602070945780724e-05
1920,4.525844633462839e-05
1921,5.001586760045029e-05
1922,4.870691554970108e-05
1923,4.6118067984934896e-05
1924,5.150887227500789e-05
1925,4.9486970965517685e-05
1926,5.023227276979014e-05
1927,5.226253779255785e-05
1928,5.499918552231975e-05
1929,5.4449945309897885e-05
1930,5.7355151511728764e-05
1931,5.756644532084465e-05
1932,6.052198659745045e-05
1933,6.529520760523155e-05
1934,6.302218389464542e-05
1935,6.15306053077802e-05
1936,6.219337228685617e-05
1937,6.198621849762276e-05
1938,6.384793960023671e-05
1939,7.129553705453873e-05
1940,7.36563015379943e-05
1941,8.29000273370184e-05
1942,8.056774822762236e-05
1943,8.052602061070502e-05
1944,8.545377204427496e-05
1945,8.667357178637758e-05
1946,8.625802729511634e-05
1947,8.755123417358845e-05
1948,8.125931344693527e-05
1949,8.153770613716915e-05
1950,7.717714470345527e-05
1951,8.89155562617816e-05
1952,8.819727372610942e-05
1953,8.667391375638545e-05
1954,8.825759869068861e-05
1955,8.63833338371478e-05
1956,8.857863576849923e-05
1957,8.594469545641914e-05
1958,8.635078120278195e-05
1959,8.798990165814757e-05
1960,8.625201735412702e-05
1961,9.032441448653117e-05
1962,8.519813127350062e-05
1963,8.357284241355956e-05
1964,8.377734775422141e-05
1965,8.258774323621765e-05
1966,8.151557995006442e-05
1967,8.250000246334821e-05
1968,8.024599810596555e-05
1969,7.938506314530969e-05
1970,8.215160050895065e-05
1971,8.054424688452855e-05
1972,8.523015276296064e-05
1973,8.191692904802039e-05
1974,8.43978559714742e-05
1975,8.441555837634951e-05
1976,8.348232950083911e-05
1977,8.430153684457764e-05
1978,8.435638301307335e-05
1979,8.202099706977606e-05
1980,8.413522300543264e-05
1981,8.130235073622316e-05
1982,8.12059806776233e-05
1983,8.28118427307345e-05
1984,8.125502790790051e-05
1985,8.012268517632037e-05
1986,7.836522127036005e-05
1987,7.493788143619895e-05
1988,7.693075895076618e-05
1989,7.58409732952714e-05
1990,7.572091271867976e-05
1991,7.385223580058664e-05
1992,7.760662992950529e-05
1993,7.675947563257068e-05
1994,7.403395284200087e-05
1995,7.204301073215902e-05
1996,6.925230991328135e-05
1997,7.225865556392819e-05
1998,7.247344183269888e-05
1999,7.002775237197056e-05
2000,6.869374919915572e-05
2001,6.810568447690457e-05
2002,6.694295007036999e-05
2003,6.570222467416897e-05
2004,6.587959796888754e-05
2005,6.598150503123179e-05
2006,6.422247679438442e-05
2007,6.244242104003206e-05
2008,5.8809622714761645e-05
2009,5.786875044577755e-05
2010,5.838897413923405e-05
2011,5.666968354489654e-05
2012,5.163931200513616e-05
2013,5.287401654641144e-05
2014,5.009696906199679e-05
2015,4.940113649354316e-05
2016,4.884900408796966e-05
2017,4.3129079131176695e-05
2018,3.9075308450264856e-05
2019,4.2645868234103546e-05
