,hotel
1800,6.059846782591194e-06
1801,2.7179503376828507e-06
1802,3.069932517973939e-06
1803,2.991150040543289e-06
1804,2.0412408048287034e-06
1805,3.206026349289459e-06
1806,3.8968014450802e-06
1807,2.784747948680888e-06
1808,4.331680429459084e-06
1809,2.7781209155364195e-06
1810,2.8587987799255643e-06
1811,2.7563382900552824e-06
1812,1.7565989764989354e-06
1813,1.563702653584187e-06
1814,2.8859694793936796e-06
1815,3.4789341043506283e-06
1816,2.4970968297566287e-06
1817,5.305238119035494e-06
1818,3.4164659155067056e-06
1819,3.446500159043353e-06
1820,4.229200840200065e-06
1821,4.817470198759111e-06
1822,3.4550375858088955e-06
1823,4.417043783178087e-06
1824,3.340353714520461e-06
1825,5.430691089713946e-06
1826,4.273158538126154e-06
1827,5.737251740356442e-06
1828,4.515788532444276e-06
1829,4.844207978749182e-06
1830,4.869225904258201e-06
1831,5.379105459724087e-06
1832,8.273601451946888e-06
1833,8.246415745816194e-06
1834,6.280886736931279e-06
1835,6.685850166832097e-06
1836,6.766516435163794e-06
1837,7.013104550424032e-06
1838,8.357980732398573e-06
1839,8.854516636347398e-06
1840,7.056925824144855e-06
1841,7.741720764897764e-06
1842,7.79578840592876e-06
1843,7.766684575472027e-06
1844,7.769403964630328e-06
1845,6.744493020960363e-06
1846,7.191952136054169e-06
1847,7.418439963657875e-06
1848,7.637784619873855e-06
1849,7.480008662241744e-06
1850,7.308352451218525e-06
1851,7.704125891905278e-06
1852,9.300970305048395e-06
1853,9.713482540973928e-06
1854,9.841654900810681e-06
1855,9.958556802303065e-06
1856,1.0196957191510592e-05
1857,1.0343083886255044e-05
1858,9.456090083403978e-06
1859,9.590328772901557e-06
1860,1.0411433322587982e-05
1861,1.0072550139739178e-05
1862,1.2486808373068925e-05
1863,1.2937937754031736e-05
1864,1.1095114132331219e-05
1865,1.21271377793164e-05
1866,1.215626070916187e-05
1867,1.2848066944570746e-05
1868,1.2287153367651626e-05
1869,1.4338061191665474e-05
1870,1.3895657502871472e-05
1871,1.4825546713836957e-05
1872,1.4955982805986423e-05
1873,1.410571076121414e-05
1874,1.4114139958110172e-05
1875,1.5429006452905014e-05
1876,1.5051409718580544e-05
1877,1.4659236512670759e-05
1878,1.6661577319609933e-05
1879,1.592716944287531e-05
1880,1.5824964066268876e-05
1881,1.7135180314653553e-05
1882,1.741033156577032e-05
1883,1.85710123332683e-05
1884,1.7292264601564966e-05
1885,1.718631392577663e-05
1886,1.8083786926581524e-05
1887,1.8539922166382894e-05
1888,1.8688755517359823e-05
1889,1.845225961005781e-05
1890,1.7605545508558862e-05
1891,1.992213037738111e-05
1892,1.938619425345678e-05
1893,1.8628454199642874e-05
1894,1.9588811483117752e-05
1895,1.8203509171144105e-05
1896,1.833589885791298e-05
1897,1.810707908589393e-05
1898,1.8446113244863227e-05
1899,1.8606584490044042e-05
1900,1.9059565602219664e-05
1901,1.7402648154529743e-05
1902,1.808906927180942e-05
1903,1.86976176337339e-05
1904,1.942628477991093e-05
1905,1.9930273992940784e-05
1906,1.9860621250700206e-05
1907,2.0027095160912722e-05
1908,2.054856304312125e-05
1909,2.038264210568741e-05
1910,1.9873810742865317e-05
1911,2.1385156287578866e-05
1912,2.185528865084052e-05
1913,2.216882785432972e-05
1914,2.1177880626055412e-05
1915,2.193155523855239e-05
1916,2.104125996993389e-05
1917,2.085372580040712e-05
1918,1.9740602510864846e-05
1919,2.1617439415422268e-05
1920,2.141211007256061e-05
1921,2.3117658201954328e-05
1922,2.434346424706746e-05
1923,2.2580570657737553e-05
1924,2.329437484149821e-05
1925,2.206609678978566e-05
1926,2.103979750245344e-05
1927,2.187810059695039e-05
1928,2.1001700588385575e-05
1929,2.156383743567858e-05
1930,2.1488722268259153e-05
1931,2.0777390091097914e-05
1932,1.8967028154293075e-05
1933,1.9276258171885274e-05
1934,1.9395112758502364e-05
1935,1.931334008986596e-05
1936,2.0972325728507712e-05
1937,1.9229242752771825e-05
1938,1.898471782624256e-05
1939,1.8105980416294187e-05
1940,1.806850195862353e-05
1941,1.8611290215631016e-05
1942,1.6778622011770494e-05
1943,1.7235934137715958e-05
1944,1.835789589677006e-05
1945,1.7654798284638673e-05
1946,1.892318505269941e-05
1947,1.8118333173333667e-05
1948,1.8976990759256296e-05
1949,1.7713751731207594e-05
1950,1.883217009890359e-05
1951,1.7570762793184258e-05
1952,1.792920556908939e-05
1953,1.7169037164421752e-05
1954,1.7082773410947993e-05
