,what
1800,0.0010827244259417057
1801,0.0011049015447497368
1802,0.001001315307803452
1803,0.0009739650995470583
1804,0.001045674318447709
1805,0.0010075644822791219
1806,0.0010750258807092905
1807,0.0009605842642486095
1808,0.0011938896495848894
1809,0.0011050098109990358
1810,0.0010900767520070076
1811,0.0011955522932112217
1812,0.0012112630065530539
1813,0.001011526444926858
1814,0.0010533821769058704
1815,0.001032498199492693
1816,0.0011757347965613008
1817,0.0010646956507116556
1818,0.001019645482301712
1819,0.0009430763893760741
1820,0.0011239490704610944
1821,0.001068530953489244
1822,0.001038296613842249
1823,0.0010707591427490115
1824,0.0010857904562726617
1825,0.0010420778999105096
1826,0.0010224892757833004
1827,0.0009651173022575676
1828,0.0009815737139433622
1829,0.0009597562602721155
1830,0.0010328899370506406
1831,0.0009889290668070316
1832,0.0009631182765588164
1833,0.0010302176233381033
1834,0.0009714097832329571
1835,0.0009702583192847669
1836,0.0009825334418565035
1837,0.0009638105402700603
1838,0.0009706471464596689
1839,0.000979841686785221
1840,0.0009614506270736456
1841,0.0009514024131931365
1842,0.0009378482354804873
1843,0.000997957307845354
1844,0.0010062801884487271
1845,0.0009302023681811988
1846,0.0009439584100618958
1847,0.000922278210055083
1848,0.0009595064329914749
1849,0.0009215206955559552
1850,0.0009679025388322771
1851,0.0009392775245942175
1852,0.0009329195017926395
1853,0.000971758970990777
1854,0.000926919630728662
1855,0.0009060403681360185
1856,0.0009053746471181512
1857,0.0009036234696395695
1858,0.0008900359971448779
1859,0.0008926735608838499
1860,0.0009194296435452998
1861,0.000891722331289202
1862,0.000900745508261025
1863,0.0008835699409246445
1864,0.0008967003086581826
1865,0.0009076452115550637
1866,0.0009065730846486986
1867,0.0008862080867402256
1868,0.0009132404811680317
1869,0.0009096861467696726
1870,0.0009089247323572636
1871,0.0009076573769561946
1872,0.0009481713059358299
1873,0.0008902267436496913
1874,0.000884528155438602
1875,0.0008743411162868142
1876,0.0008709261892363429
1877,0.0008591646328568459
1878,0.0008433414623141289
1879,0.0008520096307620406
1880,0.0008310578414238989
1881,0.000825662340503186
1882,0.0008498349925503135
1883,0.0008333333535119891
1884,0.0008329438278451562
1885,0.0008069815230555832
1886,0.0007994752377271652
1887,0.0008113071671687067
1888,0.0008144532330334187
1889,0.0007913158624432981
