,server
1800,1.7858094736311614e-07
1801,2.551875866174669e-07
1802,2.1447473841362807e-07
1803,2.6799321517501085e-07
1804,2.5678028237052786e-07
1805,2.9781097055092687e-07
1806,3.5872196235686715e-07
1807,2.007410273563437e-07
1808,1.9813393237200216e-07
1809,2.135623873300574e-07
1810,2.4897326511563733e-07
1811,1.911149070110696e-07
1812,2.1150110285361734e-07
1813,2.562946690432e-07
1814,1.739128805411383e-07
1815,2.2056643445012014e-07
1816,2.349090522102415e-07
1817,2.428093637263373e-07
1818,2.474132543284213e-07
1819,1.5708266687397554e-07
1820,2.794678835016384e-07
1821,2.3435663365489745e-07
1822,2.451351406307367e-07
1823,2.269912755537007e-07
1824,2.591653753825085e-07
1825,2.3755998768137943e-07
1826,1.9468139100808912e-07
1827,2.1311670650447923e-07
1828,2.8539426466522855e-07
1829,1.957590995971259e-07
1830,2.0422639579464885e-07
1831,2.934759493200545e-07
1832,3.650046096481674e-07
1833,2.7152265147378785e-07
1834,1.6646723111080064e-07
1835,1.9907943737962341e-07
1836,1.899474426636516e-07
1837,2.9768773401883664e-07
1838,1.9881801449628256e-07
1839,2.1332387234451744e-07
1840,3.5452677593639237e-07
1841,2.1905489688833768e-07
1842,3.23586732520198e-07
1843,2.6825458121493284e-07
1844,2.439419404254295e-07
1845,2.1200261812737153e-07
1846,2.1160900587346987e-07
1847,2.1130095717580843e-07
1848,2.410604338365374e-07
1849,2.7301300065118994e-07
1850,2.2696747237205273e-07
1851,2.538054957312852e-07
1852,2.2721076220477698e-07
1853,1.8076541152822756e-07
1854,2.2945012290165323e-07
1855,2.0209459705711197e-07
1856,2.1147242534880206e-07
1857,2.393283295987203e-07
1858,2.1977231767777994e-07
1859,2.1951962025923422e-07
1860,2.1496745716831356e-07
1861,2.0443486903332087e-07
1862,2.452407841246895e-07
1863,2.7197762619834975e-07
1864,1.7358357240482292e-07
1865,2.7340956876287237e-07
1866,1.9281330310150224e-07
1867,1.898875297001723e-07
1868,3.092762597134424e-07
1869,2.1429671903661074e-07
1870,2.2414302236484218e-07
1871,2.6506120320846094e-07
1872,2.0505488862454513e-07
1873,2.1671527861144568e-07
1874,2.5420902716177807e-07
1875,2.714688775995455e-07
1876,2.0233839848060597e-07
1877,2.3784818381500372e-07
1878,2.990575467265444e-07
1879,2.463213206738146e-07
1880,3.3127196275017923e-07
1881,4.28747796377138e-07
1882,3.4191097597613407e-07
1883,2.3481092625843303e-07
1884,2.4857905600583763e-07
1885,2.107594951894498e-07
1886,3.228966534152278e-07
1887,3.052006150028319e-07
1888,2.9905584142397856e-07
1889,2.4796648290248413e-07
1890,4.5690003958043235e-07
1891,3.3796757747950323e-07
1892,2.676497388165444e-07
1893,2.755206480742345e-07
1894,2.670606988885993e-07
1895,2.597040804630524e-07
1896,2.453762135701254e-07
1897,2.560878442636749e-07
1898,3.066226099690539e-07
1899,3.0035783993298537e-07
1900,1.0938736068055732e-06
1901,2.9546518476308847e-07
1902,2.7692422577274556e-07
1903,3.1750050766277127e-07
1904,3.079291275298601e-07
1905,2.85048798787102e-07
1906,5.196001779950166e-07
1907,3.0795888505963376e-07
1908,3.1217950891004875e-07
1909,2.939934802270727e-07
1910,3.4693076145231316e-07
1911,3.852454142361239e-07
1912,3.477637733340089e-07
1913,3.878865015849442e-07
1914,3.2240100722447096e-07
1915,2.9613784136017784e-07
1916,3.3288415579590946e-07
1917,2.7799100621450634e-07
1918,3.15076675860837e-07
1919,3.1629983254788385e-07
1920,3.3140688060484536e-07
1921,2.5386873403476784e-07
1922,2.890727444082586e-07
1923,2.843826791831816e-07
1924,2.6998390012522577e-07
1925,3.2273376859848213e-07
1926,3.3206077887371066e-07
1927,2.7129877366860455e-07
1928,2.589462440028001e-07
1929,2.6315561285628064e-07
1930,2.7727179485736997e-07
1931,2.778195380415127e-07
1932,2.7240389499638695e-07
1933,3.1047395054883964e-07
1934,4.913967472930381e-07
