,october
1800,7.93693146761143e-08
1801,3.443007301484613e-07
1802,8.410773943978711e-08
1803,1.5849060730488418e-07
1804,5.525651545212895e-07
1805,1.458666076814552e-07
1806,6.388199125240135e-08
1807,1.4735245201791258e-07
1808,1.4905488399108435e-07
1809,2.0994268368212943e-07
1810,1.742812827387752e-07
1811,1.2521321934855223e-07
1812,1.3044679292306682e-07
1813,1.7391424478319095e-07
1814,1.558653224265072e-07
1815,1.5874098835411132e-07
1816,1.2899630519314087e-07
1817,2.0185356675028743e-07
1818,1.2708659369309316e-07
1819,2.6357938054388796e-07
1820,1.775160853867419e-07
1821,2.017722948721712e-07
1822,9.784363186327028e-08
1823,2.094510449524023e-07
1824,1.4038124618309666e-07
1825,1.4934838077351742e-07
1826,1.7206689051363355e-07
1827,1.0984429366089898e-07
1828,1.8967197945585212e-07
1829,1.4681931759241706e-07
1830,9.589124516651282e-08
1831,1.560056404059651e-07
1832,2.380892567543924e-07
1833,9.740124085055868e-08
1834,1.5476250325718865e-07
1835,1.4364714218118024e-07
1836,1.3856347891305631e-07
1837,2.3024286122108606e-07
1838,1.3899666839733982e-07
1839,9.720422866621448e-08
1840,1.696741236401067e-07
1841,1.6295547311528935e-07
1842,1.4375738999206078e-07
1843,1.3756645955709246e-07
1844,1.5479047021926817e-07
1845,1.4729499753229902e-07
1846,1.3770650753031077e-07
1847,1.2154480089066055e-07
1848,1.1585849790662905e-07
1849,1.1185315429429465e-07
1850,6.575692879096096e-08
1851,7.579711791549926e-08
1852,6.733564106298218e-08
1853,8.573065457539997e-08
1854,7.572504046038375e-08
1855,8.423558028880507e-08
1856,7.398156753879448e-08
1857,7.247017208555917e-08
1858,6.210957081975721e-08
1859,7.931929246751679e-08
1860,9.636472242391392e-08
1861,7.45965493820222e-08
1862,4.904815753548064e-08
1863,8.069665824450567e-08
1864,6.010182573845668e-08
1865,5.26537675682448e-08
1866,1.1729197524346091e-07
1867,7.747147634518115e-08
1868,5.510628398042172e-08
1869,7.246449484910045e-08
1870,7.471433605132916e-08
1871,7.496996801137357e-08
1872,6.123936913127181e-08
1873,6.859200851749847e-08
1874,4.601325542807899e-08
1875,5.589908624870077e-08
1876,6.389633711023635e-08
1877,7.455358286279079e-08
1878,6.823566423008742e-08
1879,6.35927648318102e-08
1880,8.954618380130341e-08
1881,8.839113263547915e-08
1882,9.580350734950116e-08
1883,1.2523248926754604e-07
1884,9.943162382342052e-08
1885,1.1025738899661519e-07
1886,9.781340537529104e-08
1887,1.3903820672567235e-07
1888,1.4485517851881013e-07
1889,1.571999348470854e-07
1890,1.5320271984364808e-07
1891,1.4138687731701793e-07
1892,9.910917952993259e-08
1893,1.1615780692864064e-07
1894,1.6812276726341224e-07
1895,9.280763180186113e-08
1896,1.4335135745113803e-07
1897,1.3809567178668658e-07
1898,1.6035072292197583e-07
1899,2.551820728058374e-07
1900,2.559133918111911e-07
1901,2.0253254717772506e-07
1902,8.861065481369224e-08
1903,1.340838906571662e-07
1904,1.4682713356251043e-07
1905,1.515037411081721e-07
1906,1.2563234008666768e-07
1907,1.5791910357165762e-07
1908,1.373589810782505e-07
1909,1.58997579546849e-07
1910,2.0920448662309354e-07
1911,1.6553063630908582e-07
1912,1.4441118878494308e-07
1913,1.6294511340220197e-07
1914,1.4109323842603771e-07
1915,1.5013735321645072e-07
1916,1.0508970404998763e-07
1917,1.120353942951624e-07
1918,1.1168263114313959e-07
1919,1.281214565551636e-07
1920,1.510394156412076e-07
1921,1.1032519608988878e-07
1922,1.4925977609436814e-07
1923,1.091405863462569e-07
1924,1.6667372904066724e-07
1925,9.856143634578984e-08
1926,1.1206191885548833e-07
1927,1.359058217076381e-07
1928,1.7182564704398828e-07
1929,1.4056361408165685e-07
1930,1.2176401753549726e-07
1931,1.3124578401857434e-07
1932,1.2106839619718812e-07
1933,1.673395502166386e-07
1934,1.7683672126622696e-07
1935,1.5971012601312395e-07
1936,1.4676395210244664e-07
1937,1.5869059666329122e-07
1938,2.2851224912301404e-07
1939,1.8628033160439372e-07
1940,3.1026641522657883e-07
1941,2.5565421424289525e-07
1942,2.214821392954036e-07
1943,2.0113586174375087e-07
1944,2.0405384759669687e-07
1945,1.706948324908808e-07
1946,1.8005775359597465e-07
1947,2.1898597424296895e-07
1948,1.5359016458660335e-07
1949,1.5962301347371977e-07
1950,1.808021750093758e-07
1951,2.1462210497702472e-07
1952,1.7725523093758966e-07
1953,1.7232994764526666e-07
1954,1.4051839514195308e-07
1955,1.8235728305171506e-07
1956,1.4398013092886686e-07
1957,1.5668523190015549e-07
1958,1.7065532631477254e-07
1959,1.7525916007343767e-07
1960,2.1909012559717667e-07
1961,1.8953629421503138e-07
1962,1.7479629832450883e-07
1963,1.6127430058077152e-07
1964,2.1919095161138102e-07
1965,2.827212597367179e-07
1966,1.534206433007057e-07
1967,1.4454047914114199e-07
1968,1.5105523232250562e-07
1969,1.586182207802267e-07
1970,2.0895554087019264e-07
1971,1.8952113123305026e-07
1972,1.7154827958165697e-07
1973,2.0147069790255046e-07
1974,2.6334444669373624e-07
1975,2.3531613635441317e-07
1976,2.854844467492512e-07
1977,2.0406235989867128e-07
1978,2.1423677765142202e-07
1979,2.1101257630107284e-07
1980,1.9546718021956622e-07
1981,1.5959187749103876e-07
1982,1.4303128637038753e-07
1983,1.3111012719946302e-07
1984,1.4179980212247756e-07
1985,2.8466811841099116e-07
1986,1.5006359888047882e-07
1987,1.1757273910006916e-07
1988,1.40927014058434e-07
1989,1.1693420276515099e-07
1990,1.2199278387470258e-07
1991,1.282380139855377e-07
1992,1.2600240495430626e-07
1993,1.0210549561406879e-07
1994,1.0857029764110848e-07
1995,1.0287913454476438e-07
1996,9.676210055431511e-08
1997,9.209082207917163e-08
1998,8.637956483426024e-08
1999,9.612500662115053e-08
2000,7.76763400267555e-08
2001,7.397301260425593e-08
2002,6.298013488503784e-08
2003,6.16081763382681e-08
2004,7.86926577234226e-08
2005,8.17362320049142e-08
2006,9.557512470337315e-08
2007,1.4095003564307262e-07
2008,2.0735927819259814e-07
2009,3.525504723711492e-07
2010,4.713923829058331e-07
2011,6.393793228198774e-07
2012,5.516291139429086e-07
2013,4.6258568886514695e-07
2014,6.827898459960124e-07
2015,7.57335953949223e-07
2016,7.176042231549218e-07
2017,6.230587814570754e-07
2018,4.019674406663398e-07
2019,3.7365037997005857e-07
