,profile
2005,3.06064794131089e-05
2006,3.062039832002483e-05
2007,2.9198981792433187e-05
2008,2.7262110961601138e-05
2009,2.6242638341500424e-05
2010,2.671536640264094e-05
2011,2.7463756850920618e-05
2012,3.1260195100912824e-05
2013,2.852900252037216e-05
2014,2.483429852873087e-05
2015,2.505058546375949e-05
2016,2.7328705982654355e-05
2017,2.4708384444238618e-05
2018,2.4173432393581606e-05
2019,2.5419090889045037e-05
