,services
1800,4.394281859276816e-05
1801,4.7643119614804164e-05
1802,5.0229144108016044e-05
1803,4.925599932903424e-05
1804,5.504198998096399e-05
1805,5.9252230130368844e-05
1806,5.508593312697485e-05
1807,4.7272376832552254e-05
1808,4.970798545400612e-05
1809,4.532590173766948e-05
1810,4.6997363824630156e-05
1811,4.824992356589064e-05
1812,7.290835492312908e-05
1813,5.463348134071566e-05
1814,6.486294296337292e-05
1815,5.868069638381712e-05
1816,5.882367258891463e-05
1817,5.9450259868754074e-05
1818,5.530159251065925e-05
1819,5.2818380936514586e-05
1820,5.594515459961258e-05
1821,5.4583790188189596e-05
1822,4.915432873531245e-05
1823,5.81665153731592e-05
1824,5.219662853050977e-05
1825,5.975943713565357e-05
1826,5.9685578889911994e-05
1827,5.868220250704326e-05
1828,6.286473944783211e-05
1829,5.722967398469336e-05
1830,5.8088866353500634e-05
1831,6.043519533704966e-05
1832,7.455292507074773e-05
1833,6.121134356362745e-05
1834,6.866643525427207e-05
1835,6.818470865255222e-05
1836,6.379347178153694e-05
1837,5.901775512029417e-05
1838,6.406983447959647e-05
1839,6.073214899515733e-05
1840,6.277888314798474e-05
1841,6.473018584074453e-05
1842,5.688389501301572e-05
1843,5.946416058577597e-05
1844,5.997249172651209e-05
1845,5.940287883277051e-05
1846,6.435438262997195e-05
1847,6.346275040414184e-05
1848,6.218237831490114e-05
1849,6.400420534191653e-05
1850,6.157605821499601e-05
1851,6.382959691109136e-05
1852,6.703018152620643e-05
1853,6.628441769862548e-05
1854,6.342183041851968e-05
1855,7.279015699168667e-05
1856,7.038079638732597e-05
1857,6.839946581749246e-05
1858,7.464063673978671e-05
1859,6.933549593668431e-05
1860,7.176341750891879e-05
1861,7.025664672255516e-05
1862,6.626150570809841e-05
1863,6.755122012691572e-05
1864,6.690163718303666e-05
1865,6.967731314944103e-05
1866,6.981746264500543e-05
1867,7.000553159741685e-05
1868,6.994535215198994e-05
1869,6.597087485715747e-05
1870,6.579732144018635e-05
1871,6.407266482710838e-05
1872,6.326359289232641e-05
1873,7.10560052539222e-05
1874,7.030484266579151e-05
1875,6.472598033724353e-05
1876,6.741418474121019e-05
1877,6.695467891404405e-05
1878,6.821235729148611e-05
1879,6.6674459958449e-05
1880,6.660645885858685e-05
1881,6.957220466574654e-05
1882,6.935587589396164e-05
1883,6.87903884681873e-05
1884,7.114067557267845e-05
1885,7.070856372592971e-05
1886,7.577368523925543e-05
1887,8.258847810793668e-05
1888,7.11919492459856e-05
1889,7.04218982718885e-05
1890,7.069764251355082e-05
1891,7.329718937398866e-05
1892,7.141558307921514e-05
1893,7.070841093081981e-05
1894,6.925009074620903e-05
1895,7.386874494841322e-05
1896,7.081121293595061e-05
1897,7.500481297029182e-05
1898,7.27561055100523e-05
1899,7.143754919525236e-05
1900,7.372047548415139e-05
1901,7.405570067930967e-05
1902,7.192100019892678e-05
1903,7.113896572263911e-05
1904,7.050593558233231e-05
1905,7.10303065716289e-05
1906,7.454226579284295e-05
1907,7.305839244509116e-05
1908,7.06014470779337e-05
1909,7.331558299483731e-05
1910,7.194562931545079e-05
1911,7.255592936417088e-05
1912,7.680022827116773e-05
1913,8.020737004699185e-05
1914,8.241127216024324e-05
1915,8.108132897177711e-05
1916,8.043435809668154e-05
1917,8.487821469316259e-05
1918,8.764999802224338e-05
1919,9.081271855393425e-05
1920,8.641713066026568e-05
1921,8.460996468784288e-05
1922,8.577644621254876e-05
1923,8.525731391273439e-05
1924,8.536016684956849e-05
1925,8.722551865503192e-05
1926,8.529304614057764e-05
1927,9.117297304328531e-05
1928,9.41409743973054e-05
1929,9.170218982035294e-05
1930,9.79912219918333e-05
1931,9.884292376227677e-05
1932,0.00010962548549287021
1933,0.00011514010111568496
1934,0.00011852522584376857
1935,0.00012022117880405858
1936,0.00013059412594884634
1937,0.0001356032444164157
1938,0.00013965769903734326
1939,0.0001525907136965543
1940,0.0001472902949899435
1941,0.0001659386180108413
1942,0.00017296866280958056
1943,0.00018541711324360222
1944,0.00019028068345505744
1945,0.00019623733533080667
