,which
1800,0.006084991153329611
1801,0.006253440864384174
1802,0.006459575612097979
1803,0.0060847424902021885
1804,0.0064645311795175076
1805,0.0064787957817316055
1806,0.006362179759889841
1807,0.006521544419229031
1808,0.006039007566869259
1809,0.006429389584809542
1810,0.00611813273280859
1811,0.006212560925632715
1812,0.006323052570223808
1813,0.006184528116136789
1814,0.0063941399566829205
1815,0.00662982277572155
1816,0.006172232795506716
1817,0.006567096337676048
1818,0.006475259084254503
1819,0.0065550184808671474
1820,0.006298937369138002
1821,0.0061703999526798725
1822,0.006239992566406727
1823,0.006370343267917633
1824,0.006358746904879808
1825,0.006318351719528437
1826,0.006286593619734049
1827,0.0064385635778307915
1828,0.006352044176310301
1829,0.006525895092636347
1830,0.006448546424508095
1831,0.006410331465303898
1832,0.0058221882209181786
1833,0.006426481995731592
1834,0.006292053032666445
1835,0.00628418754786253
1836,0.00638418085873127
1837,0.006143280770629644
1838,0.006261402741074562
1839,0.006169366184622049
1840,0.006008998490869999
1841,0.00607620645314455
1842,0.00616846140474081
1843,0.006023342255502939
1844,0.005909048020839691
1845,0.0059857494197785854
1846,0.005872391164302826
1847,0.00591648556292057
1848,0.005893223453313112
1849,0.005948029924184084
1850,0.005773606710135937
1851,0.005802514497190714
1852,0.005727613810449839
1853,0.005766250658780336
1854,0.00578314671292901
1855,0.005740473512560129
1856,0.005645714234560728
1857,0.005506517365574837
1858,0.005545550491660833
1859,0.0054750386625528336
1860,0.005468243733048439
1861,0.005408036522567272
1862,0.005350344814360142
1863,0.005381344817578793
1864,0.00524405762553215
1865,0.005262607242912054
1866,0.005217291414737701
1867,0.005230903625488281
1868,0.005111994221806526
1869,0.0050955116748809814
1870,0.005137566011399031
1871,0.00517254089936614
1872,0.005048811435699463
1873,0.005170869175344706
1874,0.005067945457994938
1875,0.005130141507834196
1876,0.00504731573164463
1877,0.004972272086888552
1878,0.0049706920981407166
1879,0.004973257891833782
1880,0.004946403205394745
1881,0.0048715099692344666
1882,0.004895324818789959
1883,0.004848867189139128
1884,0.004775223787873983
1885,0.004707887768745422
1886,0.004694807808846235
1887,0.004617659840732813
1888,0.004643400199711323
1889,0.004538850858807564
1890,0.004677056800574064
1891,0.0045184176415205
1892,0.0045509738847613335
1893,0.004543482791632414
1894,0.004503306932747364
1895,0.004410048946738243
1896,0.00442694453522563
1897,0.00435998709872365
1898,0.00438341498374939
1899,0.004302662331610918
1900,0.0042844801209867
1901,0.004233537707477808
1902,0.004288106225430965
1903,0.00425729900598526
1904,0.004288041032850742
1905,0.0042356508783996105
1906,0.0042064920999109745
1907,0.004173682536929846
1908,0.004121412057429552
1909,0.004119102843105793
1910,0.00413090642541647
1911,0.00412172032520175
1912,0.004033696372061968
1913,0.0039608473889529705
1914,0.0039662765339016914
1915,0.0039012685883790255
1916,0.003848941531032324
1917,0.003841008758172393
1918,0.003875310067087412
1919,0.003867609426379204
1920,0.0039518545381724834
1921,0.003907614387571812
1922,0.00394842866808176
1923,0.003871733322739601
1924,0.0038831322453916073
1925,0.00380427623167634
1926,0.003920599818229675
1927,0.003797733224928379
1928,0.003801746526733041
1929,0.0037686959840357304
1930,0.003795842407271266
1931,0.0037272346671670675
1932,0.0037820227444171906
1933,0.003736101556569338
1934,0.0038046131376177073
1935,0.0036797013599425554
1936,0.003701268695294857
1937,0.0036762584932148457
1938,0.0037067336961627007
1939,0.003636048175394535
1940,0.0035428949631750584
1941,0.0034546172246336937
1942,0.003502178704366088
1943,0.003490209812298417
1944,0.0034915709402412176
1945,0.0035397540777921677
1946,0.0035758716985583305
1947,0.003589843399822712
1948,0.0035792600829154253
1949,0.00350262806750834
1950,0.0035705817863345146
1951,0.0035062371753156185
1952,0.003579317592084408
1953,0.003481320571154356
1954,0.0034959474578499794
1955,0.0034686392173171043
1956,0.0034574950113892555
1957,0.003416690742596984
1958,0.003440444590523839
1959,0.003437526524066925
1960,0.0034228165168315172
1961,0.0034129556734114885
1962,0.003417785745114088
1963,0.0033924176823347807
1964,0.0033695707097649574
1965,0.003380844835191965
1966,0.0033929096534848213
1967,0.003356586443260312
1968,0.0033966745249927044
1969,0.003355626715347171
1970,0.003263417398557067
1971,0.003278887365013361
1972,0.0031712993513792753
1973,0.0030802576802670956
1974,0.00307469698600471
1975,0.0030452758073806763
1976,0.0029866481199860573
1977,0.0029399488121271133
1978,0.0028543213848024607
1979,0.002835432067513466
1980,0.002776537789031863
1981,0.002713857451453805
1982,0.0026869093999266624
1983,0.002670329762622714
1984,0.0026011604350060225
1985,0.002558295149356127
1986,0.0025415956042706966
1987,0.0025210760068148375
1988,0.0024875684175640345
1989,0.0024108760990202427
1990,0.0024103354662656784
1991,0.0023742979392409325
1992,0.0023763333447277546
1993,0.002316512167453766
1994,0.002292709657922387
1995,0.00230084708891809
1996,0.0023098017554730177
1997,0.002318314043805003
1998,0.0023175000678747892
1999,0.0023001525551080704
2000,0.0022410901729017496
2001,0.00217887619510293
2002,0.0021873407531529665
2003,0.0021733567118644714
2004,0.002165294485166669
2005,0.0021274699829518795
2006,0.002205334836617112
2007,0.0021762221585959196
2008,0.0022316109389066696
2009,0.0021189225371927023
2010,0.0020376802422106266
2011,0.0018705298425629735
2012,0.0019582544919103384
2013,0.0021070772781968117
2014,0.0018836511299014091
2015,0.0018940996378660202
2016,0.0019701626151800156
2017,0.002015938749536872
2018,0.0021262678783386946
2019,0.002043643267825246
