,type
1800,8.802056981949136e-06
1801,6.728041171299992e-06
1802,6.417420991056133e-06
1803,5.431905265140813e-06
1804,8.577761946071405e-06
1805,6.460675194830401e-06
1806,7.4471663538133726e-06
1807,6.084161668695742e-06
1808,9.483163012191653e-06
1809,6.097387085901573e-06
1810,8.290810001199134e-06
1811,7.488079972972628e-06
1812,5.673802206729306e-06
1813,4.903161425318103e-06
1814,1.5007369256636593e-05
1815,9.340654287370853e-06
1816,7.302548510779161e-06
1817,8.493939276377205e-06
1818,7.24799156159861e-06
1819,7.288369488378521e-06
1820,5.450223397929221e-06
1821,7.776379788992926e-06
1822,8.816447916615289e-06
1823,9.972140105674043e-06
1824,8.02422800916247e-06
1825,1.0582773029454984e-05
1826,1.1688749509630725e-05
1827,9.881292498903349e-06
1828,1.0306101103196852e-05
1829,9.514224075246602e-06
1830,9.315358511230443e-06
1831,1.014500048768241e-05
1832,3.155666490783915e-05
1833,1.0693455806176644e-05
1834,1.5891117072897032e-05
1835,1.6211264664889313e-05
1836,1.3483958355209325e-05
1837,1.4778567674511578e-05
1838,1.4226337953004986e-05
1839,1.6123816749313846e-05
1840,1.6330457583535463e-05
1841,1.700774191704113e-05
1842,1.7234971892321482e-05
1843,1.731009251670912e-05
1844,1.572984729136806e-05
1845,1.8766064385999925e-05
1846,1.6794227121863514e-05
1847,2.0229728761478327e-05
1848,1.911852086777799e-05
1849,2.076451164612081e-05
1850,2.171039341192227e-05
1851,2.356295044592116e-05
1852,2.4366849174839444e-05
1853,2.139644493581727e-05
1854,2.568671334302053e-05
1855,2.4545113774365745e-05
1856,2.4899358322727494e-05
1857,2.614511686260812e-05
1858,3.0408698876271956e-05
1859,2.943302388302982e-05
1860,2.980264434881974e-05
1861,3.0262006475823e-05
1862,3.403558366699144e-05
1863,3.6380104575073346e-05
1864,3.621016367105767e-05
1865,3.476396523183212e-05
1866,3.3142499887617305e-05
1867,3.413590820855461e-05
1868,3.6041674320586026e-05
1869,3.686461059260182e-05
1870,3.618503251345828e-05
1871,3.651539373095147e-05
1872,3.716148785315454e-05
1873,3.963258131989278e-05
1874,3.8085909181972966e-05
1875,4.317530692787841e-05
1876,4.1422576032346115e-05
1877,4.2503328586462885e-05
1878,4.4220363633939996e-05
1879,4.2890769691439345e-05
1880,4.526608609012328e-05
1881,4.8306770622730255e-05
1882,4.688775152317248e-05
1883,5.1030168833676726e-05
1884,4.762112075695768e-05
1885,5.244031854090281e-05
1886,5.1248152885818854e-05
1887,5.012423207517713e-05
1888,5.543239967664704e-05
1889,5.908593084313907e-05
1890,6.278526416281238e-05
1891,6.265499541768804e-05
1892,6.686407141387463e-05
1893,7.096958870533854e-05
1894,7.039451156742871e-05
1895,7.058130722725764e-05
1896,7.160304085118696e-05
1897,7.51395127736032e-05
1898,7.777736755087972e-05
1899,7.3737304774113e-05
1900,8.451006578980014e-05
1901,8.246749348472804e-05
1902,9.283821418648586e-05
1903,9.56827643676661e-05
1904,0.00010234498768113554
1905,0.00011231513053644449
1906,0.00010635938087943941
1907,0.00011940371041418985
1908,0.00012110270472476259
1909,0.0001278518611798063
1910,0.00012713951582554728
1911,0.0001361305476166308
1912,0.0001411350822309032
1913,0.00014683659537695348
1914,0.00014754087897017598
1915,0.0001544662081869319
1916,0.00016310071805492043
1917,0.00016035446606110781
1918,0.00016418853192590177
1919,0.00017495322390459478
1920,0.0001816212316043675
1921,0.00018353844643570483
1922,0.00019109199638478458
1923,0.0001925020624184981
1924,0.00019599452207330614
1925,0.00020770040282513946
1926,0.00020833720918744802
1927,0.0002107856416841969
1928,0.00022319781419355422
1929,0.00022283151338342577
1930,0.00022976312902756035
1931,0.00022414320847019553
1932,0.00023243308532983065
1933,0.00023174470697995275
1934,0.000238948647165671
1935,0.00023903310648165643
1936,0.00024182158813346177
1937,0.00025204409030266106
1938,0.00026206154143437743
1939,0.00026747744414024055
