,h
1800,5.337983020581305e-05
1801,5.103346848045476e-05
1802,5.848852379131131e-05
1803,4.653572250390425e-05
1804,5.6423403293592855e-05
1805,4.744311445392668e-05
1806,4.8225989303318784e-05
1807,5.309600237524137e-05
1808,4.190260005998425e-05
1809,5.699400935554877e-05
1810,4.109962537768297e-05
1811,4.238961628288962e-05
1812,6.112508708611131e-05
1813,3.478132202872075e-05
1814,3.3028682082658634e-05
1815,3.38536046911031e-05
1816,4.104254912817851e-05
1817,2.906983718276024e-05
1818,3.6937581171514466e-05
1819,3.1740015401737764e-05
1820,2.751859210547991e-05
1821,2.9117873054929078e-05
1822,3.349198232172057e-05
1823,3.475649282336235e-05
1824,3.92401561839506e-05
1825,3.6869834730168805e-05
1826,4.3617481424007565e-05
1827,3.3799184166127816e-05
1828,3.086955621256493e-05
1829,2.9713079129578546e-05
1830,2.8121023206040263e-05
1831,3.2124804420163855e-05
1832,4.059323327965103e-05
1833,3.0199054890545085e-05
1834,4.0328635805053636e-05
1835,2.909599606937263e-05
1836,3.610444764490239e-05
1837,3.620801362558268e-05
1838,3.534210190991871e-05
1839,2.9995648219482973e-05
1840,2.7463356673251837e-05
1841,3.3034546504495665e-05
1842,3.708463191287592e-05
1843,2.870588650694117e-05
1844,2.840650086000096e-05
1845,3.2422780350316316e-05
1846,3.283152909716591e-05
1847,2.7700059945345856e-05
1848,2.9242124583106488e-05
1849,2.9300505048013292e-05
1850,3.153066063532606e-05
1851,3.248557186452672e-05
1852,3.792952702497132e-05
1853,3.4557429898995906e-05
1854,3.368106627021916e-05
1855,3.3014683140208945e-05
1856,3.587058745324612e-05
1857,3.890905645675957e-05
1858,4.418048411025666e-05
1859,3.5521126847015694e-05
1860,3.358748654136434e-05
1861,3.471320087555796e-05
1862,3.494190605124459e-05
1863,3.3324304240522906e-05
1864,3.2398838811786845e-05
1865,3.761389962164685e-05
1866,3.806174572673626e-05
1867,3.54123767465353e-05
1868,4.201482443022542e-05
1869,4.351431198301725e-05
1870,3.5611516068456694e-05
1871,3.648747588158585e-05
1872,3.7043995689600706e-05
1873,3.9274840673897415e-05
1874,3.864318205160089e-05
1875,3.427645788178779e-05
1876,3.3107586205005646e-05
1877,3.583356738090515e-05
1878,3.507902874844149e-05
1879,3.6247336538508534e-05
1880,3.7667381548089907e-05
1881,4.013516445411369e-05
1882,3.916261630365625e-05
1883,6.296570063568652e-05
1884,3.581748023862019e-05
1885,3.841426223516464e-05
1886,3.644729804364033e-05
1887,6.001239307806827e-05
1888,4.420967889018357e-05
1889,3.4931988921016455e-05
1890,3.5887351259589195e-05
1891,3.385611125850119e-05
1892,3.1302013667300344e-05
1893,4.314554462325759e-05
1894,3.0242919820011593e-05
1895,3.193007432855666e-05
1896,3.1193772883852944e-05
1897,3.38133359036874e-05
1898,4.643146530725062e-05
1899,3.1847968784859404e-05
1900,3.148904943373054e-05
1901,3.2229192584054545e-05
1902,3.257748539908789e-05
1903,4.525014810496941e-05
1904,3.394909799681045e-05
1905,3.6995475966250524e-05
1906,3.247986387577839e-05
1907,3.335078508825973e-05
1908,3.4082102501997724e-05
1909,3.142852074233815e-05
1910,3.410146018723026e-05
1911,3.3581873140065e-05
1912,3.096120053669438e-05
1913,3.0975865229265764e-05
1914,3.1761243008077145e-05
1915,2.9275268389028497e-05
1916,2.993915586557705e-05
1917,3.0066819817875512e-05
1918,3.052829561056569e-05
1919,3.1028150260681286e-05
1920,3.4139404306188226e-05
1921,3.332173218950629e-05
1922,3.3749813155736774e-05
1923,3.194165037712082e-05
1924,3.0260627681855112e-05
1925,3.0484732633340172e-05
1926,3.069757440243848e-05
1927,3.160724736517295e-05
1928,2.9560453185695224e-05
1929,2.850825694622472e-05
1930,2.8725165975629352e-05
1931,2.942731589428149e-05
1932,2.896278238040395e-05
1933,2.9171211281209253e-05
1934,2.912847776315175e-05
1935,2.8817168640671298e-05
1936,3.204578752047382e-05
1937,3.007871055160649e-05
1938,3.0909042834537104e-05
1939,3.366075543453917e-05
1940,3.394094528630376e-05
1941,3.2460622605867684e-05
1942,3.2712789106881246e-05
1943,3.3783060644054785e-05
1944,3.641251169028692e-05
