,university
1800,1.1937144336116035e-05
1801,2.117652002198156e-05
1802,2.1754467525170185e-05
1803,1.886614518298302e-05
1804,1.9440542018855922e-05
1805,1.861318560258951e-05
1806,2.187958307331428e-05
1807,2.282041168655269e-05
1808,1.8911792722065002e-05
1809,1.6985448382911272e-05
1810,2.853965816029813e-05
1811,1.6106374459923245e-05
1812,2.55017148447223e-05
1813,3.6186367651680484e-05
1814,2.5504488803562708e-05
1815,3.1571078579872847e-05
1816,2.4972327082650736e-05
1817,3.3292672014795244e-05
1818,1.3855142242391594e-05
1819,2.1995567294652574e-05
1820,2.0467125068535097e-05
1821,1.3383393707044888e-05
1822,1.4864867807773408e-05
1823,1.6379484804929234e-05
1824,2.257168489450123e-05
1825,1.733401950332336e-05
1826,1.574264570081141e-05
1827,1.4965111404308118e-05
1828,1.6081346984719858e-05
1829,1.6636206055409275e-05
1830,1.4589377315132879e-05
1831,1.776533645170275e-05
1832,1.2554781278595328e-05
1833,1.474694818170974e-05
1834,1.3553423741541337e-05
1835,1.710116157482844e-05
1836,1.555548260512296e-05
1837,1.8543853002483957e-05
1838,1.7116530216298997e-05
1839,1.8347429431742057e-05
1840,1.7298629245487973e-05
1841,1.70381972566247e-05
1842,2.0574811060214415e-05
1843,1.6282048818538897e-05
1844,1.5016635188658256e-05
1845,1.5410632840939797e-05
1846,1.2809459803975187e-05
1847,1.436706315871561e-05
1848,1.4620127330999821e-05
1849,1.1070723303419072e-05
1850,1.3898469660489354e-05
1851,1.4713828022649977e-05
1852,1.3269258488435298e-05
1853,1.6771307855378836e-05
1854,1.4405632100533694e-05
1855,1.2454123861971311e-05
1856,1.2878198504040483e-05
1857,1.5394785805256106e-05
1858,1.2658959349209908e-05
1859,1.2821546079067048e-05
1860,1.1974496374023147e-05
1861,1.3720523384108674e-05
1862,1.0727045264502522e-05
1863,1.7125197700806893e-05
1864,8.874904779077042e-06
1865,9.185937415168155e-06
1866,9.904321814246941e-06
1867,1.4361233297677245e-05
1868,1.649968726269435e-05
1869,1.4360976820171345e-05
1870,1.7101114281103946e-05
1871,1.3524394489650149e-05
1872,1.460711246181745e-05
1873,1.884949961095117e-05
1874,1.6818128642626107e-05
1875,1.765293018252123e-05
1876,1.7071790352929384e-05
1877,1.5278475984814577e-05
1878,1.7483213014202192e-05
1879,1.7046348148141988e-05
1880,1.5546049326076172e-05
1881,1.6589594451943412e-05
1882,1.3498763109964784e-05
1883,1.5857103790040128e-05
1884,1.5159124814090319e-05
1885,1.568536026752554e-05
1886,1.7660153389442712e-05
1887,1.7237747670151293e-05
1888,1.9515426174621098e-05
1889,1.8130134776583873e-05
1890,2.256857987958938e-05
1891,2.4728906282689422e-05
1892,2.009040144912433e-05
1893,2.399615004833322e-05
1894,2.4209679395426065e-05
1895,2.4410766854998656e-05
1896,2.2747020921087824e-05
1897,2.1731742890551686e-05
1898,2.659495294210501e-05
1899,2.44966649916023e-05
1900,2.711706474656239e-05
1901,2.8039268727297895e-05
1902,2.767916339507792e-05
1903,2.8617296266020276e-05
