,movies
1959,4.0469876694260165e-06
1960,4.072971023560967e-06
1961,3.850544089800678e-06
1962,3.767172302104882e-06
1963,3.497710395095055e-06
1964,3.46640013049182e-06
1965,3.3354540391883347e-06
1966,3.884738362103235e-06
1967,3.699820808833465e-06
1968,3.941998784284806e-06
1969,4.253701263223775e-06
1970,4.75502338304068e-06
1971,4.886941951554036e-06
1972,4.680880465457449e-06
1973,4.61792706119013e-06
1974,4.779861228598747e-06
1975,4.769321094499901e-06
1976,4.332707703724736e-06
1977,5.137546395417303e-06
1978,4.702820660895668e-06
1979,4.484143573790789e-06
1980,4.779422852152493e-06
1981,4.942835857946193e-06
1982,5.22530717717018e-06
1983,5.21840229339432e-06
1984,5.827411314385245e-06
1985,5.453155608847737e-06
1986,5.712728125217836e-06
1987,5.9708941080316436e-06
1988,6.209447747096419e-06
1989,6.450773526012199e-06
1990,6.70922872814117e-06
1991,6.886618848511716e-06
1992,6.9078746491868515e-06
1993,7.491775249945931e-06
1994,8.442410035058856e-06
1995,8.407719178649131e-06
1996,9.3803328127251e-06
1997,9.874112038232852e-06
1998,9.7147503765882e-06
1999,1.0305182513548061e-05
2000,1.1171177902724594e-05
2001,1.1366728358552791e-05
2002,1.1799683306890074e-05
2003,1.2424096894392278e-05
2004,1.3039625628152862e-05
2005,1.3130822480889037e-05
2006,1.2956116734130774e-05
2007,1.3197726730140857e-05
2008,1.2526733371487353e-05
2009,1.3987529200676363e-05
2010,1.3928561202192213e-05
2011,1.4758466022612993e-05
2012,1.3408232007350307e-05
2013,1.2968161172466353e-05
2014,1.4557160284311976e-05
2015,1.4327782992040738e-05
2016,1.3134652363078203e-05
2017,1.1719294889189769e-05
2018,1.075070849765325e-05
2019,1.1423082469264045e-05
