,game
1800,2.4592580302851275e-05
1801,2.614255208754912e-05
1802,1.9067225366597995e-05
1803,2.4859971745172516e-05
1804,2.5535011445754208e-05
1805,2.1332991309463978e-05
1806,2.1562629626714624e-05
1807,2.286739254486747e-05
1808,2.5699244361021556e-05
1809,1.8871312931878492e-05
1810,2.376083648414351e-05
1811,1.886765494418796e-05
1812,1.751659692672547e-05
1813,2.159282666980289e-05
1814,1.9161590898875147e-05
1815,1.7921021935762838e-05
1816,2.2157491912366822e-05
1817,2.9340439141378738e-05
1818,2.63664114754647e-05
1819,2.8080523406970315e-05
1820,2.1420673874672502e-05
1821,2.3367989342659712e-05
1822,2.825681985996198e-05
1823,2.6596155294100754e-05
1824,2.5986728360294364e-05
1825,2.5300138077000156e-05
1826,2.7166903237230144e-05
1827,2.5961746359826066e-05
1828,2.2604644982493483e-05
1829,2.3963069907040335e-05
1830,2.2474419893114828e-05
1831,2.5872222977341153e-05
1832,1.8903007003245875e-05
1833,2.5445740902796388e-05
1834,2.06874556170078e-05
1835,2.3601642169523984e-05
1836,1.9784554751822725e-05
1837,2.068406502075959e-05
1838,2.2165568225318566e-05
1839,2.228393714176491e-05
1840,2.2436015569837764e-05
1841,2.47804509854177e-05
1842,2.4145936549757607e-05
1843,2.0976240193704143e-05
1844,2.311080606887117e-05
1845,2.9101403924869373e-05
1846,4.033285949844867e-05
1847,2.3012169549474493e-05
1848,2.5866344003588893e-05
1849,2.4140194000210613e-05
1850,2.7718455385183915e-05
1851,2.149728788936045e-05
1852,2.320408748346381e-05
1853,2.152803062926978e-05
1854,2.1750636733486317e-05
1855,2.215997301391326e-05
1856,2.404029328317847e-05
1857,2.6238443751935847e-05
1858,2.482177660567686e-05
1859,2.7840027541969903e-05
1860,2.8091326385037974e-05
1861,2.5309198463219218e-05
1862,2.6336727387388237e-05
1863,2.7066258553531952e-05
1864,2.7580808819038793e-05
1865,3.107157317572273e-05
1866,2.7877395041286945e-05
1867,2.8108957849326544e-05
1868,2.8810369258280843e-05
1869,2.7906882678507827e-05
1870,2.8331858629826456e-05
1871,2.9522170734708197e-05
1872,2.848822077794466e-05
1873,2.733243854891043e-05
1874,2.8392450985847972e-05
1875,2.6946512662107125e-05
1876,2.692384077818133e-05
1877,2.690883593459148e-05
1878,2.6019130018539727e-05
1879,2.7238900656811893e-05
1880,2.9794167858199216e-05
1881,2.8074853616999462e-05
1882,2.4992739781737328e-05
1883,2.695284092624206e-05
1884,2.6783785870065913e-05
1885,2.783182389975991e-05
1886,2.7809137463918887e-05
1887,2.7438794859335758e-05
1888,2.7873753424501047e-05
1889,3.10297982650809e-05
1890,3.1576397304888815e-05
1891,2.8958793336641975e-05
1892,2.8984213713556528e-05
1893,3.0351007808349095e-05
1894,3.27238958561793e-05
1895,3.2295327400788665e-05
1896,3.3728410926414654e-05
1897,3.515764183248393e-05
1898,3.77880860469304e-05
1899,3.620899224188179e-05
1900,3.668143835966475e-05
1901,3.734667552635074e-05
1902,3.741409454960376e-05
1903,3.7680103559978306e-05
1904,3.54112489731051e-05
1905,4.020236519863829e-05
1906,3.805510641541332e-05
1907,4.186065780231729e-05
1908,3.5207551263738424e-05
1909,3.834122253465466e-05
1910,4.202179843559861e-05
1911,4.002382775070146e-05
1912,4.0296607039636e-05
1913,4.1396255255676806e-05
1914,4.1128289012704045e-05
1915,4.059328421135433e-05
1916,3.729873787960969e-05
1917,3.8528101867996156e-05
1918,3.5148343158653006e-05
1919,4.089592403033748e-05
1920,3.835335519397631e-05
1921,4.201809497317299e-05
1922,4.004895527032204e-05
1923,4.5256798330228776e-05
1924,4.3843454477610067e-05
1925,4.315959813538939e-05
1926,4.6048167860135436e-05
1927,4.6865283366059884e-05
1928,4.841183908865787e-05
1929,5.118184344610199e-05
1930,4.550727317109704e-05
1931,4.8353052989114076e-05
1932,4.483265365706757e-05
1933,4.7417892346857116e-05
1934,4.2050229239976034e-05
1935,4.418624666868709e-05
1936,4.473430090001784e-05
1937,4.5353743189480156e-05
1938,3.922835094272159e-05
1939,4.174101195530966e-05
1940,4.286624971427955e-05
1941,4.0869650547392666e-05
1942,3.770894545596093e-05
1943,3.5286706406623125e-05
1944,3.763702625292353e-05
1945,3.712447141879238e-05
1946,3.86865867767483e-05
1947,3.83036895073019e-05
1948,4.0625978726893663e-05
1949,3.792390270973556e-05
1950,3.721928806044161e-05
1951,3.681026282720268e-05
1952,3.533212293405086e-05
1953,3.7123067158972844e-05
1954,3.477430436760187e-05
1955,3.360621849424206e-05
1956,3.524295243551023e-05
1957,3.68880937458016e-05
1958,3.360428672749549e-05
