,game
1959,3.474477489362471e-05
1960,3.458439459791407e-05
1961,3.423591988394037e-05
1962,3.347953679622151e-05
1963,3.28061287291348e-05
1964,3.1322164431912825e-05
1965,3.0686504032928497e-05
1966,3.204120366717689e-05
1967,3.2354844734072685e-05
1968,3.4205928386654705e-05
1969,3.396996544324793e-05
1970,3.517102595651522e-05
1971,3.484312037471682e-05
1972,3.556177034624852e-05
1973,3.6185967474011704e-05
1974,3.6535391700454056e-05
1975,3.573421054170467e-05
1976,3.4816679544746876e-05
1977,3.5843571822624654e-05
1978,3.422367080929689e-05
1979,3.5154211218468845e-05
1980,3.4727479942375794e-05
1981,3.4460936149116606e-05
1982,3.548837048583664e-05
1983,3.6270928831072524e-05
1984,3.6290603020461276e-05
1985,3.697022839332931e-05
1986,3.75818635802716e-05
1987,3.86899737350177e-05
1988,3.794491567532532e-05
1989,4.0506289224140346e-05
1990,4.143391561228782e-05
1991,4.098953650100157e-05
1992,4.153325062361546e-05
1993,4.0922401240095496e-05
1994,4.4906348193762824e-05
1995,4.383586565381847e-05
1996,4.539517613011412e-05
1997,4.8238609451800585e-05
1998,4.9407502956455573e-05
1999,5.132920705364086e-05
2000,5.424844493973069e-05
2001,5.693786442861892e-05
2002,5.852520916960202e-05
2003,6.152777496026829e-05
2004,6.555322033818811e-05
2005,6.616591417696327e-05
2006,6.765393482055515e-05
2007,7.012589048827067e-05
2008,7.558558718301356e-05
2009,8.132430957630277e-05
2010,8.569235069444403e-05
2011,9.00083759916015e-05
2012,8.364030509255826e-05
2013,8.164892642525956e-05
2014,9.381521522300318e-05
2015,9.054854308487847e-05
2016,8.708662062417716e-05
2017,8.329387492267415e-05
2018,8.071558113442734e-05
2019,8.575413812650368e-05
