,for
1800,0.005794963799417019
1801,0.0058225709944963455
1802,0.005682970862835646
1803,0.006812946405261755
1804,0.0055400896817445755
1805,0.005727142095565796
1806,0.005787580739706755
1807,0.005687939468771219
1808,0.006135042756795883
1809,0.005853998474776745
1810,0.005754129495471716
1811,0.006118834018707275
1812,0.006207907106727362
1813,0.005927485879510641
1814,0.005937948822975159
1815,0.005878688767552376
1816,0.00613559503108263
1817,0.006003149785101414
1818,0.006025480572134256
1819,0.0059316386468708515
1820,0.006057321559637785
1821,0.005924953147768974
1822,0.005915986839681864
1823,0.006087969057261944
1824,0.005969874560832977
1825,0.006006976589560509
1826,0.0061029973439872265
1827,0.0059659965336322784
1828,0.006118998862802982
1829,0.00587038230150938
1830,0.006043723784387112
1831,0.0061593991704285145
1832,0.00633400771766901
1833,0.006124052219092846
1834,0.006192171946167946
1835,0.00609448691830039
1836,0.006176979746669531
1837,0.006195097230374813
1838,0.006213996093720198
1839,0.00618282426148653
1840,0.006194388028234243
1841,0.006236429791897535
1842,0.006139169912785292
1843,0.006280295550823212
1844,0.006213224492967129
1845,0.006108079105615616
1846,0.006342888344079256
1847,0.006318638566881418
1848,0.006276792846620083
1849,0.006281458307057619
1850,0.00623467518016696
1851,0.006277965847402811
1852,0.006405275780707598
1853,0.006376603618264198
1854,0.006193819455802441
1855,0.006291079334914684
1856,0.006236536893993616
1857,0.006293182261288166
1858,0.006331875920295715
1859,0.0063261836767196655
1860,0.006416276562958956
1861,0.006448555272072554
1862,0.006394403055310249
1863,0.006415700539946556
1864,0.006404033862054348
1865,0.0063997553661465645
1866,0.006396252196282148
1867,0.006513751577585936
1868,0.006508383899927139
1869,0.0065309652127325535
1870,0.006519767921417952
1871,0.006519999820739031
1872,0.006528387777507305
1873,0.006451595574617386
1874,0.006509639788419008
1875,0.006503444630652666
1876,0.006491777021437883
1877,0.006556493695825338
1878,0.006496760994195938
1879,0.00654984824359417
1880,0.00643710745498538
1881,0.006553329061716795
1882,0.006501852534711361
1883,0.00644261110574007
1884,0.006592839024960995
1885,0.0065866513177752495
1886,0.006704234983772039
1887,0.006726372055709362
1888,0.0067053972743451595
1889,0.006689036265015602
1890,0.006662193685770035
1891,0.006657788064330816
1892,0.006711994763463736
1893,0.006744431331753731
1894,0.006769418716430664
1895,0.006789956707507372
1896,0.006757283117622137
1897,0.006877108942717314
1898,0.006831781473010778
1899,0.006884369533509016
1900,0.006809561513364315
1901,0.006945447996258736
1902,0.006896488834172487
1903,0.007001665886491537
1904,0.00703569408506155
1905,0.007099442649632692
1906,0.007063792087137699
1907,0.007149356883019209
1908,0.007150843273848295
1909,0.007232535630464554
1910,0.007116788066923618
1911,0.007138495333492756
1912,0.007273998577147722
1913,0.0073873121291399
1914,0.007404473144561052
1915,0.007588699460029602
1916,0.007537218742072582
1917,0.007690541446208954
1918,0.007694191765040159
1919,0.0076928031630814075
1920,0.007517062593251467
1921,0.007559066638350487
1922,0.00741967186331749
1923,0.007357473950833082
1924,0.0073372418992221355
1925,0.00730879558250308
1926,0.007242626044899225
1927,0.00733486982062459
1928,0.007274618372321129
1929,0.007337102200835943
1930,0.007338665425777435
1931,0.007366369478404522
1932,0.007348416373133659
1933,0.007468840107321739
1934,0.007359369657933712
1935,0.007375605870038271
1936,0.0074299974367022514
1937,0.007457107305526733
1938,0.007474357262253761
1939,0.007606270257383585
1940,0.007524523884057999
1941,0.007667575962841511
1942,0.00767293618991971
1943,0.007778021041303873
1944,0.00783887505531311
1945,0.007920253090560436
1946,0.007713896222412586
1947,0.007784163113683462
1948,0.007652950938791037
1949,0.0076478696428239346
1950,0.0075133745558559895
1951,0.007593009155243635
1952,0.007542842533439398
1953,0.007533146999776363
1954,0.00757540762424469
1955,0.00762675516307354
1956,0.007561787962913513
1957,0.0075929295271635056
1958,0.007551685906946659
1959,0.00758992787450552
1960,0.007530443836003542
1961,0.007574019022285938
1962,0.0074723856523633
1963,0.007456637918949127
1964,0.007408144883811474
1965,0.007490153890103102
1966,0.0074789742939174175
1967,0.0075171515345573425
1968,0.007405025884509087
1969,0.007433246821165085
1970,0.00744567671790719
1971,0.007547089830040932
1972,0.007545251399278641
1973,0.007502871565520763
1974,0.0075626312755048275
1975,0.007605530321598053
1976,0.00762515515089035
1977,0.007621064782142639
1978,0.007588348351418972
1979,0.007607539650052786
1980,0.007579992525279522
1981,0.007527099456638098
1982,0.007506623864173889
1983,0.007570110261440277
1984,0.0073949662037193775
1985,0.007404421456158161
1986,0.007391917984932661
1987,0.007383824326097965
1988,0.007380361668765545
1989,0.007304046303033829
1990,0.007333078887313604
1991,0.007319866679608822
1992,0.007297910284250975
1993,0.007282934617251158
1994,0.007272724993526936
1995,0.007325095124542713
1996,0.007215618155896664
1997,0.007223919965326786
1998,0.007208239287137985
1999,0.007175298407673836
2000,0.007101594470441341
2001,0.007092366926372051
2002,0.007025431841611862
2003,0.007050689775496721
2004,0.007005554623901844
2005,0.006983520928770304
2006,0.006928884889930487
2007,0.006874650251120329
2008,0.006791239138692617
2009,0.006721049081534147
2010,0.006655575707554817
2011,0.006564766634255648
2012,0.0065332697704434395
2013,0.006467861123383045
2014,0.006361040752381086
2015,0.006341846659779549
2016,0.006369866896420717
2017,0.006264016032218933
2018,0.006153156980872154
2019,0.0062501742504537106
