,f
1800,0.00016577074711676687
1801,0.00021549985103774816
1802,0.00020081564434804022
1803,0.0001625594886718318
1804,0.00018055229156743735
1805,0.0001829227985581383
1806,0.00018418653053231537
1807,0.0001831911358749494
1808,0.0001733617391437292
1809,0.00016576965572312474
1810,0.00015780804096721113
1811,0.00016446097288280725
1812,0.00016521148791071028
1813,0.00015296215133275837
1814,0.00017135997768491507
1815,0.00014784635277464986
1816,0.0001732311793603003
1817,0.00021722514065913856
1818,0.00014561960415448993
1819,0.00013854824646841735
1820,0.00011053014895878732
1821,0.00011813204037025571
1822,0.0001267422194359824
1823,0.0001260833378182724
1824,0.0001284632453462109
1825,0.00011480348621262237
1826,0.00012553902342915535
1827,0.0001229880581377074
1828,0.0001165268404292874
1829,0.00010895237937802449
1830,0.00010435456351842731
1831,0.00010790647502290085
1832,0.00010454282892169431
1833,0.00010180164099438116
1834,0.00010290405771229416
1835,9.038981079356745e-05
1836,0.00010373324039392173
1837,0.00010998050129273906
1838,0.0001056181063177064
1839,9.653482993599027e-05
1840,0.00010664859291864559
1841,0.00010329560609534383
1842,0.00010213564382866025
1843,9.968594531528652e-05
1844,0.00010244337317999452
1845,0.00010746617044787854
1846,0.00010243023280054331
1847,0.00010796263813972473
1848,9.757153748068959e-05
1849,0.00011533840734045953
1850,9.799266990739852e-05
1851,8.452947804471478e-05
1852,8.624792826594785e-05
1853,8.580741268815473e-05
1854,8.77558923093602e-05
1855,9.345194121124223e-05
1856,8.949540642788634e-05
1857,9.000653517432511e-05
1858,8.442380931228399e-05
1859,7.978546636877581e-05
1860,8.694321877555922e-05
1861,9.493963443674147e-05
1862,8.068720489973202e-05
1863,8.055533544393256e-05
1864,9.110013343160972e-05
1865,8.170928776962683e-05
1866,7.953197928145528e-05
1867,8.419105142820626e-05
1868,8.791835716692731e-05
1869,7.90829217294231e-05
1870,7.927131082396954e-05
1871,8.26633331598714e-05
1872,9.869984933175147e-05
1873,8.275300933746621e-05
1874,8.083364082267508e-05
1875,8.933705976232886e-05
1876,8.39982894831337e-05
1877,9.764209971763194e-05
1878,8.30888602649793e-05
1879,8.538764086551964e-05
1880,9.355154179502279e-05
1881,7.511951116612181e-05
1882,7.831716357031837e-05
1883,7.360677409451455e-05
1884,8.33000594866462e-05
1885,7.86094315117225e-05
1886,7.39314200473018e-05
1887,7.245919550769031e-05
1888,7.588887820020318e-05
1889,8.002809045137838e-05
1890,7.494398596463725e-05
1891,7.762234599795192e-05
1892,7.371176616288722e-05
1893,7.513268064940348e-05
1894,7.627611921634525e-05
1895,7.458619074895978e-05
1896,7.076569454511628e-05
1897,7.095534965628758e-05
1898,7.251765055116266e-05
1899,7.033162546576932e-05
1900,6.922405009390786e-05
1901,7.420406473102048e-05
1902,7.637741509824991e-05
1903,7.681122224312276e-05
1904,7.0925299951341e-05
1905,7.727401680313051e-05
1906,7.278698467416689e-05
1907,7.26679791114293e-05
1908,7.876315794419497e-05
1909,7.447515963576734e-05
1910,7.615227514179423e-05
1911,7.441922934958711e-05
1912,7.096281478879973e-05
1913,7.429969264194369e-05
1914,7.357679714914411e-05
1915,7.290298526640981e-05
1916,7.376546273007989e-05
1917,7.244904554681852e-05
1918,7.225274748634547e-05
1919,7.258628465933725e-05
1920,7.669712795177475e-05
1921,8.165634790202603e-05
1922,8.014753257157281e-05
1923,7.964891119627282e-05
1924,8.307612733915448e-05
1925,8.986520697362721e-05
1926,8.464507845928892e-05
1927,8.811791485641152e-05
1928,8.307617099490017e-05
1929,8.36127219372429e-05
1930,8.615003025624901e-05
1931,8.770236308919266e-05
1932,8.61300723045133e-05
1933,9.552992560202256e-05
1934,9.07225621631369e-05
1935,9.141840564552695e-05
1936,9.606681851437315e-05
1937,9.527491056360304e-05
1938,9.438240522285923e-05
1939,0.00010060882050311193
1940,0.00010143213876290247
1941,0.00010401913459645584
1942,0.00010047621617559344
1943,0.00010418097372166812
1944,0.00010322131856810302
1945,9.793716890271753e-05
1946,0.00010302547889295965
1947,9.895430412143469e-05
1948,0.00010317620035493746
1949,0.00010083147208206356
1950,0.00010040188499260694
1951,0.0001014568842947483
1952,0.00010114024189533666
1953,9.871710790321231e-05
1954,9.889274224406108e-05
1955,0.00010346936323912814
1956,0.00010253548680339009
1957,0.00010566284618107602
1958,0.00010208495950791985
1959,0.00010251104686176404
1960,9.96373055386357e-05
1961,0.00010589913290459663
1962,0.0001044462769641541
1963,0.00010498267511138692
1964,0.00010485883831279352
1965,0.00010752191883511841
1966,0.00010318997374270111
1967,0.00010062586079584435
1968,0.00010172922338824719
1969,9.670879080658779e-05
1970,0.00010125582775799558
1971,0.00010119567014044151
1972,0.00010062903311336413
1973,9.890959336189553e-05
1974,0.00010158879740629345
1975,0.00010170155292144045
1976,0.0001055193497450091
1977,0.00010460003977641463
1978,0.00010094764002133161
1979,0.00010709701018640772
1980,0.00010012487473431975
1981,0.00010421395563753322
1982,0.00010125288827111945
1983,0.00010144094267161563
1984,9.941682947101071e-05
1985,0.00010087902046507224
1986,9.918701107380912e-05
1987,9.872374357655644e-05
1988,9.825742017710581e-05
1989,9.439888526685536e-05
1990,9.016095282277092e-05
1991,8.840659575071186e-05
1992,8.673356933286414e-05
1993,8.381239604204893e-05
1994,8.068396709859371e-05
1995,9.372601198265329e-05
1996,8.508206519763917e-05
1997,8.567132317693904e-05
1998,8.054576755966991e-05
1999,8.242050535045564e-05
2000,8.247040386777371e-05
2001,8.346619142685086e-05
2002,7.74552026996389e-05
2003,7.944605022203177e-05
2004,7.387664663838223e-05
2005,7.77299574110657e-05
2006,7.998518412932754e-05
2007,7.131163874873891e-05
2008,7.220450788736343e-05
2009,6.865187606308609e-05
2010,6.851762009318918e-05
2011,7.575673225801438e-05
2012,8.177179552149028e-05
2013,8.133504161378369e-05
2014,7.43146738386713e-05
2015,6.828011100878939e-05
2016,7.745559560135007e-05
2017,9.071969543583691e-05
2018,0.00010213542554993182
2019,9.086634963750839e-05
