,plan
1800,0.00010833911073859781
1801,0.00010250844934489578
1802,0.00012933247489854693
1803,0.0001049409547704272
1804,0.0001103017566492781
1805,0.0001169151219073683
1806,0.00010860921611310914
1807,0.0001066831755451858
1808,9.144335490418598e-05
1809,9.474749822402373e-05
1810,9.11227471078746e-05
1811,9.093445260077715e-05
1812,0.00011160419671796262
1813,0.00011398858623579144
1814,0.00011420498049119487
1815,0.00010549258149694651
1816,0.00010091720469063148
1817,0.00011749632540158927
1818,0.0001207836321555078
1819,0.00010501375800231472
1820,9.854661766439676e-05
1821,8.972224895842373e-05
1822,8.98499129107222e-05
1823,9.132581180892885e-05
1824,9.096344729186967e-05
1825,9.671224688645452e-05
1826,0.0001008302133413963
1827,9.629964915802702e-05
1828,9.683197276899591e-05
1829,9.213037264999002e-05
1830,9.67696396401152e-05
1831,0.00011164443276356906
1832,0.0001198036625282839
1833,0.0001073028106475249
1834,0.00011046011059079319
1835,0.0001013761357171461
1836,0.00010427999222883955
1837,0.00010345171904191375
1838,0.00010421113256597891
1839,0.00010203448618995026
1840,9.871131624095142e-05
1841,9.399271220900118e-05
1842,9.63498096098192e-05
1843,9.248275455320254e-05
1844,9.137291635852307e-05
1845,9.16072676773183e-05
1846,9.473290265304968e-05
1847,0.00010358748841099441
1848,9.489418152952567e-05
1849,9.709949517855421e-05
1850,9.752558980835602e-05
1851,9.539029269944876e-05
1852,9.169910481432453e-05
1853,9.209931158693507e-05
1854,9.334134665550664e-05
1855,9.658104681875557e-05
1856,9.724623669171706e-05
1857,9.305276034865528e-05
1858,9.334112837677822e-05
1859,9.321408288087696e-05
1860,9.101547038881108e-05
1861,9.419285925105214e-05
1862,9.332328772870824e-05
1863,9.005448373500258e-05
1864,9.185022645397112e-05
1865,9.501664317212999e-05
1866,8.963044820120558e-05
1867,9.312632028013468e-05
1868,9.153710561804473e-05
1869,9.108230005949736e-05
1870,8.723186329007149e-05
1871,8.9534223661758e-05
1872,8.614023681730032e-05
1873,8.663673361297697e-05
1874,8.723431528778747e-05
1875,8.607254858361557e-05
1876,8.874027116689831e-05
1877,8.54128084029071e-05
1878,8.477958908770233e-05
1879,8.415522461291403e-05
1880,8.564603194827214e-05
1881,8.492737106280401e-05
1882,8.458863158011809e-05
1883,7.936724432511255e-05
1884,8.5270352428779e-05
1885,8.770476415520534e-05
1886,9.157357999356464e-05
1887,8.731300476938486e-05
1888,8.800023351795971e-05
1889,8.662450272822753e-05
1890,8.560279093217105e-05
1891,8.668017835589126e-05
1892,8.337793406099081e-05
1893,8.484566205879673e-05
1894,8.668556984048337e-05
1895,8.55884572956711e-05
1896,8.588829223299399e-05
1897,8.527307363692671e-05
1898,8.720041660126299e-05
1899,8.629305375507101e-05
1900,8.808726124698296e-05
1901,9.118018351728097e-05
1902,9.142910857917741e-05
1903,9.203480294672772e-05
1904,9.019384742714465e-05
1905,9.203182708006352e-05
1906,9.003554441733286e-05
1907,9.12937757675536e-05
1908,9.246735862689093e-05
1909,9.666477126302198e-05
1910,9.716779459267855e-05
1911,9.95019800029695e-05
1912,0.00010558252688497305
1913,0.00011191523663001135
