,g
1800,2.5259283574996516e-05
1801,2.8629618100239895e-05
1802,3.6099041608395055e-05
1803,2.8672391636064276e-05
1804,2.870088428608142e-05
1805,3.0136649002088234e-05
1806,2.961667451018002e-05
1807,3.2829699193825945e-05
1808,2.500668415450491e-05
1809,3.1820796721149236e-05
1810,3.284396734670736e-05
1811,2.6815398086910136e-05
1812,2.697842319321353e-05
1813,2.7002475690096617e-05
1814,2.4810477043502033e-05
1815,2.5965013264794834e-05
1816,2.8144277166575193e-05
1817,2.5908928364515305e-05
1818,2.307162321812939e-05
1819,2.9584789444925264e-05
1820,2.0461127860471606e-05
1821,2.4368076992686838e-05
1822,3.150775592075661e-05
1823,2.8677253794739954e-05
1824,3.1001756724435836e-05
1825,3.113957427558489e-05
1826,2.9204176826169714e-05
1827,2.5600293156458065e-05
1828,2.6963554773828946e-05
1829,2.6133839128306136e-05
1830,2.579767351562623e-05
1831,2.3062577383825555e-05
1832,3.0823703127680346e-05
1833,2.346369183214847e-05
1834,2.5399907826795243e-05
1835,2.661882717802655e-05
1836,2.7645723093883134e-05
1837,2.2777763660997152e-05
1838,2.635658165672794e-05
1839,2.3077334844856523e-05
1840,2.432736800983548e-05
1841,2.590137046354357e-05
1842,2.9286720746313222e-05
1843,2.8477315936470404e-05
1844,2.396313357166946e-05
1845,2.953136936412193e-05
1846,2.7932388547924347e-05
1847,2.618448888824787e-05
1848,2.3407154003507458e-05
1849,2.4555649360991083e-05
1850,2.3202013835543767e-05
1851,2.4046061298577115e-05
1852,2.595205842226278e-05
1853,2.5018398446263745e-05
1854,2.641763785504736e-05
1855,2.8998627385590225e-05
1856,3.114522769465111e-05
1857,3.285974162281491e-05
1858,3.1728068279335275e-05
1859,2.6134315703529865e-05
1860,2.9547243684646674e-05
1861,2.8135398679296486e-05
1862,2.7159030651091598e-05
1863,3.020574149559252e-05
1864,2.603476787044201e-05
1865,2.791234692267608e-05
1866,2.9129510949132964e-05
1867,3.043738797714468e-05
1868,2.9510962122003548e-05
1869,3.0107141355983913e-05
1870,2.8165490220999345e-05
1871,2.8713184292428195e-05
1872,3.1466504879062995e-05
1873,3.276480856584385e-05
1874,3.5154411307303235e-05
1875,2.9829470804543234e-05
1876,2.849694647011347e-05
1877,3.139039472443983e-05
1878,3.20446488331072e-05
1879,3.342779018566944e-05
1880,2.9779244869132526e-05
1881,2.8003734769299626e-05
1882,3.0732640880160034e-05
1883,3.188870323356241e-05
1884,3.3465370506746694e-05
1885,3.355045919306576e-05
1886,2.8614129405468702e-05
1887,3.086690776399337e-05
1888,3.238661156501621e-05
1889,3.543815546436235e-05
1890,2.9104068744345568e-05
1891,2.9443441235343926e-05
1892,2.8487751478678547e-05
1893,3.5528530133888125e-05
1894,2.9792860004818067e-05
1895,3.100561661995016e-05
1896,3.167177419527434e-05
1897,2.951845272036735e-05
1898,3.2254058169201016e-05
1899,3.0281606086646207e-05
1900,3.0090368454693817e-05
1901,3.049011320399586e-05
1902,3.0696388421347365e-05
1903,3.130631012027152e-05
1904,3.2186449971050024e-05
1905,3.24318025377579e-05
1906,2.991221299453173e-05
1907,3.1726980523671955e-05
1908,3.4107506508007646e-05
1909,3.2440719223814085e-05
1910,3.3826418075477704e-05
1911,3.4630007576197386e-05
1912,3.3149168302770704e-05
1913,3.5963144910056144e-05
1914,3.7164372770348564e-05
1915,3.6387824366101995e-05
1916,3.66569911420811e-05
1917,3.9120815927162766e-05
1918,3.868425119435415e-05
1919,4.058257763972506e-05
1920,4.026427268399857e-05
1921,4.346420246292837e-05
1922,4.340496161603369e-05
1923,3.6033445212524384e-05
1924,3.952961560571566e-05
1925,4.051568248542026e-05
1926,3.988029493484646e-05
1927,4.357003854238428e-05
1928,4.519723370322026e-05
1929,4.1154169593937695e-05
1930,4.5792661694576964e-05
1931,4.512188752414659e-05
1932,4.379985693958588e-05
1933,4.9391852371627465e-05
1934,4.5488905016100034e-05
1935,4.828194505535066e-05
1936,5.26014955539722e-05
1937,4.8864436394069344e-05
1938,4.8329173296224326e-05
1939,5.530928319785744e-05
1940,5.610417792922817e-05
1941,5.326926111592911e-05
1942,5.547561522689648e-05
1943,5.431877798400819e-05
1944,5.360824434319511e-05
1945,5.243818668532185e-05
1946,5.597693962045014e-05
1947,5.496880112332292e-05
1948,5.718888496630825e-05
1949,6.342223059618846e-05
1950,6.331055192276835e-05
1951,5.9178601077292114e-05
1952,6.278370710788295e-05
1953,6.31317452643998e-05
1954,6.978203600738198e-05
1955,6.669785943813622e-05
1956,6.433836097130552e-05
1957,6.916697748238221e-05
1958,7.593624468427151e-05
1959,7.353040564339608e-05
1960,7.438707689289004e-05
1961,7.79699839768e-05
1962,7.733119127806276e-05
1963,7.974169420776889e-05
1964,8.075035293586552e-05
1965,7.775520498398691e-05
1966,7.713183003943413e-05
1967,7.52267733332701e-05
1968,7.498393097193912e-05
1969,7.220994302770123e-05
1970,7.927061233203858e-05
1971,7.978412031661719e-05
1972,8.054443605942652e-05
1973,8.040964166866615e-05
1974,8.407460700254887e-05
1975,8.850491576595232e-05
1976,8.59710926306434e-05
1977,8.529247861588374e-05
1978,8.681397594045848e-05
1979,9.075059642782435e-05
1980,8.95539706107229e-05
1981,8.914931822801009e-05
1982,8.544309821445495e-05
1983,8.816881745588034e-05
1984,8.10600322438404e-05
1985,8.472966874251142e-05
1986,8.349847485078499e-05
1987,8.509616600349545e-05
1988,8.27736294013448e-05
1989,7.801740866852924e-05
1990,7.823229680070654e-05
1991,7.35847934265621e-05
1992,7.298542914213613e-05
1993,7.150153396651149e-05
1994,7.169198943302035e-05
1995,8.052982593653724e-05
1996,7.47997619328089e-05
1997,7.130356243578717e-05
1998,6.92065732437186e-05
1999,6.894827674841508e-05
2000,6.832541839685291e-05
2001,6.811685307184234e-05
2002,6.49058711132966e-05
2003,6.850239878986031e-05
