,not
1800,0.0052964650094509125
1801,0.005095739848911762
1802,0.00496586412191391
1803,0.004675815813243389
1804,0.005111796781420708
1805,0.005005810409784317
1806,0.005100896116346121
1807,0.004841132555156946
1808,0.005421615205705166
1809,0.005331881809979677
1810,0.0049324678257107735
1811,0.0055054472759366035
1812,0.005597868002951145
1813,0.005037246271967888
1814,0.005193233955651522
1815,0.005107822362333536
1816,0.005504549480974674
1817,0.005325420759618282
1818,0.005115566309541464
1819,0.004839101806282997
1820,0.005397808272391558
1821,0.005186350084841251
1822,0.005131259094923735
1823,0.005169901996850967
1824,0.005250193644315004
1825,0.005251285154372454
1826,0.005184178706258535
1827,0.00506147975102067
1828,0.005148908123373985
1829,0.005001030396670103
1830,0.005301143974065781
1831,0.005267576314508915
1832,0.005442464258521795
1833,0.005325891077518463
1834,0.0052277096547186375
1835,0.0052119973115623
1836,0.005296891089528799
1837,0.005271892063319683
1838,0.005207176320254803
1839,0.005231060553342104
1840,0.005126080010086298
1841,0.0050649200566112995
1842,0.005016150884330273
1843,0.005187233444303274
1844,0.005264947656542063
1845,0.0049809725023806095
1846,0.005141369998455048
1847,0.005036930087953806
1848,0.0051197474822402
1849,0.005059728864580393
1850,0.005082831718027592
1851,0.005063072312623262
1852,0.0050829630345106125
1853,0.0052502211183309555
1854,0.004978426732122898
1855,0.0050005740486085415
1856,0.004974924027919769
1857,0.004915478639304638
1858,0.004949104506522417
1859,0.004839823115617037
1860,0.005018932279199362
1861,0.00494598550722003
1862,0.0050103385001420975
1863,0.0049179596826434135
1864,0.005071526858955622
1865,0.004962058737874031
1866,0.005030947737395763
1867,0.004977105185389519
1868,0.00502390181645751
1869,0.005022116471081972
1870,0.005034586880356073
1871,0.005040980875492096
1872,0.005265931133180857
1873,0.0049468702636659145
1874,0.004998492542654276
1875,0.0049174269661307335
1876,0.004949556197971106
1877,0.00495637534186244
1878,0.004922480322420597
1879,0.004923443775624037
1880,0.004811636172235012
1881,0.00484082568436861
1882,0.004988840315490961
1883,0.004858012311160564
1884,0.004933725111186504
1885,0.004805359989404678
1886,0.0049350508488714695
1887,0.004899719264358282
1888,0.004876904655247927
1889,0.004770117811858654
1890,0.0047759306617081165
1891,0.004724784288555384
1892,0.004798151087015867
1893,0.004725050181150436
1894,0.004833502229303122
1895,0.004684921354055405
1896,0.004704855848103762
1897,0.004584348760545254
1898,0.004665801301598549
1899,0.004748964216560125
1900,0.004713915288448334
1901,0.0046566566452383995
1902,0.0046088057570159435
1903,0.004579691216349602
1904,0.004639732651412487
1905,0.004547527525573969
1906,0.0046631996519863605
1907,0.004553051665425301
1908,0.004640914965420961
1909,0.004604393616318703
1910,0.004523945972323418
1911,0.004538744688034058
1912,0.004628126043826342
1913,0.004513418767601252
1914,0.004564154893159866
1915,0.0044579654932022095
1916,0.004544116090983152
1917,0.004449623171240091
1918,0.004500526934862137
1919,0.004484054632484913
1920,0.0044956509955227375
1921,0.004428563639521599
1922,0.004444429650902748
1923,0.004330561496317387
1924,0.0044686621986329556
1925,0.004280504770576954
1926,0.004335273057222366
1927,0.004241618327796459
1928,0.00433262437582016
1929,0.004238762427121401
1930,0.004207481164485216
1931,0.004143521189689636
1932,0.0042657614685595036
1933,0.00418899767100811
1934,0.00427386024966836
1935,0.004210570361465216
1936,0.004290989134460688
1937,0.004095157142728567
1938,0.0041577499359846115
1939,0.004172197543084621
1940,0.004128945525735617
1941,0.004116315860301256
1942,0.004185433499515057
1943,0.004270379897207022
1944,0.004188176244497299
1945,0.004194351378828287
1946,0.004233967512845993
1947,0.004213331732898951
1948,0.004205326549708843
1949,0.004063421860337257
1950,0.004058000165969133
1951,0.004129092674702406
1952,0.00422889506444335
1953,0.004065244924277067
1954,0.004029707983136177
1955,0.0040810126811265945
1956,0.004041688051074743
1957,0.00409799674525857
1958,0.00399726303294301
1959,0.003910212777554989
1960,0.003960989881306887
1961,0.003968873992562294
1962,0.003937191795557737
1963,0.00393111864104867
1964,0.003905478399246931
1965,0.0039014103822410107
1966,0.003987106028944254
1967,0.003993420861661434
1968,0.00402284599840641
1969,0.004023211542516947
1970,0.003991058561950922
1971,0.0039093405939638615
1972,0.0039006012957543135
1973,0.003805819433182478
1974,0.003862961893901229
1975,0.0038124399725347757
1976,0.00378882116638124
1977,0.003766376292333007
1978,0.0037520509213209152
1979,0.0037500974722206593
1980,0.003723263507708907
1981,0.0036982749588787556
1982,0.0037620030343532562
1983,0.003748812945559621
1984,0.00374214886687696
1985,0.003694063052535057
1986,0.0037548900581896305
1987,0.0037814006209373474
1988,0.0038132567424327135
1989,0.0037573587615042925
1990,0.0037726513110101223
1991,0.0038107861764729023
1992,0.0038421056233346462
1993,0.003794187679886818
1994,0.003798768622800708
1995,0.003808919107541442
1996,0.00388744636438787
1997,0.003978867083787918
1998,0.004020092077553272
1999,0.0040808250196278095
2000,0.004230775870382786
2001,0.004267165903002024
2002,0.0043388851918280125
2003,0.004403208382427692
2004,0.004452490247786045
2005,0.004484385717660189
2006,0.004567928146570921
2007,0.00466940039768815
2008,0.004879817832261324
2009,0.005151574499905109
2010,0.005266532301902771
2011,0.0055101364850997925
2012,0.005321297328919172
2013,0.005268653854727745
2014,0.005894527304917574
2015,0.005741536617279053
2016,0.005493385251611471
2017,0.005770714487880468
2018,0.00563544686883688
2019,0.005846537183970213
